MassFeature_Column,Identification,umol.intracell.med,umol.intracell.min,umol.intracell.max,umol.intracellC.med,umol.intracellC.min,umol.intracellC.max,molFractionmed,molFractionmin,molFractionmax
Propionyl-L-carnitine_X_HILICPos,Propionyl-L-carnitine,4.306131445009852,0.6889573138679469,62.96250711260089,43.06131445009852,6.889573138679469,629.6250711260088,1.1562265131166442e-4,1.0439627875536819e-5,5.386014086909593e-4
N-acetyltaurine_X_HILICNeg,N-acetyltaurine,4.619815708890933,0.4431055381667423,1087.3113902960984,18.47926283556373,1.7724221526669692,4349.245561184393,1.0004571838391263e-4,1.2327748802595536e-6,0.0018644333981940877
Agmatine_X_RP,Agmatine,74.31598229344,0.020352681204059,271.7252146577001,371.5799114672,0.101763406020295,1358.6260732885007,7.631602866964803e-5,8.113414106707949e-7,3.2606641419821063e-4
Argininosuccinic Acid_X_HILICPos,Argininosuccinic Acid,10.06196269721894,0.520986026020605,152.53613105888067,100.6196269721894,5.2098602602060495,1525.3613105888066,7.462093719374672e-5,1.618869606825583e-5,0.0016194389155524966
Dexpanthenol_X_HILICPos,Dexpanthenol,11.865918184540586,11.865918184540586,11.865918184540586,106.79326366086528,106.79326366086528,106.79326366086528,7.313931825414784e-5,7.313931825414784e-5,7.313931825414784e-5
Cysteic Acid_X_HILICNeg,Cysteic Acid,37.782186340159186,0.06350869769077394,1557.258253643768,113.34655902047756,0.19052609307232182,4671.774760931305,6.982409738321788e-5,1.572539536012969e-6,0.0031995503212312038
Allopurinol_X_RP,Allopurinol,3.630548710151069,1.3927544139529908,59.701342109646205,18.152743550755346,6.963772069764954,298.506710548231,5.192074687397883e-5,2.2866201033301555e-5,4.6861547434470785e-4
N(e)-Acetyl-Lysine_X_HILICPos,N(e)-Acetyl-Lysine,5.629258394612961,0.6926213985881291,54854.81785828168,45.03406715690369,5.540971188705033,438838.54286625347,4.974137034029628e-5,1.1582874304204772e-5,0.6680261442363437
Vitamin B5_X_RP,Vitamin B5,8.399504982935717,0.33140221953324733,177.0388357439931,75.59554484642146,2.982619975799226,1593.349521695938,4.268409435689416e-5,4.847229780547965e-6,0.0010994059474020443
Butyryl-L-carnitine_X_HILICPos,Butyryl-L-carnitine,1.226310541905642,0.33959417986084195,16.578851803426893,13.489415960962061,3.7355359784692617,182.36736983769583,3.455764013810179e-5,7.80878337459036e-6,1.335535027981638e-4
I144.1019R6.44_HILICPos_X_HILICPos,Stachydrine hydrochloride,4.712838726701214,0.1058596464985493,63.1642689945007,32.9898710869085,0.7410175254898451,442.1498829615049,2.8979570751895942e-5,5.53984349908159e-6,3.136502530410412e-4
I160.0969R8.37_HILICPos_X_HILICPos,Betonicine,0.5656237628367018,0.21241345985783497,33.22924569965643,3.9593663398569126,1.4868942190048449,232.60471989759503,2.100365398111333e-5,1.227233450048591e-5,6.323614883349142e-5
I252.1092R3.46_HILICPos_X_HILICPos,Deoxyadenosine,3.807135408712434,0.00935530833504874,89.2727099009723,38.07135408712434,0.0935530833504874,892.727099009723,1.6404029804191203e-5,5.552695710379894e-7,1.6461116852856315e-4
I377.1459R4.24_CyanoAq_X_RP,Vitamin B2,0.8056664588558993,0.024600239216143446,12.611236463388002,13.696329800550288,0.4182040666744386,214.39101987759602,1.2345652759234286e-5,1.1289944384474998e-6,3.025589971562518e-4
Kynurenine_X_RP,Kynurenine,0.8538893388956916,0.35048092816410586,4.320768080848854,8.538893388956915,3.5048092816410588,43.20768080848854,8.667407777059413e-6,5.018742631268522e-6,2.564523747249727e-4
I143.0816R7.97_HILICPos_X_HILICPos,Ectoine,0.8705674160871242,0.25510490696946286,8.270019367546931,5.223404496522745,1.5306294418167772,49.62011620528159,5.489937389233122e-6,3.104331296741511e-7,5.6959616808932734e-5
I121.032R8.27_HILICPos_X_HILICPos,Dimethylsulfonioacetate (DMS-Ac),0.16034941823533555,0.00885815713135628,15.535351211060696,0.6413976729413422,0.03543262852542512,62.141404844242786,1.4237747463167292e-6,2.8605279069947516e-7,4.7089641319160316e-5
Creatine_X_HILICPos,Creatine,2.2032367407441447,1.161437687984645,3.245035793503644,8.812946962976579,4.64575075193858,12.980143174014575,7.93950140115387e-7,3.3860063925778555e-7,1.2492996409729885e-6
Sulfurol_X_RP,Sulfurol,0.07087952935082634,0.007580805837781875,0.11768698876473387,0.425277176104958,0.04548483502669125,0.7061219325884032,7.082199288758603e-7,2.2868831694830693e-7,1.5756012244448776e-6
I179.0048R7.02_HILICPos_X_HILICPos,Arsenobetaine,NA,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf
Thymidine_X_HILICNeg,Thymidine,NA,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf
Uracil_X_HILICNeg,Uracil,NA,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf
