MassFeature_Column,Identification,Confidence,mz,rt,Column,z,NPTZ depth profile cluster,NPSG depth profile cluster,Transect cluster,Culture cluster
I121.032R8.27_HILICPos_X_HILICPos,Dimethylsulfonioacetate (DMS-Ac),1,121.0319755,496.2654472,HILIC,1,c,a,a,e
I121.0684R10.7_HILICPos_X_HILICPos,NA,4,121.0683869,642.0609838,HILIC,1,c,b,e,a
Vitamin B3_X_HILICPos,Vitamin B3,1,124.039854,160.8,HILIC,1,b,b,d,f
I130.05R11.1_HILICPos_X_HILICPos,L-1-Pyrroline-3-hydroxy-5-carboxylate,3,130.050048,665.9210447,HILIC,1,a,a,b,a
I131.0704R10.12_HILICPos_X_HILICPos,PANTOLACTONE ID:CCMSLIB00000578063,2,131.0704165,606.9629787,HILIC,1,a,a,b,f
Creatine_X_HILICPos,Creatine,1,132.077302,680.4,HILIC,1,c,a,a,d
I132.102R9.3_HILICPos_X_HILICPos,Trimethylammonium Propionate (TMAP),1,132.101973,558.184633,HILIC,1,a,b,b,f
I132.102R6.53_HILICPos_X_HILICPos,Leucine,1,132.102017,391.7549062,HILIC,1,a,b,b,g
Asparagine_X_HILICPos,Asparagine,1,133.061318,711.5999999999999,HILIC,1,a,a,a,a
Ornithine_X_HILICPos,Ornithine,1,133.097703,1007.4,HILIC,1,a,a,b,c
Aspartic acid_X_HILICPos,Aspartic acid,1,134.045334,771.5999999999999,HILIC,1,a,a,b,a
I134.0813R10.18_HILICPos_X_HILICPos,N-Hydroxy-L-valine,3,134.0812695,610.8642431,HILIC,1,c,b,a,e
DMSP_HILICPos_X_HILICPos,DMSP,1,135.047977,559.5,HILIC,1,b,a,a,c
I136.0508R7.09_HILICPos_X_HILICPos,NA,4,136.0507939,425.480355,HILIC,1,d,a,b,NA
Adenine_X_HILICPos,Adenine,1,136.06232,283.2,HILIC,1,a,a,a,a
I137.0459R6.2_HILICPos_X_HILICPos,Allopurinol ID:FIO00455,2,137.0458775,372.2149785,HILIC,1,a,a,a,a
I137.0459R7.49_HILICPos_X_HILICPos,Hypoxanthine; Hypoxanthine; Hypoxanthine; Hypoxanthine; Hypoxanthine;,3,137.0458872,449.4238978,HILIC,1,a,a,d,a
I138.0549R5.35_HILICPos_X_HILICPos,Homarine,1,138.0548868,321.127119,HILIC,1,b,a,a,e
I138.055R7.72_HILICPos_X_HILICPos,Trigonelline,1,138.054973,462.9418971,HILIC,1,a,a,a,f
I141.0659R7.2_HILICPos_X_HILICPos,Methylimidazoleacetic acid; Dihydrourocanate;,3,141.0658822,432.0951942,HILIC,1,a,a,a,e
I143.0816R7.97_HILICPos_X_HILICPos,Ectoine,1,143.0815933,478.4273219,HILIC,1,b,a,a,d
I144.1019R6.44_HILICPos_X_HILICPos,Stachydrine hydrochloride,1,144.1019499,386.2657313,HILIC,1,a,b,b,e
I145.0608R10.18_HILICPos_X_HILICPos,NA,4,145.0608101,610.8323968,HILIC,1,c,a,a,d
Glutamine_X_HILICPos,Glutamine,1,147.076968,702,HILIC,1,a,a,b,a
Lysine_X_HILICPos,Lysine,1,147.113353,1050,HILIC,1,a,a,a,a
I148.0605R12.12_HILICPos_X_HILICPos,Glutamic acid,1,148.0604571,727.2183115,HILIC,1,a,a,a,a
beta-Glutamic acid_X_HILICPos,beta-Glutamic acid,1,148.060984,714,HILIC,1,d,a,a,d
I148.0968R8.21_HILICPos_X_HILICPos,4-Hydroxyisoleucine,1,148.0968289,492.3090337,HILIC,1,a,a,b,f
I149.0631R10.15_HILICPos_X_HILICPos,NA,4,149.0631499,608.7510481,HILIC,1,c,b,c,a
Methionine_X_HILICPos,Methionine,1,150.058876,477.6,HILIC,1,b,a,d,a
I150.0775R6.27_HILICPos_X_HILICPos,NA,4,150.0774891,376.277913,HILIC,1,a,a,a,e
I151.1441R6.61_HILICPos_X_HILICPos,NA,4,151.1441453,396.8044087,HILIC,1,b,a,f,NA
I152.0567R7.37_HILICPos_X_HILICPos,NA,4,152.0567315,442.0560373,HILIC,1,a,a,e,b
I152.0567R8.12_HILICPos_X_HILICPos,Guanine,1,152.0567341,487.3730565,HILIC,1,a,a,b,a
I152.0707R9.08_HILICPos_X_HILICPos,(E)-4-Hydroxyphenylacetaldehyde oxime; (R)-Mandelamide Dopamine quinone 2-Descarboxy-cyclo-dopa; 2-Amino-3-methylbenzoate N-Methylanthranilate; Acetaminophen; (E)-4-Hydroxyphenylacetaldehyde oxime; (R)-Mandelamide Dopamine quinone 2-Descarboxy-cyclo-dopa; 2-Amino-3-methylbenzoate N-Methylanthranilate; Acetaminophen;,3,152.0706519,544.8104584,HILIC,1,a,a,c,g
I154.0532R5.23_HILICPos_X_HILICPos,NA,4,154.0532475,313.6787607,HILIC,1,d,a,a,g
I154.0723R8.97_HILICPos_X_HILICPos,NA,4,154.0723038,538.1946704,HILIC,1,b,b,b,b
I155.0815R8.72_HILICPos_X_HILICPos,NA,4,155.0814682,523.2312039,HILIC,1,a,a,b,d
Histidine_X_HILICPos,Histidine,1,156.077302,687,HILIC,1,a,a,a,c
I157.0973R7.33_HILICPos_X_HILICPos,NA,4,157.0972657,439.6191021,HILIC,1,a,a,a,d
I158.0813R7.81_HILICPos_X_HILICPos,2-Hydroxyethylclavam;,3,158.0813005,468.4200854,HILIC,1,d,a,a,f
I158.1176R5.48_HILICPos_X_HILICPos,NA,4,158.117615,328.6930953,HILIC,1,a,b,a,g
I160.037R5.34_HILICPos_X_HILICPos,NA,4,160.0369543,320.1758161,HILIC,1,b,a,a,c
I160.0969R8.37_HILICPos_X_HILICPos,Betonicine,1,160.096881,502.2138686,HILIC,1,a,a,b,d
I160.0969R6.82_HILICPos_X_HILICPos,5-Acetamidopentanoate Calystegin A3; 5-Acetamidopentanoate Calystegin A3; 5-Acetamidopentanoate Calystegin A3; 5-Acetamidopentanoate Calystegin A3;,3,160.0969008,409.2745036,HILIC,1,a,a,a,g
I160.0969R7.56_HILICPos_X_HILICPos,Betonicine; (-)-Betonicine ID:KO002509,2,160.0969025,453.7895163,HILIC,1,d,a,g,d
I161.0631R9.25_HILICPos_X_HILICPos,NA,4,161.0631374,555.1330923,HILIC,1,c,a,c,f
I162.1125R8.11_HILICPos_X_HILICPos,NA,4,162.1124785,486.3543587,HILIC,1,b,c,c,g
I162.1125R6.83_HILICPos_X_HILICPos,NA,4,162.1125331,409.6885263,HILIC,1,a,a,g,NA
Carnitine_X_HILICPos,Carnitine,1,162.113019,612.6,HILIC,1,a,a,b,e
I165.0581R8.33_HILICPos_X_HILICPos,NA,4,165.0581105,499.7950538,HILIC,1,c,b,b,e
Methionine Sulfoxide_X_HILICPos,Methionine Sulfoxide,1,166.053791,583.8000000000001,HILIC,1,a,a,a,c
I170.0684R16.91_HILICPos_X_HILICPos,NA,4,170.0683824,1014.332912,HILIC,1,c,b,b,f
I170.1176R8.07_HILICPos_X_HILICPos,NA,4,170.1175901,484.2665713,HILIC,1,d,a,b,d
I173.0921R8.33_HILICPos_X_HILICPos,NA,4,173.0921477,499.7070247,HILIC,1,d,a,b,e
I174.022R5.45_HILICPos_X_HILICPos,2-Aminobenzenesulfonate,2,174.0220161,326.9314099,HILIC,1,c,b,b,f
I174.1126R6.89_HILICPos_X_HILICPos,Swainsonine Swainsonine Swainsonine,3,174.1125798,413.3930675,HILIC,1,d,a,b,d
I174.1126R8.06_HILICPos_X_HILICPos,Swainsonine Swainsonine Swainsonine,3,174.1125976,483.4504888,HILIC,1,d,a,a,g
I175.119R17.83_HILICPos_X_HILICPos,Arginine,1,175.1190291,1069.967292,HILIC,1,b,a,a,a
I176.0918R10.77_HILICPos_X_HILICPos,NA,4,176.0917904,646.095874,HILIC,1,a,a,b,g
I176.0918R7.43_HILICPos_X_HILICPos,NA,4,176.0917942,446.0219702,HILIC,1,d,a,b,NA
Citrulline_X_HILICPos,Citrulline,1,176.103517,732.6,HILIC,1,c,a,a,a
I176.1281R10.33_HILICPos_X_HILICPos,NA,4,176.1281461,619.9794573,HILIC,1,a,b,b,f
I176.1282R7.85_HILICPos_X_HILICPos,NA,4,176.1281837,470.9343098,HILIC,1,c,a,c,g
I177.0581R9.17_HILICPos_X_HILICPos,2-Oxo-6-methylthiohexanoic acid; 2-Oxo-6-methylthiohexanoic acid;,3,177.0580884,550.1598993,HILIC,1,a,a,b,g
I177.0582R7.98_HILICPos_X_HILICPos,2-Oxo-6-methylthiohexanoic acid; 2-Oxo-6-methylthiohexanoic acid;,3,177.0581547,478.5777459,HILIC,1,NA,a,g,d
I179.0048R7.02_HILICPos_X_HILICPos,Arsenobetaine,1,179.0048127,421.0281658,HILIC,1,d,a,b,NA
I179.024R6.59_HILICPos_X_HILICPos,NA,4,179.0240382,395.6276755,HILIC,1,a,a,a,NA
Gonyol_X_HILICPos,Gonyol,1,179.074191,644.4,HILIC,1,c,b,b,f
I180.1019R8.38_HILICPos_X_HILICPos,Phenacetin ID:FIO00688,2,180.1019072,503.0638448,HILIC,1,a,a,a,f
Tyrosine_X_HILICPos,Tyrosine,1,182.081719,585.6,HILIC,1,a,a,a,a
I185.0922R8.02_HILICPos_X_HILICPos,NA,4,185.0921561,481.029261,HILIC,1,d,a,g,d
I188.0707R7.54_HILICPos_X_HILICPos,Deethylatrazine,3,188.0706756,452.1935026,HILIC,1,a,a,a,a
I189.1235R6.93_HILICPos_X_HILICPos,NA,4,189.1234588,415.6321167,HILIC,1,d,NA,a,d
N(e)-Acetyl-Lysine_X_HILICPos,N(e)-Acetyl-Lysine,1,189.123918,582.6,HILIC,1,d,c,a,e
I193.0531R10.87_HILICPos_X_HILICPos,Monodechloroaminopyrrolnitrin,3,193.0530528,652.4857642,HILIC,1,c,b,b,f
I193.0894R10.12_HILICPos_X_HILICPos,NA,4,193.0893909,607.03001630000006,HILIC,1,a,a,b,f
I195.0765R10.08_HILICPos_X_HILICPos,NA,4,195.0764959,604.8117975,HILIC,1,c,b,d,d
I196.083R5.03_HILICPos_X_HILICPos,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",3,196.0830337,301.6962453,HILIC,1,d,a,a,b
I204.1232R7.22_HILICPos_X_HILICPos,Acetyl-L-carnitine,1,204.1231804,433.4715791,HILIC,1,b,a,a,e
I204.1233R3.65_HILICPos_X_HILICPos,NA,4,204.1233135,219.1968876,HILIC,1,NA,b,c,d
I206.0351R6.59_HILICPos_X_HILICPos,NA,4,206.0350891,395.3834774,HILIC,1,a,a,a,NA
I206.1389R6.76_HILICPos_X_HILICPos,Pantothenol;,3,206.1388583,405.7885618,HILIC,1,NA,b,g,NA
Dexpanthenol_X_HILICPos,Dexpanthenol,1,206.139234,136.2,HILIC,1,e,a,a,d
I207.0686R8.88_HILICPos_X_HILICPos,NA,4,207.0686307,532.6265153,HILIC,1,f,b,g,d
I207.1704R6.56_HILICPos_X_HILICPos,NA,4,207.1704487,393.7229648,HILIC,1,a,b,a,NA
