MF_Frac,m.z,Column,z,Manual_Annote,Manual_Confidence,mz,rt,Confidence,BestMatch
I132.102R9.3_HILICPos,NA,HILICPos,NA,Trimethylammonium Propionate (TMAP),1,132.101973,558.184633,1,Trimethylammonium Propionate (TMAP)
I138.055R7.72_HILICPos,NA,HILICPos,NA,NA,NA,138.054973,462.9418971,1,Trigonelline
I121.032R8.27_HILICPos,NA,HILICPos,NA,Dimethylsulfonioacetate (DMS-Ac),1,121.0319755,496.2654472,1,Dimethylsulfonioacetate (DMS-Ac)
I132.102R6.53_HILICPos,NA,HILICPos,NA,Leucine,1,132.102017,391.7549062,1,Leucine
I144.1019R6.44_HILICPos,NA,HILICPos,NA,NA,NA,144.1019499,386.2657313,1,Stachydrine hydrochloride
I268.104R4.35_HILICPos,NA,HILICPos,NA,Adenosine,1,268.1040173,260.8756447,1,Adenosine
I104.1074R10.68_HILICPos,NA,HILICPos,NA,Choline,1,104.1073724,641.0484594,1,Choline
I160.0969R8.37_HILICPos,NA,HILICPos,NA,Betonicine,1,160.096881,502.2138686,1,Betonicine
I126.904R4.8_HILICNeg,NA,HILICNeg,NA,Iodine,1,126.9039935,287.951141,1,Iodine
I152.0567R8.12_HILICPos,NA,HILICPos,NA,Guanine,1,152.0567341,487.3730565,1,Guanine
I148.0968R8.21_HILICPos,NA,HILICPos,NA,4-Hydroxyisoleucine,1,148.0968289,492.3090337,1,4-Hydroxyisoleucine
I116.0709R8.8_HILICPos,NA,HILICPos,NA,NA,NA,116.0709257,528.2851637,1,Proline
I148.0605R12.12_HILICPos,NA,HILICPos,NA,NA,NA,148.0604571,727.2183115,1,Glutamic acid
I252.1092R3.46_HILICPos,NA,HILICPos,NA,Deoxyadenosine,1,252.1091636,207.5733001,1,Deoxyadenosine
I146.045R12.11_HILICNeg,NA,HILICNeg,NA,Glutamic acid,1,146.0449964,726.8171863,1,Glutamic acid
I143.0816R7.97_HILICPos,NA,HILICPos,NA,Ectoine,1,143.0815933,478.4273219,1,Ectoine
I204.1232R7.22_HILICPos,NA,HILICPos,NA,NA,NA,204.1231804,433.4715791,1,Acetyl-L-carnitine
I179.0048R7.02_HILICPos,NA,HILICPos,NA,Arsenobetaine,1,179.0048127,421.0281658,1,Arsenobetaine
I150.0413R8.14_HILICNeg,NA,HILICNeg,NA,NA,NA,150.0412713,488.3503046,1,Guanine
I124.0064R10.88_HILICNeg,NA,HILICNeg,NA,NA,NA,124.006394,652.5603017,1,Taurine
I268.1042R1.02_CyanoAq,NA,CyanoAq,NA,Adenosine,1,268.1042143,61.13833888,1,Adenosine
I175.119R17.83_HILICPos,NA,HILICPos,NA,NA,NA,175.1190291,1069.967292,1,Arginine
I130.0864R6.66_HILICNeg,NA,HILICNeg,NA,Leucine,1,130.0863537,399.6926658,1,Leucine
I132.1021R0.87_CyanoAq,NA,CyanoAq,NA,Leucine,1,132.1020961,52.20045489,1,Leucine
I152.0567R0.9_CyanoAq,NA,CyanoAq,NA,Guanine,1,152.0567437,54.01877041,1,Guanine
I136.0619R0.89_CyanoAq,NA,CyanoAq,NA,Adenine,1,136.0619203,53.22192963,1,Adenine
I116.0706R7.18_HILICNeg,NA,HILICNeg,NA,Betaine,1,116.0706385,430.8147745,1,Betaine
I166.0864R1.12_CyanoAq,NA,CyanoAq,NA,NA,NA,166.0863823,67.38254579,1,Phenylalanine
I128.0343R12.12_HILICNeg,NA,HILICNeg,NA,Glutamic acid,1,128.0343221,727.4667129,1,Glutamic acid
I252.1093R1.15_CyanoAq,NA,CyanoAq,NA,Deoxyadenosine,1,252.1093007,68.82438779,1,Deoxyadenosine
I136.0395R7.72_HILICNeg,NA,HILICNeg,NA,Trigonelline,1,136.0394565,463.1988397,1,Trigonelline
I284.0991R8.89_HILICPos,NA,HILICPos,NA,Guanosine,1,284.0990577,533.6457598,1,Guanosine
I346.0564R12.06_HILICNeg,NA,HILICNeg,NA,NA,NA,346.0564275,723.6659792,1,AMP
I284.0992R1.08_CyanoAq,NA,CyanoAq,NA,Guanosine,1,284.0991767,64.8022314,1,Guanosine
I606.0756R12.98_HILICNeg,NA,HILICNeg,NA,NA,NA,606.0756192,778.9529008,1,UDP-glucosamine
I298.0971R2.1_CyanoAq,NA,CyanoAq,NA,NA,NA,298.0970625,125.7416991,1,Methylthioadenosine
I377.1459R4.24_CyanoAq,NA,CyanoAq,NA,NA,NA,377.1458995,254.3509786,1,Vitamin B2
