Org_Type,ID,Org_Name,4-Hydroxyisoleucine_HILIC,Acetyl-L-carnitine_HILIC,Adenine_HILIC,Adenosine_HILIC,Adenosyl Homocysteine_HILIC,Adenosyl Methionine_HILIC,Agmatine_RP,Alanine_HILIC,Allopurinol_RP,Amino Propanesulfonic Acid_HILIC,AMP_HILIC,Arginine_HILIC,Argininosuccinic Acid_HILIC,Arsenobetaine_HILIC,Asparagine_HILIC,Aspartic acid_HILIC,beta-Alanine_HILIC,beta-Glutamic acid_HILIC,Betaine_HILIC,Betonicine_HILIC,Butyryl-L-carnitine_HILIC,Carnitine_HILIC,Choline_HILIC,Citrulline_HILIC,Creatine_HILIC,Cystathionine_HILIC,Cysteic Acid_HILIC,Cytidine_HILIC,Cytosine_HILIC,Deoxyadenosine_HILIC,Dexpanthenol_HILIC,DHPS_HILIC,Dimethylsulfonioacetate (DMS-Ac)_HILIC,DMSP_HILIC,Ectoine_HILIC,Gluconic Acid_HILIC,Glucosylglycerol_HILIC,Glutamic acid_HILIC,Glutamine_HILIC,Glutathione Disulfide_RP,Glycerophosphocholine_HILIC,Gonyol_HILIC,Guanine_HILIC,Guanosine_HILIC,Histidine_HILIC,Homarine_HILIC,Homoserine_HILIC,Inosine_HILIC,Isethionic Acid_HILIC,Kynurenine_RP,L-Pyroglutamic acid_HILIC,Leucine_HILIC,Lysine_HILIC,Malic Acid_HILIC,Methionine Sulfoxide_HILIC,Methionine_HILIC,Methylthioadenosine_RP,N-acetyltaurine_HILIC,N(e)-Acetyl-Lysine_HILIC,NAD_HILIC,Ornithine_HILIC,Phenylalanine_RP,Proline_HILIC,Propionyl-L-carnitine_HILIC,Sarcosine_HILIC,Serine_HILIC,Stachydrine hydrochloride_HILIC,Sucrose_HILIC,Sulfolactic Acid_HILIC,Sulfurol_RP,Taurine_HILIC,Threonine_HILIC,Thymidine_HILIC,Trehalose_HILIC,Trigonelline_HILIC,Trimethylammonium Propionate (TMAP)_HILIC,Tryptophan_RP,Tyrosine_HILIC,UDP-glucosamine_HILIC,Uracil_HILIC,Uridine_HILIC,Vitamin B2_RP,Vitamin B3_HILIC,Vitamin B5_RP
Cyanobacteria,8102,Synechococcus sp. 8102,NA,NA,NA,885543233.8634565,40233347.09888758,280693284.1453736,9280063.572495028,142895136.54227468,NA,NA,128126050.14898956,161476258.09847233,601198.5226337486,NA,300251.1423830006,66462966.61154966,NA,771518.361581921,103762543064.56894,NA,NA,NA,NA,209868170.98725903,1894094.6327683616,NA,224074.97581707744,1995803.6723163843,227900710.59800303,58864157.80393615,NA,NA,NA,NA,4503050.847457628,NA,181546354.90920067,8617225896.319557,2544814737.562523,40262625.11694775,NA,NA,88005545.72361203,12472752.854722533,42301085.67595573,115977058146.64238,91158503.52751824,NA,NA,NA,263890341.45119095,NA,10130671.581353568,NA,4922625.1654483145,34388372.06567815,22387327.522471182,NA,NA,15225491.658388637,1572625.5152436988,53305011.83833024,350939251.0709794,NA,17556283.27958602,20403803.68788447,NA,NA,NA,NA,NA,104859478.21111938,NA,NA,NA,NA,21386441.02502959,24489812.292094976,6484564.955285171,NA,31454487.4858802,144154.9521326329,4954799.4350282485,437810.8184036906
Cyanobacteria,8501,Crocosphaera watsonii WH8501,3830205.2098408192,NA,NA,7031869.7612720905,59503.70875855074,8076380.048752895,78000.95037220414,4254491.528840225,NA,NA,6397239.495585045,27272277.325537957,47898.720259932124,NA,462901.2091033489,761956.1917121809,NA,NA,302881410.37549704,NA,NA,NA,NA,1547189.3288011595,NA,NA,58544.49619958645,639715.3140605751,28270458.18683304,8640200.947500454,NA,NA,NA,3170501.4242170965,NA,NA,23537.03245638002,320149276.8071725,5596633.215368327,2238175.864597014,25134.453048922813,NA,9227827.20620216,404041.1018514953,3506150.692313505,NA,410387.2065594957,NA,NA,NA,23202460.01957876,NA,5109969.74815258,NA,244659.66846870285,1946019.8983350005,1320207.0393730635,NA,7976716743.908139,753822.823803635,350871.5870028985,9443380.230716642,11897141.20589768,NA,139185.70827855373,1026354.8745592986,5713466.330342629,NA,410713.7334324694,NA,NA,3518125.156854661,NA,327185455.7100778,NA,NA,1511597.2915249667,6037962.238662601,1349131.519969126,NA,855409.7893050503,42546.48326110331,NA,NA
Cyanobacteria,As9601,Prochlorococcus marinus AS9601,NA,NA,215885076.2201316,12928211.106651962,308356.48332782177,87997212.23961218,3750118.7826227997,NA,NA,NA,8871819.85572983,87901511.68884422,1840835.6075461165,NA,16622342.66339716,181537174.54133636,NA,NA,NA,NA,NA,NA,NA,198772240.18807253,NA,NA,605903.4804264798,NA,51854939.838510215,2707959.799633842,NA,NA,NA,NA,NA,NA,687153.7725628171,3296598917.1470795,328756685.7659687,NA,450229.05646863935,NA,27741237.124129828,744932.6755849266,NA,NA,12447165.629533496,NA,NA,NA,NA,NA,11211117.320481582,NA,NA,2551280.839987371,1253661.134222982,NA,1276508.6857864815,1625792.3558601053,NA,3171332.924209375,41555639.54480436,NA,100123629.67008808,28887180.177300137,NA,347164822.075146,NA,NA,NA,17634767.928061776,NA,NA,NA,NA,1734937.9020463582,20677355.32327154,1646704.4497420585,NA,639802.6978493764,NA,NA,NA
Diatom,Cy,Cyclotella meneghiniana CCMP 338,NA,791732315.7770741,NA,2568427.307347004,1073694.0007956265,18920860.3195048,NA,21101860.055059474,NA,NA,34172481.86954293,452405379.04599214,133121.9145609615,NA,17367718.03010818,10133714.485835489,3792721.402657075,4158255.152752171,15526457071.65742,NA,99088200.39001095,120102929.2932433,NA,5776918.819747532,NA,4116648.5162034007,25026104.461228013,NA,10306243.591262758,662687.5562743121,1683295.6253379378,1745121018.995365,17308636.113290887,15273008969.487467,4015518.8682538164,NA,385181.1624083428,367512320.7190434,387334008.68812793,3207535.907527145,1423710861.604333,4497833.932556663,5325007.684272287,3350984.934712571,30332573.852772977,8931851129.085007,53051022.09110495,552177.49378264,2101877576.4863586,31264.576766663944,53579436.25896679,NA,82200667.47043383,44490857.57945215,990301.0978389372,344772706.5675869,3350248.4639768125,NA,1047560.3709226773,3571470.974537443,70064079.36617024,13714539.417602036,345280614.0458895,102250061.85028103,1159917.6811130994,4156500.8901977832,9931871.70563789,NA,18387.725660982658,NA,1506007.454575597,29829600.708572116,NA,NA,315032003.29666114,NA,5039628.240800189,10570037.808415662,9456879.605442109,NA,11175864.94576957,NA,753459.0077268896,72028.49030425512
Cyanobacteria,MED4,Prochlorococcus marinus MED4,78291179.57579482,NA,NA,51039493.187729575,14095930.616735628,117524221.87377033,11542019.403027248,86523971.5569323,NA,NA,104041218.93752573,113929836.76598729,1554339.8100290522,NA,22691187.93478274,108834971.85363922,NA,NA,NA,NA,NA,NA,NA,240945261.02909535,5292065.982706195,NA,2715695.757654607,3955604.223230338,199417271.8796012,16085610.763877295,NA,NA,NA,NA,4837313.488083815,NA,3992723.5582812834,14653587599.370241,732031383.0343714,60681589.40709787,590308.5993494564,NA,80646030.34443413,3790134.56426175,99175030.096536,NA,29811932.37354689,NA,NA,NA,271231384.2881174,NA,22305965.998953857,NA,7509091.419128843,6088640.52122527,9112710.17868686,NA,12837875.743984928,25828054.908765852,11196342.026942087,50324903.47354869,173608343.96944755,NA,NA,27698069.278338168,NA,1669840027.4799123,NA,NA,NA,85098911.61320744,NA,NA,NA,NA,29936796.449039172,50251916.277295716,13333027.732777348,NA,NA,112400.1247209563,NA,1917341.7526864964
Cyanobacteria,Nat,Prochlorococcus marinus NATL2A,123662627.3766106,NA,852387806.2934364,55880765.30077112,NA,166784295.76100308,12410905.08023657,NA,NA,NA,87603734.89409357,848701063.6172194,6250031.974439949,NA,303190630.5354947,2604538263.539106,NA,NA,NA,NA,NA,NA,NA,2958747277.719442,NA,2287367.3751846673,5769377.951892753,NA,263024038.8106338,26360178.826859094,NA,NA,NA,NA,NA,NA,3088999.8709975192,24229707620.02504,7207075020.610655,26883548.9539201,NA,NA,124208068.9530595,2245120.29525591,NA,NA,61176628.22075849,NA,NA,NA,NA,NA,60767041.07017149,NA,NA,12742632.736878693,2671423.4912227252,NA,12080175.133214783,7141654.2624899605,NA,46678611.59785565,344253991.9057029,NA,429039453.87553555,80865263.84504953,NA,1976682353.127438,NA,NA,NA,86006975.95685264,NA,NA,NA,NA,18052154.187957626,69005473.18867613,13477511.884031529,NA,NA,NA,NA,2025538.2200334105
Diatom,Np,Navicula pelliculosa CCMP543,NA,371233006.5304369,54432516.87879095,29214094.451988444,1216941.7588588852,11888942.667927096,NA,33523296.03435416,NA,NA,63280152.154189244,1569490417.567298,3121340.075679971,NA,33539074.994269487,22238724.3105172,NA,NA,NA,NA,19859216.727015864,111377610.32022488,68507552.24220048,60453434.89619133,NA,NA,62360.7580916846,NA,NA,NA,NA,1212957620.6853416,NA,610056.3802413148,NA,NA,2379778.409872799,548761829.9864655,620961794.9657375,2387000.4392947457,792921331.730712,NA,1812808.9825946984,8209043.832323934,37736144.48632505,NA,1461657.1149442329,1413441.5877311684,149337.7095194255,16253.919299756057,1134749432.3444834,106653367.29086278,36748676.85462123,49831340.74223024,6205231.7740536835,51525698.42901208,679537.434439933,NA,1684269.6974323725,3439426.226356135,279341389.87706816,17543211.32163728,9219726343.866175,2172913.922360564,NA,5009548.918163244,NA,1959632.1290256267,NA,26855.604183854804,NA,3902246.0325109265,NA,NA,NA,NA,2651323.018745901,3849173.8195288167,1697926.8722220527,NA,17650278.050516635,69024.39552587208,NA,18296.27801367471
Diatom,Pc55x,Pseudo-nitzschia pungens Pc55x,NA,137693418.8068758,26008790.51566692,4105179.091792847,100818.16404695179,6004944.53916701,NA,2520987.532091428,18629.945386071173,NA,10728573.60988586,12900217.407324491,23853.470671447776,NA,1752492.971401727,2558187.43518902,7043053.501008986,NA,4455075141.166258,2147132.1175214024,11670257.458412144,505746181.2962821,98894890.2368961,855787.3032704387,NA,NA,122817.57996227483,NA,51558505.93663279,33705.651142099654,NA,12983549.131538723,313722.03502961824,506011346.21857935,NA,55979119.78240562,4484739.757226658,111445190.03051461,16720131.397040127,31164.93285739081,1263314554.8973346,NA,1602552.080107287,760694.6900278686,123810869.40189227,791815839.1723926,1835041.344827686,1058057.267581751,6474525707.844237,170103.51973122006,NA,NA,48248737.00664819,22168943.582122613,40938257.62585652,9507059.438033046,194516.48298100292,1998793.2087404449,21264443.991268516,42845.27820456585,1468138.2385777761,41389939.869474135,13176652.267241322,7184082.841704274,861020.3669350592,637252.3539051191,1945550.0164226338,10792549.734523889,107302.42196784465,NA,49216006.719116986,10547511.999303432,NA,NA,NA,NA,23502910.38562732,118016366.34311526,1156826.0288727055,NA,3449828.722022967,10978.560704970714,3501420.914069812,115477.32615286866
Diatom,Pt,Phaeodactylum tricornutum CCMP2561,NA,51812882.04121063,14579384.089091536,1624044.36679002,319486.39263087703,2794249.833213743,955.494730600029,8339546.9670840725,NA,NA,4981561.445755353,95391262.77206491,29378.49767086385,NA,5930681.342260434,3814444.5511302655,1544775.8467287167,NA,1910656083.859067,935186.706548144,5681408.671140499,23528966.666779615,187188808.44641674,3269582.461232736,NA,186155.58354143397,3644.9937241181397,NA,2110274.981113007,NA,NA,423610585.6586136,16277.058323184385,525205597.8176813,NA,NA,363465.2085524904,149685316.46467894,150177856.41694474,270417.51839853293,47233187.146819465,NA,141562.8724307234,328933.61983636895,35609515.88966997,NA,NA,117899.88567390665,21154.91178711947,NA,NA,NA,29290844.985586606,7631782.36330119,153018.8151005837,930142.0862097123,164080.91097204888,NA,551512.3024265906,315671.02536099503,69548447.19647774,1281915.408179691,338941573.44883525,7160603.789036348,3662834.0174987596,729041.5438676192,536340.8360591285,358165.3278732134,NA,2433.838185275939,NA,4046374.104837154,NA,NA,265134771.90350783,NA,756998.7897455965,1244531.0293032422,55120.77608618272,NA,247273.53693160298,1935.739082690969,NA,NA
Diatom,To,Thalassiosira oceanica CCMP 1005,NA,459613944.5922654,NA,10713956.581975006,259878.01284007568,5535679.810680587,NA,17239270.016604643,597739.8219040853,NA,5405266.670734812,NA,123495.76001713278,NA,9058747.480290515,3701382.4572607377,NA,NA,2301636606.1379685,NA,7988102.71027255,199052689.40032586,NA,3146394.440885471,NA,122332.87322860176,431231.5768521724,NA,4710356.236829111,202116.86337557962,NA,901649665.672499,129579.16394589614,212351844.3979012,NA,8740567.200888537,73085.50589563009,227422755.34275138,448456127.98993,220453.95291298814,31796524.97186992,NA,1541190.3264144543,2900986.0302237016,17637531.238053583,134833539.06145346,6809717.503581059,NA,NA,23880.04464382904,42650034.422312565,NA,95165920.33680354,31061740.076200772,7995470.935287315,95030334.78149681,276892.38360462734,NA,220048.22519794133,671260.5479535238,364266897.45546496,7969199.510834205,63076543.081185736,13347590.806513825,270334.9914112856,3481769.595951484,1951550.6575208171,NA,252031.92643580362,5119.139602395492,NA,27167444.57702206,NA,NA,NA,NA,32084289.695732404,8593638.814268664,2634094.807540066,NA,3768045.1501232143,38054.94490187708,NA,8909.388897774012
Diatom,Tp,Thalassiosira pseudonana CCMP1335,NA,596872344.8086108,NA,2091282.2128043927,736438.6967108006,2958337.329047113,NA,13071951.270841954,39504.27836906787,NA,13934374.880978022,186760163.2689742,25285.24032127311,NA,15807569.82980392,11891639.575354602,NA,969473.1294664965,11833180776.651632,NA,8370411.055742126,328890576.99035305,NA,2036022.3047728268,NA,12169.996047448787,NA,NA,13275561.682687113,1038617.0334980175,NA,807311600.7324693,220878.34232265266,1931948681.2747753,NA,NA,154484.40302486677,269915339.05681735,183733165.57965985,1641771.6184682653,153098957.73211282,NA,5722955.946348459,780791.683654703,8410808.952206694,2580449473.2802835,1211467.9527406055,NA,120850.21141973125,38991.867536083235,169764739.07343242,NA,8156124.0540329935,NA,1371873.0043038079,55105730.507782154,1103155.688558525,NA,919394.1479209105,1959621.6148441713,5545188.006378465,10672415.006292531,983741385.3707153,10983727.455672085,1471652.121743916,1311113.7982203546,7271359.39072523,NA,NA,28434.52717177631,NA,30851574.724672027,NA,NA,519342821.31757355,NA,11961931.975957835,13782012.198438464,2205511.4166299906,NA,1806753.8418022834,NA,NA,147848.9844471177
