latitude,longitude,Station,Depth (m),Cast,Peri,19But,Fuco,19Hex,Prasino,Viola,Diadino,Allo,Lut,Zea,Chlb,Chla
23.496122,-157.994013,2,15,1,0,0.029285099,0.058570198,0.074074074,0,0,0.034453058,0,0,0.565891473,0.084409991,1
23.496122,-157.994013,2,15,1,0,0.040506329,0.061603376,0.071729958,0,0,0.042194093,0,0,0.562025316,0.071729958,1
23.596524,-157.955307,2,100,1,0.026231017,0.117349287,0.05614358,0.247353889,0,0.003681546,0.046249425,0.010354349,0.005292223,0.254256788,0.047169811,1
23.596524,-157.955307,2,15,3,0,0.031380753,0.076359833,0.083682008,0,0,0.067991632,0,0.036610879,0.627615063,0.038702929,1
23.596524,-157.955307,2,15,3,0,0.024514811,0.058222676,0.08886619,0,0,0.068437181,0,0,0.568947906,0.069458631,1
23.596524,-157.955307,2,45,3,0,0.033771107,0.090994371,0.108818011,0,0,0.047842402,0,0,0.574108818,0.063789869,1
23.596524,-157.955307,2,45,3,0,0.045495905,0.085532302,0.107370337,0,0,0.051865332,0,0,0.575978162,0.07188353,1
23.596524,-157.955307,2,200,3,0,0.244444444,0,0.407407407,0,0,0,0,0,0,0.155555556,1
23.596524,-157.955307,2,200,3,0,0.216783217,0,0.356643357,0,0,0,0,0,0,0.202797203,1
24.6833,-157.955307,3,15,1,0,0.042114695,0.063620072,0.105734767,0,0,0.04390681,0,0,0.559139785,0.073476703,1
28.143572,-157.998665,4,15,3,0,0.058510638,0.042553191,0.166223404,0,0,0.105053191,0,0,0.646276596,0.087765957,1
28.143572,-157.998665,4,15,3,0,0.057931034,0.044137931,0.166896552,0,0,0.102068966,0,0,0.670344828,0.064827586,1
28.143572,-157.998665,4,45,3,0.024185068,0.0893796,0.045215563,0.186119874,0,0.013669821,0.056782334,0,0,0.610935857,0.084121977,1
28.143572,-157.998665,4,45,3,0.010080645,0.067540323,0.043346774,0.173387097,0,0.009072581,0.049395161,0,0,0.633064516,0.083669355,1
28.143572,-157.998665,4,100,3,0.01137321,0.181971356,0.035383319,0.242207245,0,0,0.014953665,0.007371525,0.004422915,0.137952822,0.27358888,1
28.143572,-157.998665,4,100,3,0.00415677,0.154196358,0.02949327,0.213776722,0,0.008313539,0.013460016,0,0.00415677,0.136579572,0.260688836,1
28.143572,-157.998665,4,200,3,0,0.177083333,0,0.21875,0,0,0,0,0,0,0,1
28.143572,-157.998665,4,15,1,0,0.051020408,0.026530612,0.141836735,0,0.016326531,0.047959184,0,0,0.528571429,0.084693878,1
28.143572,-157.998665,4,15,1,0,0.053459119,0.033542977,0.15408805,0,0.013626834,0.047169811,0,0,0.514675052,0.064989518,1
29.450719,-158.03958,5,15,1,0.025641026,0.061050061,0.042735043,0.129426129,0,0.018315018,0.057387057,0,0,0.542124542,0.1001221,1
29.450719,-158.03958,5,15,1,0.017709563,0.054309327,0.048406139,0.136953955,0,0.012987013,0.056670602,0,0,0.534828808,0.07674144,1
32.583641,-158.00027,6,15,1,0.022233451,0.094997473,0.045477514,0.201616978,0,0.016169783,0.060131379,0,0,0.393127842,0.079332996,1
32.583641,-158.00027,6,15,1,0.015416238,0.096608428,0.052929085,0.210688592,0,0.011305242,0.056012333,0,0,0.382322713,0.092497431,1
32.583641,-158.00027,6,15,2,0.017184943,0.086743044,0.038461538,0.160392799,0,0,0.055646481,0,0.012274959,0.501636661,0.072831424,1
32.583641,-158.00027,6,15,2,0,0.0744,0.04,0.152,0,0,0.0496,0.0032,0.0136,0.4896,0.0912,1
32.583641,-158.00027,6,45,2,0.0250501,0.117985972,0.056362725,0.258767535,0,0,0.043086172,0,0,0.233466934,0.034318637,1
32.583641,-158.00027,6,45,2,0,0.123275069,0.043928243,0.148804048,0,0.008279669,0.015869365,0.003679853,0.017709292,0.344066237,0.163983441,1
32.583641,-158.00027,6,60,2,0.006540833,0.196225005,0.032704167,0.199962624,0.010839095,0.014202953,0.016258643,0,0.011025976,0.138852551,0.211362362,1
32.583641,-158.00027,6,60,2,0.007662835,0.195584747,0.028461959,0.199233716,0,0.008939974,0.013683634,0,0.010217114,0.133552271,0.208173691,1
32.583641,-158.00027,6,200,2,0,0.136752137,0,0.213675214,0,0,0,0,0,0,0,1
32.583641,-158.00027,6,200,2,0,0.12371134,0,0.175257732,0,0,0,0,0,0,0,1
34.05,-158.00027,7,15,1,0.017399869,0.076822062,0.046946815,0.177281681,0,0,0.035456336,0,0,0.411687459,0.039395929,1
34.05,-158.00027,7,15,1,0.021943574,0.066875653,0.047370254,0.158481365,0,0,0.03517938,0,0,0.439916405,0.061302682,1
37.299396,-158.000717,8,15,1,0,0.091208429,0.074086269,0.478103392,0,0,0.070135002,0,0.016463615,0.028646691,0.095488969,1
37.299396,-158.000717,8,15,1,0,0.084084084,0.082082082,0.455121788,0,0,0.050383717,0,0.019019019,0.021021021,0.08008008,1
36.569491,-158.003614,9,15,1,0,0.08929837,0.072997874,0.403260099,0.035435861,0.035435861,0.063075833,0,0,0.091424522,0.138199858,1
36.569491,-158.003614,9,15,1,0.019722425,0.089846603,0.074506939,0.415631848,0.042366691,0.030679328,0.069393718,0,0,0.089846603,0.143900657,1
36.567248,-157.999496,9,15,2,0.009240721,0.087786847,0.062682889,0.449253042,0.024949946,0.018019406,0.065455105,0,0,0.047897736,0.115663022,1
36.567248,-157.999496,9,15,2,0,0.093854216,0.062887089,0.457995871,0.024773702,0.022074003,0.067174845,0,0,0.049229792,0.113228522,1
36.567248,-157.999496,9,45,2,0.024588774,0.146176022,0.120061048,0.345938613,0.023571307,0.011700865,0.03544175,0,0,0.062404613,0.137527556,1
36.567248,-157.999496,9,45,2,0.022087416,0.129102504,0.133924405,0.315134547,0.018509877,0.010732618,0.035619848,0.011510344,0,0.050863276,0.136413128,1
36.567248,-157.999496,9,65,2,0.019183338,0.192107427,0.0620718,0.451082488,0.018087147,0.009591669,0.033981913,0,0,0.028363935,0.161414086,1
36.567248,-157.999496,9,65,2,0.075359445,0.735250372,0.229548835,1.848289539,0.07238473,0,0,0,0,0.079325731,0.454635597,1
36.567248,-157.999496,9,200,2,0,0.09486166,0.118577075,0.303030303,0,0,0.026350461,0,0,0,0.105401845,1
36.567248,-157.999496,9,200,2,0,0.312169312,1.079365079,0,0,0,0.105820106,0,0,0,0.851851852,1
35.6433,-157.999496,10,15,1,0,0.175332911,0.061509195,0.283449588,0,0.006024096,0.059289791,0,0,0.209258085,0.050412175,1
35.6433,-157.999496,10,15,1,0,0.167929676,0.059411943,0.276144286,0,0,0.056077599,0,0,0.193998181,0.060018187,1
33.090833,-158.002214,12,15,1,0,0.0353902,0.06261343,0.114337568,0,0,0.036297641,0,0.01814882,0.456442831,0.066243194,1
29.700608,-157.999422,13,15,1,0.006299976,0.130361037,0.027622971,0.135934093,0,0.006542283,0.015992246,0,0.010176884,0.353283257,0.165010904,1
29.700608,-157.999422,13,15,1,0,0.034421889,0.05560459,0.090909091,0,0,0.029126214,0,0.046778464,0.361871139,0.090026478,1
26.283176,-157.998902,14,12,1,0,0.198633736,0.019968471,0.268523384,0,0,0.019968471,0,0.011035208,0.051497635,0.33473463,1
26.283176,-157.998902,14,12,1,0,0.201036269,0.016580311,0.256994819,0,0,0.021243523,0,0.016580311,0.050259067,0.351295337,1
26.283176,-157.998902,14,15,2,0,0.032284768,0.061258278,0.168046358,0,0,0.100165563,0,0,0.494205298,0.03807947,1
26.283176,-157.998902,14,15,2,0.013245033,0.040562914,0.063741722,0.175496689,0,0.009933775,0.115066225,0,0,0.498344371,0.043874172,1
26.283176,-157.998902,14,45,2,0,0.072619048,0.033928571,0.232142857,0,0,0.035119048,0,0,0.333928571,0.133928571,1
26.283176,-157.998902,14,45,2,0.010552452,0.075108628,0.036623215,0.239602731,0,0.00496586,0.039726878,0,0,0.331471136,0.130353818,1
26.283176,-157.998902,14,80,2,0.006110521,0.194739639,0.047024442,0.367693943,0,0,0.01381509,0,0,0.089798087,0.198459086,1
26.283176,-157.998902,14,80,2,0.009584665,0.198820349,0.048660605,0.375522241,0,0,0.017449005,0,0,0.0936348,0.192922094,1
26.283176,-157.998902,14,200,2,0,0,0,0,0,0,0,0,0,0,0,1
26.283176,-157.998902,14,200,2,0,0,0,0,0,0,0,0,0,0,0,1
,,testcast,100,1,0.018823529,0.048470588,0.045647059,0.181647059,0,0,0.030117647,0,0,0.426352941,0.103529412,1
,,testcast,100,1,0.020278834,0.045627376,0.04626109,0.163498099,0,0,0.047528517,0,0,0.553865653,0.093155894,1
