,Fucox,19But,19Hex,Peri,Diadinox,Allox,Neox,Prasinox,Chlb,Zeax,Chla
Diatoms,0.75,0,0,0,0.24,0,0,0,0,0,1
Prymnesiophytes,0,0,1.4,0,0.16,0,0,0,0,0,1
Pelagophytes,0.062,0.93,0,0,0.44,0,0.04,0,0.28,0.06,1
Chlorophytes,0,0,0,0,0,0,0.11,0.36,0.89,0,1
Cryptophytes,0,0,0,0,0,0.14,0,0,0,0,1
Dinoflagellates,0,0,0,0.53,0,0,0,0,0,0,1
Cyanobacteria,0,0,0,0,0,0,0,0,0,0.33,1
