KOK1606 HPLC,,,,,analyzed June 2016,,,,,,All values are in ng/L,,,,,,,,,,,,,,,,,,Bidigare's calcs,,,,,
Date analyzed,Rosette,Date,latitude,longitude,Station,Depth (m),Cast,Niskin,HPLC ID#,L filtered,19But,19Hex,Allo,B Car,A Car,Chla,Chlb,"Chlc 1,2",Chl c 3,Cphlid,Diadino,Fuco,Lut,Peri,Prasino,Viola,Zea,,Total car,A car,B car,DVa,MVa,TOTCHLA
60716,,,32.583641,-158.00027,6,45,2,13,32,4.4,53.6,64.7,1.6,8.8,22.2,434.8,71.3,0,41.4,0,6.9,19.1,7.7,0,0,3.6,149.6,,31,22.2,8.8,261.6,89.9,351.5
60716,,,32.583641,-158.00027,6,60,2,8,33,4.36,105,107,0,7.6,19.5,535.1,113.1,49.9,40.8,4.8,8.7,17.5,5.9,3.5,5.8,7.6,74.3,,27.1,19.5,7.6,264.1,187,451.1
60716,,,32.583641,-158.00027,6,60,2,8,34,4.38,107.2,109.2,0,8.3,19.9,548.1,114.1,47.2,34.8,0,7.5,15.6,5.6,4.2,0,4.9,73.2,,28.2,19.9,8.3,266.6,196.7,463.3
60716,,,32.583641,-158.00027,6,200,2,2,35,4.4,1.6,2.5,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,,0,#DIV/0!,#DIV/0!,6.6,0,6.6
60716,,,32.583641,-158.00027,6,200,2,2,36,4.4,1.2,1.7,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,,0,#DIV/0!,#DIV/0!,3.1,5.6,8.7
61016,,,34.05,-158.00027,7,15,1,8,37,4.4,23.4,54,0,3.6,13.2,304.6,12,16,4,0,10.8,14.3,0,5.3,0,0,125.4,,16.8,13.2,3.6,156.2,98.7,254.9
61016,,,34.05,-158.00027,7,15,1,8,38,4.4,19.2,45.5,0,3.2,13.3,287.1,17.6,14.2,3.1,0,10.1,13.6,0,6.3,0,0,126.3,,16.5,13.3,3.2,142.3,99.6,241.9
60916,,,37.299396,-158.000717,8,15,1,19,39,4.4,27.7,145.2,0,4.4,1.8,303.7,29,40.4,23.8,0,21.3,22.5,5,0,0,0,8.7,,6.3,1.8,4.4,34,258.8,292.9
60916,,,37.299396,-158.000717,8,15,1,19,40,4.4,25.2,136.4,0,3.4,1.5,299.7,24,36,20.2,0,15.1,24.6,5.7,0,0,0,6.3,,4.9,1.5,3.4,29,261.5,290.5
62916,,,36.569491,-158.003614,9,15,1,12,1,4.4,12.6,56.9,0,3.7,1.4,141.1,19.5,14.7,9,0,8.9,10.3,0,0,5,5,12.9,,5.1,1.4,3.7,19.8,115,134.8
62916,,,36.569491,-158.003614,9,15,1,12,2,4.4,12.3,56.9,0,3.9,1.1,136.9,19.7,12.9,6.2,0,9.5,10.2,0,2.7,5.8,4.2,12.3,,5,1.1,3.9,17.1,114.4,131.5
51016,,,36.567248,-157.999496,9,15,2,15,41,2,57,291.7,0,11.4,2.3,649.3,75.1,75,50.7,0,42.5,40.7,0,6,16.2,11.7,31.1,,13.8,2.3,11.4,61.3,568.4,629.7
51016,,,36.567248,-157.999496,9,15,2,15,42,2,59.1,288.4,0,11.1,2.2,629.7,71.3,83.6,50.5,0,42.3,39.6,0,0,15.6,13.9,31,,13.3,2.2,11.1,93.7,506.2,599.9
51016,,,36.567248,-157.999496,9,45,2,13,44,2,86.2,204,0,8,2.8,589.7,81.1,73.2,51.5,0,20.9,70.8,0,14.5,13.9,6.9,36.8,,10.8,2.8,8,75.5,490.1,565.7
60716,,,36.567248,-157.999496,9,45,2,13,43,2,83,202.6,7.4,8.9,3,642.9,87.7,71.5,42.4,0,22.9,86.1,0,14.2,11.9,6.9,32.7,,11.9,3,8.9,228.5,341.7,570.2
51016,,,36.567248,-157.999496,9,65,2,8,45,2,140.2,329.2,0,6.7,2.9,729.8,117.8,94.5,70.3,0,24.8,45.3,0,14,13.2,7,20.7,,9.6,2.9,6.7,120.3,571.2,691.5
51016,,,36.567248,-157.999496,9,65,2,8,46,2,148.3,372.8,0,0,0,201.7,91.7,74.5,63.7,0,0,46.3,0,15.2,14.6,0,16,,0,#DIV/0!,#DIV/0!,146.4,0,146.4
60716,,,36.567248,-157.999496,9,200,2,2,48,2,7.2,23,0,0,0,75.9,8,2.7,0,0,2,9,0,0,0,0,0,,0,#DIV/0!,#DIV/0!,26.5,41,67.5
51016,,,36.567248,-157.999496,9,200,2,2,47,2,5.9,0,0,0,0,18.9,16.1,1.6,1.6,0,2,20.4,0,0,0,0,0,,0,#DIV/0!,#DIV/0!,11.7,0,11.7
61016,,,35.6433,-157.999496,10,15,1,8,1,4.4,55.3,89.4,0,5.4,7.5,315.4,15.9,36.6,16.9,0,18.7,19.4,0,0,0,1.9,66,,12.9,7.5,5.4,87.9,199.6,287.4
