latitude,longitude,Station,Depth (m),Cast,Fuco,19But,19Hex,Peri,Diadino,Allo,Neo,Prasino,Chlb,Zea,Chla
23.496122,-157.994013,2,15,1,0.058570198,0.029285099,0.074074074,0,0.034453058,0,0,0,0.084409991,0.565891473,1
23.496122,-157.994013,2,15,1,0.061603376,0.040506329,0.071729958,0,0.042194093,0,0,0,0.071729958,0.562025316,1
23.596524,-157.955307,2,100,1,0.05614358,0.117349287,0.247353889,0.026231017,0.046249425,0.010354349,0,0,0.047169811,0.254256788,1
23.596524,-157.955307,2,15,3,0.076359833,0.031380753,0.083682008,0,0.067991632,0,0,0,0.038702929,0.627615063,1
23.596524,-157.955307,2,15,3,0.058222676,0.024514811,0.08886619,0,0.068437181,0,0,0,0.069458631,0.568947906,1
23.596524,-157.955307,2,45,3,0.090994371,0.033771107,0.108818011,0,0.047842402,0,0,0,0.063789869,0.574108818,1
23.596524,-157.955307,2,45,3,0.085532302,0.045495905,0.107370337,0,0.051865332,0,0,0,0.07188353,0.575978162,1
23.596524,-157.955307,2,200,3,0,0.244444444,0.407407407,0,0,0,0,0,0.155555556,0,1
23.596524,-157.955307,2,200,3,0,0.216783217,0.356643357,0,0,0,0,0,0.202797203,0,1
24.6833,-157.955307,3,15,1,0.063620072,0.042114695,0.105734767,0,0.04390681,0,0,0,0.073476703,0.559139785,1
28.143572,-157.998665,4,15,3,0.042553191,0.058510638,0.166223404,0,0.105053191,0,0,0,0.087765957,0.646276596,1
28.143572,-157.998665,4,15,3,0.044137931,0.057931034,0.166896552,0,0.102068966,0,0,0,0.064827586,0.670344828,1
28.143572,-157.998665,4,45,3,0.045215563,0.0893796,0.186119874,0.024185068,0.056782334,0,0,0,0.084121977,0.610935857,1
28.143572,-157.998665,4,45,3,0.043346774,0.067540323,0.173387097,0.010080645,0.049395161,0,0,0,0.083669355,0.633064516,1
28.143572,-157.998665,4,100,3,0.035383319,0.181971356,0.242207245,0.01137321,0.014953665,0.007371525,0,0,0.27358888,0.137952822,1
28.143572,-157.998665,4,100,3,0.02949327,0.154196358,0.213776722,0.00415677,0.013460016,0,0,0,0.260688836,0.136579572,1
28.143572,-157.998665,4,200,3,0,0.177083333,0.21875,0,0,0,0,0,0,0,1
28.143572,-157.998665,4,15,1,0.026530612,0.051020408,0.141836735,0,0.047959184,0,0,0,0.084693878,0.528571429,1
28.143572,-157.998665,4,15,1,0.033542977,0.053459119,0.15408805,0,0.047169811,0,0,0,0.064989518,0.514675052,1
29.450719,-158.03958,5,15,1,0.042735043,0.061050061,0.129426129,0.025641026,0.057387057,0,0,0,0.1001221,0.542124542,1
29.450719,-158.03958,5,15,1,0.048406139,0.054309327,0.136953955,0.017709563,0.056670602,0,0,0,0.07674144,0.534828808,1
32.583641,-158.00027,6,15,1,0.045477514,0.094997473,0.201616978,0.022233451,0.060131379,0,0,0,0.079332996,0.393127842,1
32.583641,-158.00027,6,15,1,0.052929085,0.096608428,0.210688592,0.015416238,0.056012333,0,0,0,0.092497431,0.382322713,1
32.583641,-158.00027,6,15,2,0.038461538,0.086743044,0.160392799,0.017184943,0.055646481,0,0,0,0.072831424,0.501636661,1
32.583641,-158.00027,6,15,2,0.04,0.0744,0.152,0,0.0496,0.0032,0,0,0.0912,0.4896,1
32.583641,-158.00027,6,45,2,0.056362725,0.117985972,0.258767535,0.0250501,0.043086172,0,0,0,0.034318637,0.233466934,1
32.583641,-158.00027,6,45,2,0.043928243,0.123275069,0.148804048,0,0.015869365,0.003679853,0,0,0.163983441,0.344066237,1
32.583641,-158.00027,6,60,2,0.032704167,0.196225005,0.199962624,0.006540833,0.016258643,0,0,0.010839095,0.211362362,0.138852551,1
32.583641,-158.00027,6,60,2,0.028461959,0.195584747,0.199233716,0.007662835,0.013683634,0,0,0,0.208173691,0.133552271,1
32.583641,-158.00027,6,200,2,0,0.136752137,0.213675214,0,0,0,0,0,0,0,1
32.583641,-158.00027,6,200,2,0,0.12371134,0.175257732,0,0,0,0,0,0,0,1
34.05,-158.00027,7,15,1,0.046946815,0.076822062,0.177281681,0.017399869,0.035456336,0,0,0,0.039395929,0.411687459,1
34.05,-158.00027,7,15,1,0.047370254,0.066875653,0.158481365,0.021943574,0.03517938,0,0,0,0.061302682,0.439916405,1
37.299396,-158.000717,8,15,1,0.074086269,0.091208429,0.478103392,0,0.070135002,0,0,0,0.095488969,0.028646691,1
37.299396,-158.000717,8,15,1,0.082082082,0.084084084,0.455121788,0,0.050383717,0,0,0,0.08008008,0.021021021,1
36.569491,-158.003614,9,15,1,0.072997874,0.08929837,0.403260099,0,0.063075833,0,0,0.035435861,0.138199858,0.091424522,1
36.569491,-158.003614,9,15,1,0.074506939,0.089846603,0.415631848,0.019722425,0.069393718,0,0,0.042366691,0.143900657,0.089846603,1
36.567248,-157.999496,9,15,2,0.062682889,0.087786847,0.449253042,0.009240721,0.065455105,0,0,0.024949946,0.115663022,0.047897736,1
36.567248,-157.999496,9,15,2,0.062887089,0.093854216,0.457995871,0,0.067174845,0,0,0.024773702,0.113228522,0.049229792,1
36.567248,-157.999496,9,45,2,0.120061048,0.146176022,0.345938613,0.024588774,0.03544175,0,0,0.023571307,0.137527556,0.062404613,1
36.567248,-157.999496,9,45,2,0.133924405,0.129102504,0.315134547,0.022087416,0.035619848,0.011510344,0,0.018509877,0.136413128,0.050863276,1
36.567248,-157.999496,9,65,2,0.0620718,0.192107427,0.451082488,0.019183338,0.033981913,0,0,0.018087147,0.161414086,0.028363935,1
36.567248,-157.999496,9,65,2,0.229548835,0.735250372,1.848289539,0.075359445,0,0,0,0.07238473,0.454635597,0.079325731,1
36.567248,-157.999496,9,200,2,0.118577075,0.09486166,0.303030303,0,0.026350461,0,0,0,0.105401845,0,1
36.567248,-157.999496,9,200,2,1.079365079,0.312169312,0,0,0.105820106,0,0,0,0.851851852,0,1
35.6433,-157.999496,10,15,1,0.061509195,0.175332911,0.283449588,0,0.059289791,0,0,0,0.050412175,0.209258085,1
35.6433,-157.999496,10,15,1,0.059411943,0.167929676,0.276144286,0,0.056077599,0,0,0,0.060018187,0.193998181,1
33.090833,-158.002214,12,15,1,0.06261343,0.0353902,0.114337568,0,0.036297641,0,0,0,0.066243194,0.456442831,1
29.700608,-157.999422,13,15,1,0.027622971,0.130361037,0.135934093,0.006299976,0.015992246,0,0,0,0.165010904,0.353283257,1
29.700608,-157.999422,13,15,1,0.05560459,0.034421889,0.090909091,0,0.029126214,0,0,0,0.090026478,0.361871139,1
26.283176,-157.998902,14,12,1,0.019968471,0.198633736,0.268523384,0,0.019968471,0,0,0,0.33473463,0.051497635,1
26.283176,-157.998902,14,12,1,0.016580311,0.201036269,0.256994819,0,0.021243523,0,0,0,0.351295337,0.050259067,1
26.283176,-157.998902,14,15,2,0.061258278,0.032284768,0.168046358,0,0.100165563,0,0,0,0.03807947,0.494205298,1
26.283176,-157.998902,14,15,2,0.063741722,0.040562914,0.175496689,0.013245033,0.115066225,0,0,0,0.043874172,0.498344371,1
26.283176,-157.998902,14,45,2,0.033928571,0.072619048,0.232142857,0,0.035119048,0,0,0,0.133928571,0.333928571,1
26.283176,-157.998902,14,45,2,0.036623215,0.075108628,0.239602731,0.010552452,0.039726878,0,0,0,0.130353818,0.331471136,1
26.283176,-157.998902,14,80,2,0.047024442,0.194739639,0.367693943,0.006110521,0.01381509,0,0,0,0.198459086,0.089798087,1
26.283176,-157.998902,14,80,2,0.048660605,0.198820349,0.375522241,0.009584665,0.017449005,0,0,0,0.192922094,0.0936348,1
26.283176,-157.998902,14,200,2,0,0,0,0,0,0,0,0,0,0,1
26.283176,-157.998902,14,200,2,0,0,0,0,0,0,0,0,0,0,1
