matlab date,lat,lon,sst,sal
736439.8934,21.34445662,-158.2737614,25.75115332,34.6861184
736439.8972,21.34548606,-158.2741548,25.81270961,34.68805648
736439.901,21.34688403,-158.2737256,25.76112832,34.68818463
736439.9049,21.34805739,-158.2736683,25.87201817,34.68914294
736439.9087,21.34896114,-158.2737045,25.92403774,34.69392865
736439.9125,21.35044706,-158.2739405,25.82468719,34.68687913
736439.9163,21.35132516,-158.2741908,25.99266609,34.6932501
736439.9198,21.35200249,-158.2742591,26.05316133,34.69491633
736439.9236,21.35271218,-158.2742509,26.10099607,34.69674674
736439.9274,21.3534241,-158.2742445,26.14211443,34.69919062
736439.9313,21.35411171,-158.2742541,26.09776883,34.69651733
736439.9351,21.35482507,-158.274424,26.05221057,34.69786627
736439.9389,21.35567739,-158.274893,25.95909926,34.69143137
736439.9427,21.35623507,-158.2750888,26.1332017,34.69672074
736439.9597,21.35986874,-158.2796248,26.32836666,34.70429576
736439.9767,21.36393104,-158.2833357,26.072855,34.70032033
736439.9806,21.3754166,-158.2866639,26.09557404,34.69873659
736439.9844,21.38889345,-158.2907776,26.04824453,34.697911
736439.9882,21.40228841,-158.295106,25.92490079,34.69739976
736439.992,21.41559111,-158.299442,25.84855416,34.69567085
736439.9958,21.42882855,-158.3037861,25.83087486,34.69562887
736439.9997,21.44205284,-158.3076654,25.83541193,34.69541647
736440.0031,21.4541243,-158.3110999,25.8216956,34.69310725
736440.0069,21.4674751,-158.3148248,25.80662717,34.69015437
736440.0108,21.48084381,-158.3185264,25.78258806,34.68487952
736440.0146,21.49426141,-158.3223626,25.77040443,34.68141445
736440.0184,21.50764086,-158.3261648,25.74177678,34.68101458
736440.0219,21.51973543,-158.3297559,25.72807949,34.68068112
736440.0257,21.53286363,-158.3336682,25.72003179,34.67969197
736440.0431,21.5950125,-158.331541,25.69555211,34.67565405
736440.0601,21.6537355,-158.3242711,25.67694694,34.69116199
736440.0639,21.66697894,-158.3225833,25.67154599,34.69496315
736440.0677,21.68044222,-158.3210488,25.61234553,34.72008459
736440.0715,21.6937022,-158.3196196,25.54967072,34.73713335
736440.0753,21.70674895,-158.3181852,25.55271733,34.72564333
736440.0792,21.7194975,-158.3166146,25.53188248,34.72039856
736440.083,21.73225203,-158.3149037,25.50224269,34.73758577
736440.0865,21.74397638,-158.3132918,25.40632337,34.76175058
736440.0903,21.75665081,-158.3115941,25.27749039,34.79190778
736440.0941,21.76909063,-158.310041,25.26464271,34.79002814
736440.0979,21.7814248,-158.3085423,25.2601887,34.78846685
736440.1017,21.79377348,-158.3069342,25.26340567,34.79186667
736440.1052,21.80506315,-158.305317,25.22710989,34.80263736
736440.109,21.81750377,-158.3036582,25.1463526,34.82138429
736440.1264,21.87593078,-158.2961848,24.94744711,34.80864374
736440.1434,21.93449563,-158.2896784,24.7597422,34.81071436
736440.1472,21.94766419,-158.288636,24.78710553,34.82338937
736440.151,21.96062372,-158.2877912,24.78069326,34.81057436
736440.1549,21.9735551,-158.2870375,24.76064671,34.79486185
736440.1587,21.98646622,-158.2863281,24.74675088,34.79064735
736440.1625,21.99909344,-158.2858508,24.76649298,34.80111102
736440.1663,22.01142784,-158.2856866,24.76097416,34.79413195
736440.1698,22.02252832,-158.2856544,24.75706833,34.78406267
736440.1736,22.03489426,-158.2855698,24.76213706,34.77884979
736440.1774,22.04754317,-158.285434,24.77291376,34.77749929
736440.1813,22.06000047,-158.2852712,24.77327544,34.77403839
736440.1851,22.07255996,-158.2849897,24.76932832,34.77041452
736440.1889,22.08528685,-158.2846825,24.77468121,34.77095919
736440.1927,22.09794658,-158.2844461,24.77841672,34.77259574
736440.2097,22.15451805,-158.2843928,24.81992608,34.76762134
736440.2267,22.21109362,-158.28522,24.85826333,34.78018367
736440.2306,22.22380726,-158.2854594,24.86397691,34.78860331
736440.2344,22.2364727,-158.2857314,24.84641713,34.7859788
736440.2382,22.24905607,-158.2856065,24.80978187,34.78525552
736440.242,22.2614636,-158.2840783,24.78136707,34.7921241
736440.2458,22.27381467,-158.2824583,24.77318354,34.79592367
736440.2497,22.28615697,-158.2807427,24.75497044,34.80156448
736440.2531,22.29749437,-158.2790375,24.75009374,34.80637109
736440.2569,22.31036486,-158.2775108,24.72969565,34.81020068
736440.2608,22.32342797,-158.2760486,24.69243684,34.81662395
736440.2646,22.33652846,-158.2745857,24.60379115,34.81257037
736440.2684,22.34974382,-158.2731004,24.55582276,34.80820707
736440.2722,22.36284602,-158.2717018,24.50807984,34.80178352
736440.276,22.37579233,-158.2701789,24.48393355,34.79677127
736440.2931,22.43307756,-158.2623508,24.36332175,34.86353696
736440.3101,22.48990061,-158.2541593,24.34390447,34.89149036
736440.3139,22.50276882,-158.2519264,24.35189667,34.888391
736440.3177,22.51547064,-158.2493325,24.3426614,34.88248915
736440.3215,22.52815569,-158.2467269,24.35391402,34.88823573
736440.3253,22.54061355,-158.2437951,24.38502667,34.904643
736440.3292,22.5529798,-158.2408149,24.398626,34.91860884
736440.333,22.5652562,-158.2377436,24.3818788,34.91915874
736440.3365,22.57641443,-158.2348714,24.3776129,34.91834487
736440.3403,22.58861805,-158.231417,24.36524206,34.91597383
736440.3441,22.60060034,-158.2275583,24.34804133,34.9100519
736440.3479,22.61287309,-158.2246136,24.32968802,34.90278183
736440.3517,22.62542138,-158.2228418,24.32901133,34.901959
736440.3556,22.63821333,-158.2219614,24.31924857,34.89679613
736440.3594,22.6509012,-158.2206814,24.337778,34.8964526
736440.3764,22.7073983,-158.2145754,24.32171037,34.88528927
736440.3934,22.76367595,-158.2083733,24.32313488,34.88056094
736440.3972,22.77618221,-158.207009,24.32760908,34.88119329
736440.401,22.78847582,-158.205685,24.32950807,34.88140602
736440.4049,22.800885,-158.2046417,24.3325465,34.88141717
736440.4087,22.81328112,-158.2036606,24.32923706,34.88184849
736440.4125,22.82557738,-158.2025257,24.32619541,34.88196643
736440.4163,22.83788013,-158.2013152,24.31935006,34.8821005
736440.4198,22.84905461,-158.2001695,24.31487233,34.88158433
736440.4236,22.86129479,-158.1988831,24.31192434,34.88210932
736440.4274,22.87330958,-158.1966094,24.31239467,34.88291757
736440.4313,22.88491721,-158.1926713,24.31023572,34.88355561
736440.4351,22.89654463,-158.1885657,24.31175611,34.88433166
736440.4389,22.90817632,-158.1843895,24.31097207,34.88453505
736440.4427,22.91975437,-158.180169,24.30944252,34.88506772
736440.4597,22.97056123,-158.160687,24.31134476,34.88387764
736440.4767,23.02103178,-158.1404002,24.31380667,34.882722
736440.4806,23.03249234,-158.1360575,24.31742463,34.88308794
736440.4844,23.04402489,-158.1322182,24.32055727,34.8831642
736440.4882,23.05555442,-158.1283245,24.32321694,34.88208151
736440.492,23.06701338,-158.1243606,24.31735272,34.88131061
736440.4958,23.07856464,-158.1203207,24.30603789,34.8757706
736440.4997,23.09027186,-158.1161145,24.28948241,34.87273829
736440.5031,23.1009409,-158.1121508,24.28001031,34.8732731
736440.5069,23.11250073,-158.1078434,24.29048035,34.88232753
736440.5108,23.12401286,-158.103569,24.31766569,34.89640888
736440.5146,23.13581694,-158.0992449,24.33878467,34.88806206
736440.5184,23.14763245,-158.0947722,24.34914271,34.88059082
736440.5222,23.1593376,-158.0901429,24.36486275,34.837323
736440.526,23.17120205,-158.0854967,24.3925779,34.87825946
736440.5431,23.22462021,-158.0650607,24.38023008,34.93210948
736440.5601,23.2787951,-158.0442533,24.39817967,35.02004459
736440.5639,23.29095179,-158.0394661,24.37449464,35.02916536
736440.5677,23.30330958,-158.0347114,24.35731853,35.04638541
736440.5715,23.31572003,-158.0298869,24.34622641,35.07800967
736440.5753,23.3281508,-158.0250653,24.314076,35.11191833
736440.5792,23.34040775,-158.0202687,24.28225821,35.12457103
736440.583,23.35270763,-158.0156003,24.26031531,35.13279377
