MF_Frac,Column,AvePoo,AveBlank,AveSmp,mz,rt,BestMatch,Confidence,Manual_Annote,Manual_Confidence,MS2dat1,MS2dat2,MS2dat3,MS2dat4,RT,Adduct,IsotopeMatch,MassFeature,pcgroup,IonType,Charge,MassOfM,IsoGroup,mzOfI,TargetMatches,ppmMatches,RTdiffMatches,KeggMatches,Keggppm,KeggNames,MS2,MassBankMatch,MassBankppm,MassBankCosine1
I130.05R11.1_HILICPos,HILICPos,28092675,2863196.938,31403187.48,130.050048,665.9210447,4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid;,3,L-1-Pyrroline-3-hydroxy-5-carboxylate,3,"130.04871, 100; 84.04593, 76; 112.03673, 20; 114.09164, 18.8; 130.08636, 15; 129.06603, 13.2; 130.1593, 10.1; 131.11806, 9.5; 129.1024, 7.4; 85.02906, 6.7; 131.03738, 5.1; 83.06093, 3.6; 102.05549, 2.7; 113.02361, 2.7; 130.06519, 2.2; 130.09745, 1.9; 111.05544, 1.3; 59.06113, 1; 131.08141, 0.9; 148.67453, 0.9; 113.07124, 0.9; 65.85174, 0.9; 123.34173, 0.8; 71.37144, 0.8; 133.68968, 0.8; 57.25389, 0.8; 90.64259, 0.8; 134.1745, 0.8; 125.9045, 0.8; 129.07736, 0.8; 91.15017, 0.7; 69.54247, 0.7; 93.25442, 0.7; 86.29333, 0.7; 85.93565, 0.7; 68.38651, 0.7; 107.66518, 0.7; 61.00084, 0.7; 76.37401, 0.7; 63.58412, 0.7; 71.51575, 0.7; 68.71929, 0.7; 51.34872, 0.7; 100.24065, 0.7; 65.43417, 0.7; 104.36656, 0.7; 106.03456, 0.7; 79.99648, 0.7; 71.54296, 0.6; 94.40057, 0.6; 112.3596, 0.6; 64.71566, 0.6; 79.14597, 0.6; 95.16517, 0.6; 55.98895, 0.6; 89.41602, 0.6; 63.96688, 0.6; 54.94443, 0.6; 104.64256, 0.6; 60.28411, 0.6; 71.06061, 0.6; 62.43143, 0.6; 71.15626, 0.6","84.04508, 100; 130.05042, 50.8; 85.02914, 13.1; 130.08655, 8.9; 129.06642, 7.3; 114.0918, 4.3; 129.10277, 3.5; 113.0238, 2.5; 131.03757, 2.4; 130.15932, 2.4; 102.05544, 2.3; 101.91504, 2.2; 112.99125, 2; 125.01411, 2; 128.03682, 1.9; 74.21152, 1.8; 90.73259, 1.8; 136.51236, 1.8; 63.00232, 1.8; 88.4082, 1.7; 78.73809, 1.7; 52.38829, 1.6; 55.98758, 1.5","84.045, 100; 130.05016, 50; 85.02894, 10.9; 130.08652, 5.7; 130.15948, 4.6; 113.0237, 4.1; 102.0554, 3.7; 130.06537, 3.4; 114.09171, 2.1; 129.06607, 1.8; 129.10242, 1.5; 130.09787, 1.5; 83.06122, 1.4; 112.03655, 1.3; 131.03404, 1.3; 131.1179, 1.2; 111.05573, 0.9; 130.1228, 0.9; 131.05312, 0.9; 144.22746, 0.9; 129.90564, 0.8; 85.04832, 0.8; 116.16615, 0.8; 50.09488, 0.8","84.04501, 100; 130.05013, 47.2; 85.02906, 10.3; 102.05535, 3.5; 130.15933, 3.4; 130.08659, 3.3; 130.06511, 3.2; 129.10246, 1.7; 130.09811, 1.1; 88.07621, 1.1; 129.06601, 1; 85.04827, 1; 59.06123, 0.9; 131.08162, 0.9; 56.05027, 0.8; 101.02374, 0.8; 130.12273, 0.8; 53.05663, 0.8; 60.09935, 0.8; 57.20362, 0.8; 56.6774, 0.8; 51.74815, 0.7; 55.78753, 0.7; 57.74122, 0.7",11.09868408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpd:C01877; cpd:C01879; cpd:C02237; cpd:C03541; cpd:C03801; cpd:C04281; cpd:C04282; cpd:C05723; cpd:C05929,2.845933173,4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid; 4-Oxoproline; L-1-Pyrroline-3-hydroxy-5-carboxylate; 1-Pyrroline-4-hydroxy-2-carboxylate 5-Oxo-D-proline; Pidolic acid;,NA,NA,NA,NA
I252.083R12.11_HILICPos,HILICPos,26810307.34,35539.50492,30833763.87,252.0830154,726.8016033,NA,4,,,"211.05626, 100; 206.05098, 83; 165.05096, 79.6; 188.04031, 64.3; 142.0349, 61.9; 183.06152, 55.3; 241.98708, 42.4; 229.06705, 38.5; 160.04568, 29.4; 251.1537, 28.2; 104.10741, 25.7; 223.97691, 23; 252.20717, 21.7; 141.04701, 21.7; 252.1441, 19.1; 170.02975, 18.7; 265.00345, 18.5; 235.18065, 17.7; 252.93094, 15.3; 134.03, 9.5; 242.99065, 9.2; 234.07262, 8.8; 206.07753, 8.1; 223.79031, 7.4; 124.02462, 7.3; 139.07172, 6.7; 224.98085, 6.5; 252.08237, 6.4; 250.98756, 6.3; 212.05843, 5.8; 251.1402, 5.5; 223.80229, 5.5; 251.24809, 5.1; 264.85352, 4.9; 136.06197, 4.7; 252.15735, 4.5; 216.50221, 4.4; 97.59184, 4.1; 225.95148, 4.1; 75.37668, 4.1; 56.35294, 4; 74.23139, 4; 115.17371, 3.9; 89.9743, 3.9; 177.17516, 3.8; 81.8637, 3.8; 81.62167, 3.8; 105.17507, 3.5","241.98743, 100; 211.05655, 78.5; 165.05104, 57; 206.05128, 55.4; 223.97694, 49.5; 183.06143, 37.7; 142.0351, 35.2; 188.04018, 32.5; 252.20723, 26.3; 250.98788, 24.6; 251.15375, 23.6; 265.0032, 23.2; 160.04546, 22.1; 229.06688, 21.9; 221.46089, 18.5; 104.10756, 16.2; 170.03001, 14.1; 252.14462, 13.3; 242.99191, 13; 206.07718, 7.6; 235.18027, 7.5; 252.08249, 7.1; 124.02454, 6.8; 234.07208, 5.7; 192.84454, 4.7; 251.99161, 4.2; 201.07207, 4.1; 55.69656, 4; 70.52258, 3.7; 222.96544, 3.6; 95.7164, 3.5; 249.40579, 3.5; 98.42281, 3.5; 134.0302, 3.5; 55.69249, 3.3; 224.98135, 3.2; 247.69536, 3.2; 78.59755, 3.2; 73.06617, 3.2; 134.23097, 3.2; 161.73766, 3.1; 112.94256, 3",NA,"211.05621, 100; 206.05092, 80.5; 165.0509, 75.9; 142.03494, 61.5; 241.98755, 54.9; 183.06145, 51.1; 188.04018, 50.2; 160.04556, 34.6; 229.06679, 34.3; 223.97736, 25.5; 170.02988, 22.5; 252.20705, 18.1; 104.10744, 16.5; 251.15448, 15; 242.99133, 12.6; 220.91418, 12.3; 212.05841, 12.2; 134.02995, 11.4; 250.98787, 10.9; 220.90085, 10.3; 252.14478, 10.3; 235.18071, 6.9; 124.0244, 6.3; 265.00415, 5.1; 139.0722, 4.6; 193.04617, 4.3; 206.07816, 4.2; 251.99187, 3.9; 234.07295, 3.7; 252.08345, 3.6; 201.07249, 3.5; 74.07748, 3.4; 153.91415, 3.4; 102.61219, 3.3; 75.51596, 3.1; 135.43103, 3.1; 166.05225, 3; 56.76162, 3; 96.93025, 3; 186.02083, 2.9; 135.36284, 2.9; 65.19502, 2.9; 61.72762, 2.8; 138.24121, 2.7; 68.67433, 2.7; 63.13274, 2.7; 99.80275, 2.6; 66.15945, 2.6",12.11336006,NA,NA,I252.083R12.11,65; 65,M+H; I,+; +,251.079; NA,NA; 307,NA; 252.083015399434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I154.0532R5.23_HILICPos,HILICPos,25945512.32,3403477.165,32965415.59,154.0532475,313.6787607,NA,4,,,"154.05328, 100; 153.06996, 8.7; 153.13859, 6.6; 154.09974, 4.1; 154.04457, 2.7; 153.10241, 2.4; 58.06589, 2.3; 155.05666, 1.6; 59.0737, 1.5; 95.06085, 1.3; 73.08925, 1.2; 154.07872, 1.2; 155.08169, 1.1; 112.08733, 1.1; 154.08659, 0.8; 154.13416, 0.8; 154.12268, 0.8; 153.11345, 0.8; 154.14151, 0.7; 155.11818, 0.7; 125.07911, 0.7; 137.07109, 0.6; 97.08437, 0.6; 136.08672, 0.6","154.05329, 100; 153.06987, 8.3; 153.1387, 5.6; 154.09745, 3; 154.04457, 2.6; 58.0659, 2.2; 127.03262, 1.9; 153.10226, 1.7; 155.05672, 1.6; 154.07928, 1.5; 95.06088, 1.4; 153.11342, 1.2; 73.08931, 1.2; 125.07903, 1.1; 97.0844, 1; 154.12265, 1; 154.13406, 0.9; 112.08721, 0.9; 154.14154, 0.7; 137.07101, 0.6; 59.07371, 0.6; 154.08649, 0.6","154.05334, 100; 153.07006, 8.5; 153.13867, 6.4; 154.04466, 4; 154.09984, 3.9; 127.0326, 3.2; 58.06594, 2.4; 153.10231, 2.1; 73.08924, 1.8; 155.05703, 1.7; 154.0864, 1.2; 125.07917, 1; 95.06091, 1; 59.07372, 0.8; 154.07784, 0.8; 97.08444, 0.8; 155.08149, 0.7; 154.13452, 0.6; 153.11361, 0.6; 126.09173, 0.6; 154.12262, 0.6","154.05324, 100; 153.0701, 9; 153.13864, 3.9; 154.04445, 3.6; 154.09973, 3; 127.03251, 2.7; 58.06593, 2; 155.05684, 1.6; 153.10221, 1.5; 73.0892, 1.4; 59.07369, 1.2; 155.11788, 0.9; 125.07903, 0.8; 154.08629, 0.8; 97.08451, 0.8; 126.09164, 0.7; 155.08128, 0.6; 95.06087, 0.6; 137.07127, 0.6",5.227979346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I271.1288R9.7_HILICPos,HILICPos,23294785.56,80208.29261,30727987.01,271.1288395,581.9728044,Bacilysin Bacilysin Bacilysin,3,,,"271.12869, 100; 225.12325, 22.7; 238.09469, 9.1; 256.10535, 8.5; 225.087, 6.7; 272.13243, 4.6; 212.09483, 3.6; 235.10765, 3.2; 253.11859, 3; 219.65848, 2.4; 170.08118, 2.3; 210.09988, 2; 226.05959, 1.9; 177.10226, 1.7; 211.1076, 1.6; 231.06459, 1.6; 203.0814, 1.6; 124.07586, 1.2; 221.17937, 1.1; 217.0968, 1; 270.27869, 0.9; 208.04826, 0.9; 183.07625, 0.6; 71.08623, 0.6; 152.07019, 0.6; 223.10741, 0.6","271.12886, 100; 225.12344, 22.5; 225.08706, 8.7; 256.10535, 8.4; 238.09496, 7.1; 226.05931, 5.5; 217.97365, 4.1; 235.10789, 3.8; 253.11806, 3.8; 210.09988, 3.2; 218.06972, 2.8; 272.13242, 2.8; 231.06525, 2.5; 249.07599, 2.2; 170.08132, 2.2; 212.09497, 2.1; 208.04875, 2.1; 177.10239, 2; 231.06488, 1.5; 218.05637, 1.4; 138.05487, 1.3; 124.07569, 1; 223.10783, 0.8; 211.10797, 0.8; 110.06034, 0.8; 120.04462, 0.6; 203.08154, 0.6","271.12875, 100; 225.12326, 23.6; 225.08687, 8.7; 238.0947, 8.7; 256.10518, 8.1; 272.13196, 4.5; 218.05928, 3.7; 212.09479, 3.6; 226.05923, 3.3; 235.10732, 3.2; 253.11803, 2.8; 210.10001, 2.4; 219.05266, 2; 203.08127, 1.8; 177.1021, 1.8; 219.06638, 1.5; 223.10805, 1.4; 170.08098, 1.4; 211.10785, 1.3; 124.07581, 1.3; 158.15381, 1.3; 231.06512, 1.3; 208.04918, 0.6; 120.04457, 0.6; 138.05508, 0.6","271.12894, 100; 225.12335, 26.9; 256.10542, 9.8; 225.08707, 9.6; 238.09504, 8.8; 272.13193, 4.8; 226.05935, 4.6; 253.11826, 4; 235.10746, 3.9; 219.33948, 3.7; 212.09525, 3.6; 210.09999, 2.4; 170.08127, 2.2; 203.08173, 1.6; 231.06497, 1.5; 138.05499, 1.4; 124.07582, 1.4; 217.09731, 1.1; 208.04874, 0.9; 223.10765, 0.9; 225.11151, 0.8; 71.08623, 0.7; 177.1024, 0.7; 211.10808, 0.7; 212.11583, 0.7; 249.07561, 0.6; 239.10205, 0.6",9.69954674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpd:C08280; cpd:C20942,2.055119735,Bacilysin Bacilysin Bacilysin,NA,NA,NA,NA
I158.1176R5.48_HILICPos,HILICPos,23092363.41,1685743.272,37228406.08,158.117615,328.6930953,NA,4,,,"158.1176, 100; 157.17003, 6.5; 158.09705, 5.5; 158.15408, 4.1; 159.12089, 3.1; 72.08149, 2.1; 98.09679, 1.7; 95.04962, 1.6; 116.08204, 1.4; 141.00045, 1.3; 99.05571, 1.2; 158.17072, 1; 116.04729, 1; 158.04786, 0.9; 141.13855, 0.8; 98.07167, 0.6; 58.0659, 0.6","158.11768, 100; 157.17007, 6.2; 158.09719, 4.9; 158.15414, 3.7; 159.12096, 3; 158.17085, 1.4; 95.04968, 1.3; 72.08144, 1.2; 157.09732, 1.1; 141.00067, 0.8; 158.04825, 0.8; 157.13348, 0.7; 58.0659, 0.7; 98.09687, 0.7","158.1176, 100; 158.15395, 7; 157.17003, 7; 159.12099, 3.4; 158.09738, 3.3; 157.09721, 1.1; 95.04958, 1.1; 158.17077, 1.1; 141.00041, 1; 98.09698, 0.6; 58.0659, 0.6","158.11766, 100; 158.15402, 6.6; 157.17007, 6.4; 159.12098, 3.1; 158.09751, 2.6; 157.09733, 1.4; 158.1736, 1.3; 95.04964, 1.3; 72.08144, 0.8; 157.13358, 0.8; 98.09693, 0.6; 58.06589, 0.6",5.478218256,NA,NA,I158.1176R5.48,190,M+H,+,157.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I124.0064R10.88_HILICNeg,HILICNeg,21927450.8,1896712.051,33771917.97,124.006394,652.5603017,Taurine,1,,,"124.01125, 100; 123.90107, 58.1; 79.9562, 39.5; 82.03929, 29; 124.0506, 22.9; 82.02868, 14.9; 70.94491, 8.4; 81.04461, 6.4; 66.00853, 3.7; 65.0133, 3.6; 123.0555, 3.2; 123.01891, 2.6; 67.02885, 1.9; 97.03964, 1.7; 106.97971, 1.5; 125.03453, 1.5; 125.00981, 1.4; 123.03858, 1.4; 80.96402, 1; 123.9198, 0.9; 83.0239, 0.8; 58.02859, 0.8","124.01026, 100; 123.90105, 89.7; 82.03991, 49.4; 79.95688, 41; 124.05061, 32.5; 82.0287, 24.4; 70.9449, 11.1; 81.04466, 9.4; 66.00856, 7.4; 65.01331, 6; 123.05534, 5.9; 123.0191, 3.1; 58.02857, 2.8; 125.03462, 2.8; 67.02898, 2.6; 65.99739, 1.9; 83.0239, 1.8; 106.97964, 1.6; 97.03954, 1.6; 123.91949, 1; 124.05885, 0.9; 82.04798, 0.9; 95.95664, 0.8; 64.01801, 0.8; 95.02391, 0.7; 125.05415, 0.7; 125.00987, 0.6; 96.95375, 0.6; 124.03949, 0.6; 64.96904, 0.6","123.90097, 100; 124.00823, 37.5; 79.9562, 17.9; 82.03977, 5.4; 82.0286, 4.9; 70.94482, 4.5; 124.05065, 4.4; 81.04454, 4.4; 123.05524, 4.3; 94.95598, 2.2; 65.99724, 1.8; 67.02886, 1.2; 65.01333, 1; 58.02859, 0.8; 125.0347, 0.8; 123.9458, 0.7","123.90094, 100; 124.00632, 79.9; 79.95619, 42.8; 70.94481, 24.8; 82.03985, 11.7; 124.05068, 7.6; 82.02863, 5.8; 81.04469, 4.3; 123.05511, 4.2; 94.95574, 2.1; 65.99729, 2.1; 123.01868, 2.1; 67.02891, 2; 106.97976, 1.2; 65.01324, 1; 125.03458, 1; 123.90605, 0.9; 58.02861, 0.9; 123.91931, 0.9; 64.01801, 0.8; 66.00847, 0.8; 96.95332, 0.7",10.87600503,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taurine,0.048023709,0.876005029,cpd:C00245,3.589763677,Taurine; Taurine;,NA,NA,NA,NA
I172.0067R5.44_HILICNeg,HILICNeg,20686273.63,465750.984,19252547.64,172.0066965,326.6395585,2-Aminobenzenesulfonate; 4-Aminobenzenesulfonate; 2-Aminobenzenesulfonate; 4-Aminobenzenesulfonate;,3,2-Aminobenzenesulfonate,3,"154.94653, 100; 79.9562, 21.3; 130.0401, 12.7; 172.06223, 11.4; 171.06691, 11.3; 65.01333, 10.8; 172.95724, 9; 106.03996, 7.1; 132.05574, 4.8; 144.05746, 4.6; 105.04471, 4.5; 89.01259, 4.2; 145.0511, 4.2; 131.03934, 3.7; 66.00907, 3; 172.07035, 2.8; 91.02904, 2.7; 76.96886, 2.7; 170.99611, 2.5; 173.04964, 2.4; 173.08251, 2.3; 172.00685, 2.3; 81.04462, 1.9; 96.95897, 1.9; 118.04004, 1.8; 129.04482, 1.7; 146.03517, 1.7; 120.05569, 1.7; 172.05122, 1.5; 146.07148, 1.5; 67.02897, 1.3; 119.02408, 1; 107.03845, 0.8; 171.1384, 0.8; 145.05894, 0.8; 90.00859, 0.8; 121.05096, 0.8; 145.04017, 0.7; 154.08826, 0.6; 173.0656, 0.6; 106.04819, 0.6","154.94658, 100; 79.95621, 11.1; 172.95728, 8.6; 171.06698, 6.9; 130.04012, 6.2; 172.0622, 5.5; 65.01333, 5.4; 170.99624, 3.3; 106.03859, 3.1; 105.04345, 2.5; 132.05582, 2.5; 76.96886, 2.4; 144.05593, 2.3; 96.95903, 2.2; 89.01342, 2.1; 145.05118, 2; 131.03952, 1.6; 172.00681, 1.4; 172.07038, 1.4; 91.02904, 1.3; 173.08257, 1.2; 66.00858, 1.2; 173.04867, 1.1; 171.13853, 1; 81.04469, 1; 129.04484, 1; 118.04002, 1; 146.07153, 0.8; 120.05573, 0.8; 67.02903, 0.7; 172.05117, 0.7; 94.97944, 0.7; 154.0883, 0.6; 136.93597, 0.6","154.94641, 100; 79.95614, 8.2; 172.95712, 8.1; 170.99606, 4.9; 96.95893, 3.4; 76.96997, 2.5; 171.13836, 1.2; 172.00674, 1","154.94642, 100; 79.95614, 11.5; 172.95712, 9.1; 170.99603, 4.4; 96.95892, 3.3; 76.96958, 2.6; 171.13826, 1.8; 172.00671, 1.4; 154.08834, 0.8",5.443992641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpd:C06333; cpd:C06334; cpd:C06335,0.82953962,2-Aminobenzenesulfonate; 4-Aminobenzenesulfonate; 2-Aminobenzenesulfonate; 4-Aminobenzenesulfonate;,NA,NA,NA,NA
I173.0921R8.33_HILICPos,HILICPos,19539371.78,1457936.674,19530908.76,173.0921477,499.7070247,NA,4,,,NA,NA,NA,NA,8.328450411,NA,NA,I173.0921R8.33,53,I,+,NA,142,173.0921477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I131.0704R10.12_HILICPos,HILICPos,19485849.5,5347463.323,16189677.74,131.0704165,606.9629787,PANTOLACTONE ID:CCMSLIB00000578063,2,,,"132.10199, 100; 131.07037, 53.5; 57.03347, 20.2; 103.0394, 15.3; 114.09164, 12.3; 71.04985, 11.8; 61.02917, 9.7; 71.0134, 6.1; 113.06006, 4.5; 99.04454, 3.8; 88.07622, 3.7; 131.0817, 3.2; 131.118, 2.6; 130.12271, 2.6; 131.03708, 2.5; 70.06577, 1.1; 86.09695, 1; 117.05478, 0.9; 130.0694, 0.9; 130.1593, 0.8; 130.08621, 0.8; 84.08125, 0.7; 79.03538, 0.6; 71.0611, 0.6; 99.94093, 0.6; 122.06444, 0.6; 138.65514, 0.6","132.1021, 100; 131.07051, 28.1; 57.03431, 12.3; 114.09167, 10.8; 103.03943, 9.9; 71.04987, 7.9; 71.01352, 4.6; 61.02923, 4.6; 88.07637, 4.2; 131.11823, 3.2; 131.08186, 3.1; 130.1228, 2.9; 113.06009, 2.2; 131.03709, 1.4; 70.06578, 1.3; 130.06947, 1.1; 99.04456, 1; 86.09716, 1; 130.08669, 0.8; 132.07405, 0.7; 121.46481, 0.6; 52.11829, 0.6; 109.41522, 0.6; 123.52287, 0.6","132.10207, 100; 114.09164, 17.7; 131.07045, 9.9; 57.03429, 5.8; 131.08182, 5.6; 88.07626, 4.2; 103.03943, 3.8; 70.06579, 3.2; 71.04985, 3.1; 130.12271, 2.9; 61.02919, 2.8; 131.11769, 2.3; 130.06525, 1; 130.15874, 0.9; 109.38847, 0.8; 57.47253, 0.8; 82.82334, 0.8; 107.67352, 0.8; 57.98809, 0.8; 77.54963, 0.8; 71.01347, 0.8; 103.93223, 0.8; 58.69942, 0.7; 130.08629, 0.7; 106.854, 0.7; 67.00984, 0.7; 73.92645, 0.7; 96.11568, 0.6; 50.11467, 0.6; 51.80637, 0.6","132.10204, 100; 131.07042, 13.1; 114.09166, 11.3; 57.03431, 6.4; 88.07629, 6.1; 103.03929, 3.8; 61.02915, 3.4; 71.04983, 3; 71.01337, 2.7; 70.06582, 1.7; 130.12285, 1.6; 131.08185, 1.5; 131.11809, 1.5; 99.04456, 1.3; 84.08132, 1; 113.06011, 1; 94.94864, 0.9; 74.98876, 0.9; 62.6483, 0.8; 112.22406, 0.7; 112.54733, 0.7; 109.82202, 0.7; 57.22037, 0.7",10.11604964,NA,NA,I131.0704R10.12,77; 77,M+H; I,+; +,130.068; NA,NA; 42,NA; 131.070416527404,NA,NA,NA,cpd:C00233; cpd:C00671; cpd:C00902; cpd:C01012; cpd:C01109; cpd:C02122; cpd:C02129; cpd:C03241; cpd:C03465; cpd:C03467; cpd:C03500; cpd:C03625; cpd:C03895; cpd:C05535; cpd:C06008; cpd:C06102; cpd:C12314; cpd:C14530; cpd:C15606; cpd:C15653; cpd:C16432; cpd:C17211; cpd:C21378,3.072175778,4-Methyl-2-oxopentanoate; (S)-3-Methyl-2-oxopentanoic acid; 6-Hydroxyhexan-6-olide; Adipate semialdehyde; 1-Oxa-2-oxo-3-hydroxycycloheptane,"132.10199, 100; 131.07037, 53.5; 57.03347, 20.2; 103.0394, 15.3; 114.09164, 12.3; 71.04985, 11.8; 61.02917, 9.7; 71.0134, 6.1; 113.06006, 4.5; 99.04454, 3.8; 88.07622, 3.7; 131.0817, 3.2; 131.118, 2.6; 130.12271, 2.6; 131.03708, 2.5; 70.06577, 1.1; 86.09695, 1; 117.05478, 0.9; 130.0694, 0.9; 130.1593, 0.8; 130.08621, 0.8; 84.08125, 0.7; 79.03538, 0.6; 71.0611, 0.6; 99.94093, 0.6; 122.06444, 0.6; 138.65514, 0.6",PANTOLACTONE ID:CCMSLIB00000578063,1.111977881,0.823562703
I158.0813R7.81_HILICPos,HILICPos,19036012.97,1774228.492,27392696.54,158.0813005,468.4200854,2-Hydroxyethylclavam;,3,,,"158.08118, 100; 158.11758, 44.1; 158.15397, 31.3; 157.16996, 22.4; 157.09718, 17.3; 72.08143, 11; 158.09623, 9.5; 99.04453, 6.4; 130.08621, 6.1; 98.09685, 5.8; 158.16938, 5.6; 58.06626, 5.3; 111.09199, 4.9; 159.08059, 4.4; 95.04954, 3.5; 141.13865, 3.5; 72.04504, 3.4; 158.04795, 3.4; 159.09167, 2.9; 117.05466, 2.9; 141.00045, 2.8; 70.06573, 2.7; 117.05502, 2.6; 159.06536, 2.3; 116.08213, 2; 99.05578, 1.9; 117.95989, 1.5; 158.12874, 1.4; 112.07583, 1.3; 157.13398, 1.3; 100.07612, 1.3; 98.07173, 1.2; 141.06573, 1; 140.07048, 0.9; 159.0433, 0.8; 141.10211, 0.7; 159.12083, 0.6; 57.03419, 0.6; 85.02892, 0.6; 114.09155, 0.6","158.08134, 100; 158.15418, 42.2; 157.17017, 36.6; 158.11755, 33; 157.09737, 23.9; 158.0964, 16.3; 111.09214, 8.4; 130.08637, 7; 72.08151, 6.3; 158.16949, 6.2; 141.00064, 6; 95.04977, 5.2; 58.06594, 5.1; 99.04459, 4.9; 159.08199, 4.8; 117.05501, 4.4; 159.09175, 4.1; 72.04509, 3.6; 98.09695, 3.2; 158.12913, 3; 158.0481, 2.2; 115.96437, 2.1; 117.95992, 2; 157.13366, 2; 116.08226, 1.8; 85.02897, 1.7; 99.05585, 1.4; 157.07628, 1.2; 141.06598, 1.1; 70.06573, 1.1; 102.09197, 1; 112.07635, 0.9; 111.0555, 0.9; 71.0499, 0.9; 159.06532, 0.8; 56.96555, 0.8; 116.07088, 0.7; 118.08654, 0.7; 139.08662, 0.6; 159.11244, 0.6; 123.11715, 0.6; 117.05472, 0.6; 135.9705, 0.6; 100.07605, 0.6; 132.08034, 0.6; 82.13656, 0.6; 57.03426, 0.6; 98.07174, 0.6; 125.0735, 0.6; 140.14377, 0.6","158.08122, 100; 158.15152, 22.5; 157.09724, 17.9; 157.17007, 13.1; 159.0918, 7.2; 130.08646, 6.7; 159.08055, 6.1; 158.11743, 4.2; 72.04514, 3.5; 95.04957, 2.9; 72.08143, 2.6; 58.06587, 2.5; 158.10046, 2.5; 132.08104, 2; 141.0005, 2; 158.17065, 1.9; 112.07608, 1.8; 111.09209, 1.7; 85.02893, 1.6; 157.07608, 1.1; 158.09483, 1; 72.04499, 0.9; 102.09163, 0.9; 116.07098, 0.8; 157.13368, 0.8; 158.12885, 0.7; 140.071, 0.7; 159.11266, 0.6; 98.09692, 0.6","158.08128, 100; 158.15405, 23.5; 158.11767, 23; 157.17005, 14; 157.09728, 8.6; 130.08646, 7.3; 159.08069, 6.5; 72.04512, 5.3; 99.04459, 4.9; 117.05497, 3.8; 111.09209, 3.7; 58.06592, 3.3; 158.17095, 2.8; 72.08145, 2.3; 95.0496, 1.9; 158.09576, 1.9; 102.09179, 1.5; 113.10767, 1.4; 85.02907, 1.4; 112.076, 1.3; 159.09177, 1.3; 159.06532, 1.1; 141.00069, 1; 71.04986, 1; 98.0969, 0.9; 140.07063, 0.9; 157.13354, 0.9; 158.12908, 0.9; 57.0344, 0.7; 105.04538, 0.6",7.807001423,NA,NA,I158.0813R7.81,32,M+H-C3H2O3,+,243.085,NA,NA,NA,NA,NA,cpd:C07411; cpd:C17361; cpd:C17724; cpd:C20828,2.642263728,2-Hydroxyethylclavam;,NA,NA,NA,NA
