file,count,Light scatter,Chlorophyll fluorescence,Qc (pgC /cell),diameter (micron)
3430 A mix.fcs,136807,0.212905,2.662124,0.223937086669949,1.16919064397454
3430 B mix.fcs,138504,0.227315,2.608079,0.231645137634831,1.18462802331513
3430 C mix.fcs,141774,0.219498,2.568431,0.227621471798705,1.176609645401
3430 D.fcs,173414,0.158683,1.598359,0.192532078570308,1.10268184351548
3430 F.fcs,354595,0.163632,1.619159,0.195641602707808,1.10955179879092
