MassFeature_Column,SampID,std_area,cluster,cluster_letters
I174.1126R8.06_HILICPos_X_HILICPos,1314_A,0,4,g
I175.0789R1_CyanoAq_X_RP,1314_A,0,6,e
I175.119R17.83_HILICPos_X_HILICPos,1314_A,0.8628187211673484,1,a
I176.0918R10.77_HILICPos_X_HILICPos,1314_A,0,4,g
I176.1281R10.33_HILICPos_X_HILICPos,1314_A,0.9967365350984004,6,e
I176.1282R7.85_HILICPos_X_HILICPos,1314_A,0.7007436921948089,4,g
I177.0581R9.17_HILICPos_X_HILICPos,1314_A,0,4,g
I177.0582R7.98_HILICPos_X_HILICPos,1314_A,0,4,g
I180.1019R8.38_HILICPos_X_HILICPos,1314_A,0.9464079324616704,7,f
I182.0674R1.17_CyanoAq_X_RP,1314_A,0,2,c
I185.0922R8.02_HILICPos_X_HILICPos,1314_A,0,4,g
I186.0253R12.12_HILICNeg_X_HILICNeg,1314_A,0.6215464958810218,1,a
I188.0707R7.54_HILICPos_X_HILICPos,1314_A,0.7087066604950817,1,a
I189.1235R6.93_HILICPos_X_HILICPos,1314_A,0,4,g
I190.1439R0.83_CyanoAq_X_RP,1314_A,0.843346332144451,4,g
I192.9808R2.93_HILICNeg_X_HILICNeg,1314_A,0,4,g
I193.0531R10.87_HILICPos_X_HILICPos,1314_A,0.9765623487057628,7,f
I193.0894R10.12_HILICPos_X_HILICPos,1314_A,0.8661879471417678,7,f
I194.9965R12.04_HILICNeg_X_HILICNeg,1314_A,0,3,b
I195.0765R10.08_HILICPos_X_HILICPos,1314_A,0,4,g
I196.0831R1.52_CyanoAq_X_RP,1314_A,0,2,c
I196.083R5.03_HILICPos_X_HILICPos,1314_A,0,2,c
I203.1392R1.16_CyanoAq_X_RP,1314_A,0.827095126968775,1,a
I204.1232R7.22_HILICPos_X_HILICPos,1314_A,0,5,d
I204.1233R3.65_HILICPos_X_HILICPos,1314_A,0,4,g
I206.0675R2.59_CyanoAq_X_RP,1314_A,0,4,g
I207.0686R8.88_HILICPos_X_HILICPos,1314_A,0,4,g
I209.0478R11.07_HILICPos_X_HILICPos,1314_A,0,6,e
I211.0565R12.12_HILICPos_X_HILICPos,1314_A,0,1,a
I214.0484R11.68_HILICNeg_X_HILICNeg,1314_A,0,5,d
I217.93R10.87_HILICNeg_X_HILICNeg,1314_A,0,6,e
I219.9271R10.87_HILICNeg_X_HILICNeg,1314_A,0,6,e
I221.022R10.39_HILICNeg_X_HILICNeg,1314_A,0,4,g
I221.0843R5.58_HILICPos_X_HILICPos,1314_A,0,4,g
I221.0843R8.12_HILICPos_X_HILICPos,1314_A,0,4,g
I221.0844R0.89_CyanoAq_X_RP,1314_A,0,4,g
I225.1607R2.2_HILICNeg_X_HILICNeg,1314_A,0,4,g
I227.1754R2.2_HILICPos_X_HILICPos,1314_A,0,4,g
I228.0979R6.34_HILICPos_X_HILICPos,1314_A,0.6221966635386971,1,a
I229.1549R0.89_CyanoAq_X_RP,1314_A,0,4,g
I229.1557R2_HILICNeg_X_HILICNeg,1314_A,0,3,b
I232.0231R10.77_HILICNeg_X_HILICNeg,1314_A,0,2,c
I232.118R6.16_HILICPos_X_HILICPos,1314_A,0,4,g
I235.1653R7.18_HILICPos_X_HILICPos,1314_A,0,5,d
I236.1492R9.91_HILICPos_X_HILICPos,1314_A,0,4,g
I236.1493R8.23_HILICPos_X_HILICPos,1314_A,0,4,g
I237.1235R1.65_CyanoAq_X_RP,1314_A,0,3,b
I238.0524R11.67_HILICPos_X_HILICPos,1314_A,0,4,g
I240.1092R0.94_CyanoAq_X_RP,1314_A,0,2,c
I241.0119R13.69_HILICNeg_X_HILICNeg,1314_A,0.8689997003929142,5,d
I243.1715R1.84_HILICNeg_X_HILICNeg,1314_A,0,3,b
I244.0828R9.94_HILICNeg_X_HILICNeg,1314_A,0,6,e
I244.0929R7.89_HILICPos_X_HILICPos,1314_A,0.7781659123445983,1,a
I245.1861R2.33_CyanoAq_X_RP,1314_A,0,3,b
I245.1862R2.58_CyanoAq_X_RP,1314_A,0,3,b
I252.083R12.11_HILICPos_X_HILICPos,1314_A,0,1,a
I252.1092R3.46_HILICPos_X_HILICPos,1314_A,0.6860153907731432,1,a
I252.1441R10.53_HILICPos_X_HILICPos,1314_A,0.9840231885582308,7,f
I260.1131R1.01_CyanoAq_X_RP,1314_A,0,6,e
I263.1426R2.13_CyanoAq_X_RP,1314_A,0,5,d
I267.0726R11.17_HILICNeg_X_HILICNeg,1314_A,0.7201375525245652,2,c
I268.1042R1.29_CyanoAq_X_RP,1314_A,0,4,g
I269.0882R1.02_CyanoAq_X_RP,1314_A,1,7,f
I271.1288R9.7_HILICPos_X_HILICPos,1314_A,0,6,e
I271.1291R0.87_CyanoAq_X_RP,1314_A,0,6,e
I275.9414R1.7_HILICNeg_X_HILICNeg,1314_A,0,4,g
I279.1706R4.12_CyanoAq_X_RP,1314_A,0.6952301908037178,3,b
I283.0872R1.5_CyanoAq_X_RP,1314_A,0,4,g
I284.0991R8.89_HILICPos_X_HILICPos,1314_A,0.8043748765724481,1,a
I285.1445R6.57_HILICPos_X_HILICPos,1314_A,0,6,e
I285.1447R0.91_CyanoAq_X_RP,1314_A,0,4,g
I285.1447R1.14_CyanoAq_X_RP,1314_A,0,6,e
I285.6464R1_CyanoAq_X_RP,1314_A,0,4,g
I288.1918R7.18_HILICPos_X_HILICPos,1314_A,0,5,d
I288.2032R0.91_CyanoAq_X_RP,1314_A,0.6285817704505305,3,b
I289.1393R10.28_HILICPos_X_HILICPos,1314_A,0,4,g
I291.0698R7.5_HILICPos_X_HILICPos,1314_A,1,6,e
I292.0629R12.12_HILICPos_X_HILICPos,1314_A,0,3,b
I292.0727R10.9_HILICNeg_X_HILICNeg,1314_A,0,5,d
I293.2112R9.77_CyanoAq_X_RP,1314_A,0,4,g
I293.2113R9.66_CyanoAq_X_RP,1314_A,0,4,g
I294.1814R1.08_CyanoAq_X_RP,1314_A,0,5,d
I295.1291R1.78_CyanoAq_X_RP,1314_A,0,3,b
I295.1654R2.4_CyanoAq_X_RP,1314_A,0,5,d
I295.1655R2.58_CyanoAq_X_RP,1314_A,0,3,b
I295.1655R2.81_CyanoAq_X_RP,1314_A,0,3,b
I296.6058R1.22_CyanoAq_X_RP,1314_A,0,6,e
I297.0846R5.35_HILICPos_X_HILICPos,1314_A,0,5,d
I298.0971R2.1_CyanoAq_X_RP,1314_A,0.5747015294039128,1,a
I298.957R7.41_HILICNeg_X_HILICNeg,1314_A,0,4,g
I302.0009R7.07_HILICNeg_X_HILICNeg,1314_A,0,2,c
I303.1551R9.17_HILICPos_X_HILICPos,1314_A,0,6,e
I303.1553R0.89_CyanoAq_X_RP,1314_A,0,6,e
I304.079R2.8_HILICNeg_X_HILICNeg,1314_A,0,2,c
I308.1605R5.35_HILICPos_X_HILICPos,1314_A,0,5,d
I310.14R1.31_CyanoAq_X_RP,1314_A,0.8784032615703917,7,f
I311.1239R1.4_CyanoAq_X_RP,1314_A,0,2,c
I313.1548R4.98_CyanoAq_X_RP,1314_A,0,3,b
I316.0457R12.61_HILICNeg_X_HILICNeg,1314_A,0,4,g
I317.0553R12.1_HILICNeg_X_HILICNeg,1314_A,0.7230695523699184,1,a
I321.2427R9.33_CyanoAq_X_RP,1314_A,0,5,d
I322.1877R1.19_CyanoAq_X_RP,1314_A,0.7561112099789619,3,b
I325.0188R11.15_HILICNeg_X_HILICNeg,1314_A,0,4,g
I326.0563R6.58_HILICPos_X_HILICPos,1314_A,0,4,g
I327.1204R10.42_HILICNeg_X_HILICNeg,1314_A,0,6,e
I329.0856R4.34_HILICNeg_X_HILICNeg,1314_A,0.8936056621100272,7,f
I329.1346R2.89_CyanoAq_X_RP,1314_A,0,6,e
I329.1347R0.88_CyanoAq_X_RP,1314_A,0,6,e
I329.1742R7.17_HILICPos_X_HILICPos,1314_A,0,5,d
I331.1154R11.28_HILICNeg_X_HILICNeg,1314_A,0,6,e
I333.1293R11.28_HILICPos_X_HILICPos,1314_A,0,6,e
I338.006R9.9_HILICNeg_X_HILICNeg,1314_A,0,4,g
I340.0028R9.93_HILICNeg_X_HILICNeg,1314_A,0,4,g
I340.2597R6.93_CyanoAq_X_RP,1314_A,0,4,g
I345.0462R0.88_CyanoAq_X_RP,1314_A,0,2,c
I346.0564R12.06_HILICNeg_X_HILICNeg,1314_A,0,1,a
I347.1452R0.87_CyanoAq_X_RP,1314_A,0,6,e
I376.9346R7.43_HILICNeg_X_HILICNeg,1314_A,0,4,g
I377.1459R4.24_CyanoAq_X_RP,1314_A,0.8382796754232891,3,b
