MassFeature_Column,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C1_B,S2C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
I152.0567R7.37_HILICPos_X_HILICPos,0.4825174825174825,0.38732394366197187,0.35,0.4178082191780822,0.34931506849315064,0.32191780821917804,0.4375,0.4027777777777778,0.3776223776223776,0.36363636363636365,0.2797202797202797,0.3426573426573427,0.5547945205479452,0.7142857142857143,0.6413793103448275,0.6944444444444444,0.5068493150684932,0.6433566433566433,0.5753424657534247,0.6041666666666667,0.09027777777777779,0.1103448275862069,0.21276595744680848,0.2808219178082192,0.24817518248175185,0.204225352112676,0.34751773049645385,0.25850340136054417,0.217687074829932,0.36986301369863017,0.23287671232876717,0.3835616438356164,0.2797202797202797,0.3813559322033898,0.3801652892561983,0.3589743589743589,0.5677966101694916,0.3739130434782608,0.4036697247706422,0.36690647482014394,0.44202898550724634,0.4696969696969697,0.376,0.326530612244898,0.3648648648648649,0.3783783783783784,0.4178082191780822,0.4965986394557823,0.2068965517241379,0.2191780821917808,0.19999999999999996,0.18620689655172418,0.3835616438356164,0.4013605442176871,0.41496598639455784,0.273972602739726,0.36986301369863017,0.4246575342465754,0.21232876712328763,0.32867132867132864
I152.0567R8.12_HILICPos_X_HILICPos,0.972027972027972,0.971830985915493,0.9642857142857143,0.9178082191780822,0.9178082191780822,0.9178082191780822,0.9722222222222222,0.9652777777777778,0.972027972027972,0.958041958041958,0.972027972027972,0.951048951048951,0.7876712328767124,0.8299319727891157,0.806896551724138,0.8958333333333334,0.8972602739726028,0.8601398601398601,0.8493150684931507,0.8541666666666666,0.8958333333333334,0.903448275862069,0.9078014184397163,0.8904109589041096,0.9124087591240876,0.8873239436619719,0.8794326241134752,0.8843537414965986,0.8775510204081632,0.8972602739726028,0.8835616438356164,0.8972602739726028,0.8671328671328671,0.9322033898305084,0.8925619834710744,0.9316239316239316,0.9067796610169492,0.9391304347826087,0.9357798165137614,0.8345323741007195,0.8623188405797102,0.8939393939393939,0.928,0.7687074829931972,0.7635135135135135,0.8108108108108107,0.7602739726027398,0.782312925170068,0.7655172413793103,0.7191780821917808,0.8275862068965517,0.806896551724138,0.7671232876712328,0.7482993197278911,0.7551020408163265,0.8287671232876712,0.821917808219178,0.7534246575342466,0.773972602739726,0.7972027972027972
I152.0568R1.08_CyanoAq_X_RP,0.7792207792207793,0.8148148148148149,0.8170731707317074,0.6931818181818181,0.6888888888888889,0.6704545454545454,0.8478260869565217,0.8444444444444444,0.8651685393258427,0.8117647058823529,0.8461538461538461,0.8350515463917526,0.8736842105263158,0.92,0.8787878787878788,0.9239130434782609,0.8470588235294118,0.8705882352941177,0.8674698795180723,0.8709677419354839,0.5795454545454546,0.6595744680851063,0.6164383561643836,0.6823529411764706,0.7108433734939759,0.6703296703296704,0.6976744186046512,0.6829268292682926,0.6736842105263158,0.8252427184466019,0.7029702970297029,0.8446601941747574,0.801980198019802,0.7962962962962963,0.7758620689655172,0.7777777777777778,0.7647058823529411,0.7894736842105263,0.7142857142857143,0.782608695652174,0.8444444444444444,0.8260869565217391,0.7903225806451613,0.84375,0.84375,0.8333333333333334,0.845360824742268,0.8526315789473684,0.7669902912621359,0.7647058823529411,0.7524752475247525,0.7227722772277227,0.8367346938775511,0.83,0.8315789473684211,0.7575757575757576,0.8217821782178218,0.8316831683168316,0.7346938775510203,0.7722772277227723
I152.0707R9.08_HILICPos_X_HILICPos,0.6363636363636364,0.6338028169014085,0.6357142857142857,0.5684931506849316,0.5547945205479452,0.5547945205479452,0.6041666666666667,0.6041666666666667,0.6153846153846154,0.6083916083916083,0.6013986013986015,0.6083916083916083,0.8493150684931507,0.9387755102040817,0.9379310344827586,0.8472222222222222,0.8698630136986302,0.8041958041958042,0.7876712328767124,0.8055555555555556,0.8194444444444444,0.7862068965517242,0.801418439716312,0.863013698630137,0.8540145985401459,0.8732394366197183,0.8439716312056738,0.8163265306122449,0.9387755102040817,0.952054794520548,0.952054794520548,0.8835616438356164,0.8881118881118881,0.7033898305084746,0.7355371900826446,0.7521367521367521,0.7457627118644068,0.6260869565217391,0.6055045871559632,0.6546762589928057,0.6666666666666667,0.7651515151515151,0.768,0.8435374149659864,0.8783783783783784,0.8783783783783784,0.8698630136986302,0.8639455782312925,0.9586206896551724,0.9589041095890412,0.9310344827586207,0.9310344827586207,0.9383561643835616,0.9319727891156463,0.9251700680272109,0.9383561643835616,0.9452054794520548,0.9383561643835616,0.9589041095890412,0.958041958041958
I152.1282R1.07_CyanoAq_X_RP,0.10389610389610393,0.012345679012345734,0.012195121951219523,0.022727272727272707,0.12222222222222223,0.05681818181818177,0.06521739130434778,0.0444444444444444,0.022471910112359605,0.2823529411764706,0.03296703296703296,0.20618556701030932,0.11578947368421055,0.09999999999999998,0.02020202020202022,0.08695652173913049,0.12941176470588234,0.14117647058823535,0.048192771084337394,0.18279569892473113,0.05681818181818177,0.0957446808510638,0.013698630136986356,0.15294117647058825,0.10843373493975905,0.03296703296703296,0.011627906976744207,0.12195121951219512,0.04210526315789476,0.029126213592232997,0.02970297029702973,0.06796116504854366,0.07920792079207917,0.7222222222222222,0.6551724137931034,0.7407407407407407,0.5490196078431373,0.6140350877192983,0.7346938775510203,0.21739130434782605,0.3222222222222222,0.6376811594202898,0.7580645161290323,0.05208333333333337,0.07291666666666663,0.10416666666666663,0.020618556701030966,0.010526315789473717,0.01941747572815533,0.039215686274509776,0.02970297029702973,0.00990099009900991,0.08163265306122447,0.040000000000000036,0.021052631578947323,0.010101010101010055,0.05940594059405946,0.01980198019801982,0.020408163265306145,0.07920792079207917
I154.0532R5.23_HILICPos_X_HILICPos,0.7062937062937062,0.7464788732394366,0.7428571428571429,0.5821917808219178,0.5753424657534247,0.5821917808219178,0.6180555555555556,0.6111111111111112,0.6013986013986015,0.6153846153846154,0.6573426573426573,0.6923076923076923,0.5205479452054795,0.6326530612244898,0.703448275862069,0.5902777777777778,0.6232876712328768,0.5664335664335665,0.547945205479452,0.5972222222222222,0.5138888888888888,0.5931034482758621,0.5815602836879432,0.6027397260273972,0.6277372262773723,0.6267605633802817,0.6312056737588653,0.6054421768707483,0.7074829931972789,0.6986301369863014,0.7123287671232876,0.6095890410958904,0.6223776223776224,0.788135593220339,0.743801652892562,0.7350427350427351,0.7203389830508475,0.6173913043478261,0.5504587155963303,0.37410071942446044,0.5072463768115942,0.7272727272727273,0.784,0.36734693877551017,0.7837837837837838,0.472972972972973,0.452054794520548,0.45578231292517,0.6758620689655173,0.6575342465753424,0.5103448275862069,0.5655172413793104,0.5616438356164384,0.6598639455782314,0.45578231292517,0.636986301369863,0.5821917808219178,0.7191780821917808,0.6575342465753424,0.6573426573426573
I154.0723R8.97_HILICPos_X_HILICPos,0.15384615384615385,0.24647887323943662,0.23571428571428577,0.29452054794520544,0.3013698630136986,0.3013698630136986,0.23611111111111116,0.23611111111111116,0.19580419580419584,0.11888111888111885,0.16083916083916083,0.26573426573426573,0.2808219178082192,0.5510204081632653,0.3793103448275862,0.5,0.48630136986301364,0.42657342657342656,0.2534246575342466,0.4097222222222222,0.27083333333333337,0.3655172413793103,0,0.3356164383561644,0.25547445255474455,0.556338028169014,0.5390070921985816,0.326530612244898,0.5034013605442177,0.6575342465753424,0.6438356164383562,0.410958904109589,0.28671328671328666,0,0,0,0,0,0,0.043165467625899234,0.07246376811594202,0,0,0.18367346938775508,0.29729729729729726,0.2567567567567568,0.3013698630136986,0.4217687074829932,0.4896551724137931,0.5,0.3655172413793103,0.43448275862068964,0.5136986301369864,0.29931972789115646,0.22448979591836737,0.43150684931506844,0.2465753424657534,0.2808219178082192,0.3904109589041096,0.4825174825174825
I155.0815R6.1_HILICPos_X_HILICPos,0.951048951048951,0.9507042253521126,0.95,0.7876712328767124,0.7808219178082192,0.7808219178082192,0.8888888888888888,0.8263888888888888,0.8811188811188811,0.916083916083916,0.9090909090909091,0.9090909090909091,0.9589041095890412,0.9591836734693877,0.9586206896551724,0.9652777777777778,0.9657534246575342,0.958041958041958,0.952054794520548,0.9444444444444444,0.9375,0.9379310344827586,0.9432624113475178,0.9657534246575342,0.9635036496350365,0.971830985915493,0.9645390070921985,0.9727891156462585,0.9659863945578231,0.9657534246575342,0.9657534246575342,0.9589041095890412,0.965034965034965,0.9576271186440678,0.9669421487603306,0.9572649572649573,0.9745762711864406,0.9565217391304348,0.9541284403669725,0.9424460431654677,0.9492753623188406,0.946969696969697,0.96,0.9455782312925171,0.9459459459459459,0.9527027027027027,0.952054794520548,0.9523809523809523,0.9448275862068966,0.9383561643835616,0.9655172413793104,0.9586206896551724,0.9452054794520548,0.9455782312925171,0.9455782312925171,0.952054794520548,0.9657534246575342,0.952054794520548,0.952054794520548,0.965034965034965
I155.0815R8.72_HILICPos_X_HILICPos,0.951048951048951,0.9507042253521126,0.95,0.7876712328767124,0.7808219178082192,0.7808219178082192,0.8888888888888888,0.8819444444444444,0.8811188811188811,0.916083916083916,0.9090909090909091,0.9090909090909091,0.9589041095890412,0.9591836734693877,0.9586206896551724,0.9652777777777778,0.9657534246575342,0.958041958041958,0.952054794520548,0.9444444444444444,0.9375,0.9379310344827586,0.9432624113475178,0.9657534246575342,0.9635036496350365,0.971830985915493,0.9645390070921985,0.9727891156462585,0.9659863945578231,0.9657534246575342,0.9657534246575342,0.9589041095890412,0.965034965034965,0.9576271186440678,0.9669421487603306,0.9572649572649573,0.9745762711864406,0.9565217391304348,0.9541284403669725,0.9424460431654677,0.9492753623188406,0.946969696969697,0.96,0.9455782312925171,0.9459459459459459,0.9527027027027027,0.952054794520548,0.9523809523809523,0.9448275862068966,0.9383561643835616,0.9655172413793104,0.9586206896551724,0.9452054794520548,0.9455782312925171,0.9455782312925171,0.952054794520548,0.9657534246575342,0.952054794520548,0.952054794520548,0.965034965034965
I157.0973R7.33_HILICPos_X_HILICPos,0.8041958041958042,0.8450704225352113,0.8214285714285714,0.5410958904109588,0.5342465753424658,0.547945205479452,0.6875,0.6458333333333333,0.6713286713286714,0.7342657342657343,0.7762237762237763,0.7552447552447552,0.8082191780821918,0.7482993197278911,0.7517241379310344,0.7361111111111112,0.7328767123287672,0.6503496503496504,0.6438356164383562,0.6736111111111112,0.8263888888888888,0.7379310344827585,0.7446808510638299,0.773972602739726,0.7445255474452555,0.7605633802816901,0.7234042553191489,0.7006802721088435,0.7891156462585034,0.7671232876712328,0.8013698630136986,0.7876712328767124,0.7972027972027972,0.6864406779661016,0.768595041322314,0.7948717948717949,0.7796610169491526,0.6521739130434783,0.5963302752293578,0.5683453237410072,0.6811594202898551,0.7196969696969697,0.792,0.8231292517006803,0.8108108108108107,0.7972972972972973,0.8082191780821918,0.8163265306122449,0.7862068965517242,0.7465753424657534,0.8620689655172413,0.8689655172413793,0.8013698630136986,0.782312925170068,0.7891156462585034,0.821917808219178,0.8287671232876712,0.821917808219178,0.821917808219178,0.8041958041958042
