MassFeature_Column,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C1_B,S2C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
I132.102R9.3_HILICPos_X_HILICPos,1304759040,864399040,1128815104,4994597888,5538135040,4204855808,1767146112,2127669888,1939019136,1501869184,1663226112,2143836928,1529563264,3582843136,3146942208,1650348160,1756334592,1903673088,2073342464,2560418816,2428125184,2063331072,1188938752,1713807232,1251209088,1773057152,2017714816,2658599936,2942406656,2883915264,2688224256,1668688000,1556876928,335600672,701893440,543802368,553707072,886515136,362720160,5839073280,5035574272,1485633536,826058240,1880591104,2094697728,1730942848,1617133568,1769544704,4044020992,6035429376,3161657088,2920488704,2717633792,3327706368,3044328704,2275771904,2677092608,3480172288,3597237760,1914526720
I134.0813R10.18_HILICPos_X_HILICPos,2811407,1445005,1665481,14480299,11267134,8469108,3234220,3454346,3299273,6291027,3794899,4574593,12816797,46349060,35633696,6413736,8032756,5629817,5830875,7006420,10061094,10131466,5747725,11400710,3326049,8477513,5821386,15967369,9553740,9714856,7842289,7493866,5189405,631361,2464171,1387350,954922,1814073,623994,304797408,93484144,5178924,2472331,34529124,23940290,16397942,51205684,22486924,44485760,102371632,30255174,24865388,34056356,30586088,16831154,15056145,27230298,41146092,24243700,10757479
I136.0395R7.72_HILICNeg_X_HILICNeg,1017127,1726805,2023125,1703219,1584073,1710577,674545,1344815,844912,1699903,1382841,1692888,7835669,10875539,10118412,6335840,5972311,3578745,5853861,4121645,8985559,4122372,3669372,5324059,3497324,4449640,3844322,4768407,6896426,7440982,7249365,6261949,6704888,398161,1083886,565942,1876774,1585437,92748,28286942,20975944,7881840,1427015,17780348,12626523,10669268,15102518,8187309,17036176,22785402,8116567,8074695,9222901,15714494,14506717,7650616,9224482,15305459,12717228,5996821
I136.0508R7.09_HILICPos_X_HILICPos,6900160,4457970,3417886,7080360,5945479,4567512,7226019,7545432,7677477,6746258,5588093,4699103,7747613,4716783,6402504,8368834,5726269,5248479,6229774,6609112,5821495,7755111,7990547,4671972,8324672,6826368,7863961,5631108,7905002,7047798,6165798,6877400,7182082,9468530,8332441,8964756,8874264,11269245,10598803,9019854,8656902,7163296,9806254,5629188,3666418,6497929,6419258,5824419,5697783,4854118,5458759,8282032,4625543,1972642,2234789,439272,4034893,6644449,5586122,6401300
I136.0619R0.89_CyanoAq_X_RP,18592842,11424263,13040405,17822804,25564804,19557090,19314750,24618378,21540816,16431415,20310430,23630932,10336214,18753712,45594992,7280963,15584868,16616918,48092988,11836190,11196386,9768722,5863689,9310717,16193735,5579825,4467231,14582495,19534854,8599404,12275200,13986981,16558345,3911771,4757406,4638896,3973433,3303848,2459464,33301234,29037402,14069261,4960085,10984174,13555009,26244584,11441223,9020115,17406668,21614574,15093863,25937992,16156818,39811876,27397036,12565874,18433344,46771764,19255426,36417920
I137.0459R1.05_CyanoAq_X_RP,5890053,5015842,8518122,14114686,10425242,11275651,6135134,5042122,5712572,7542652,6376682,8442992,2709647,9228464,10423835,1432024,4027850,5889952,11796227,5173263,6868519,8155647,3248240,3729489,2648577,2111007,1165351,3581221,23486154,2563835,2668120,5355021,5843881,3454070,4237526,3703047,5875332,4620388,2518723,73906744,53174656,11689942,4559067,3452707,4586916,4061236,2596247,1786812,5347803,11086639,4440231,3999524,10464863,17615412,13488095,2152781,19246524,15166479,4239733,3171184
I137.0459R1.2_CyanoAq_X_RP,5890053,5015842,8518122,14114686,10425242,11275651,6135134,5042122,5712572,7542652,6376682,8442992,2709647,9228464,10423835,1432024,4027850,5889952,11796227,5173263,6868519,8155647,3248240,3729489,2648577,2111007,1165351,3581221,23486154,2563835,2668120,5355021,5843881,3454070,4237526,3703047,5875332,4620388,2518723,73906744,53174656,11689942,4559067,3452707,4586916,4061236,2596247,1786812,5347803,11086639,4440231,3999524,10464863,17615412,13488095,2152781,19246524,15166479,4239733,3171184
I137.0459R6.2_HILICPos_X_HILICPos,117903560,99172320,96704032,228945312,172477440,202328480,130763424,116844656,117475280,85478792,108500376,139557936,21526720,40769868,55844692,20696246,21918008,47202856,59504296,51961016,44859148,61261412,31132830,21169794,16502553,22631008,11450690,17560348,232645296,40222892,32373124,27792500,28494442,19209674,22790778,27620142,22194524,19948656,13645491,299887456,293959712,53934572,21686256,25577360,17127616,19711164,37496056,17219938,70195552,102021944,27041492,34926008,32747930,69927632,59080388,30863508,152621600,72704232,34530952,21654456
I137.0459R7.49_HILICPos_X_HILICPos,28839660,18531440,51836992,59609376,53343256,35755296,31344968,33031652,29278864,39915912,23936836,42607256,30722232,36178972,49555480,10127364,8956064,11198332,45294020,10442507,29177366,20089466,5279806,7258996,7516074,7806752,7866029,8036091,11682085,18518386,14377426,14593284,16828728,19209674,22790778,27620142,22194524,19948656,13645491,299887456,293959712,53934572,21686256,62023904,26255358,39292756,42208980,21106928,17897130,57660748,14150630,12271394,50153124,196227584,115602640,19609036,32788026,111582704,23300922,11779746
I138.0549R5.35_HILICPos_X_HILICPos,3519564544,3418320896,5391163392,5983433216,5947652608,4671686656,2431064064,2990866176,2719306240,3742264064,3285789696,5728212992,8811464704,7718754816,8990177280,1003765376,1218930048,783288960,2793723648,1095722368,2648007680,1238989824,649330688,1074076032,1055899136,1278410880,935471232,949389888,10054493184,10593104896,9970034688,7767898624,8492630016,323686496,311150240,334601184,435215360,323396928,110558184,12450192384,10182278144,2218425088,614421504,12270536704,10270878720,10766418944,13206575104,9699582976,10075292672,12371226624,6172498432,6531612160,7847919104,14689417216,13948741632,7605057536,7542963712,10196630528,6706466304,3755641088
I138.055R7.72_HILICPos_X_HILICPos,1078081408,880163520,1549018880,1024038976,1100411136,905875200,648988032,815833216,717823936,926328128,855550784,1218361472,1333288960,1757243520,1742746752,1176262784,1023615936,587176320,1008482560,833786560,1492842112,783881408,674298880,881185408,671763776,933441088,813086976,764360768,1177814912,1443443072,1445979264,908120704,1182556544,145150000,206993888,163332368,367003328,255098992,55975724,4093228032,2982035712,1007001792,284071328,2707664128,1828331392,1864188160,2466322688,1649038208,2814727424,4158769408,1221961856,1400031488,1453025152,2671368192,2342307584,1690236672,1317035136,2610835968,2013995264,1135015936
I139.0157R7.24_HILICNeg_X_HILICNeg,2182812,1468986,433578,10121187,8809548,9644001,2149551,1297557,1935887,3600790,4688189,4190898,11148449,5107768,6551941,14335735,8418629,11271060,13040662,20576032,12524257,23057030,15182417,10046736,6444611,9097114,9754198,8296797,8442813,7617131,7915126,8186895,9707427,0,0,0,0,0,0,35883804,16448055,1150565,478719,23980060,3736070,5297445,13599606,9649653,11488599,17250718,4981517,9537421,16407420,29747660,65176336,7989201,6624472,20727958,9120761,3561382
I141.0659R7.2_HILICPos_X_HILICPos,97239840,93170400,144149984,47570680,48630416,41337640,49708196,58513684,55969504,83853008,82281912,118400336,89161208,98115664,102991992,125870640,121784952,41647496,75905560,43798976,1024044480,39679992,30853856,120890032,93182672,135500224,86312784,99769128,95451504,109291488,123884520,154488992,171506448,14289966,19535860,19790152,27649260,20138438,5140573,257867552,189785984,58203656,19932210,185520528,126076168,121455512,148215152,108956632,170919072,211906640,95487304,85550056,76654816,126117512,187013344,122444808,103990200,150193808,117275848,62921360
