MassFeature_Column,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C1_B,S2C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
I155.0815R6.1_HILICPos_X_HILICPos,901258560,724904768,957164032,271371776,299502304,230480544,320328448,226036400,326272000,617928192,618801728,790639488,819296896,2006412288,1935664640,1159145856,1179708800,664481600,704051008,728119744,714537920,482664160,411131008,1187747584,956295872,1451634304,932578816,1032888960,1707737088,1664995072,1864034688,1189336192,1224768000,242658032,337684288,244398992,437919200,281853952,92717560,2210535680,2253516800,843526208,443895552,1139735040,1027507456,908310208,1321318528,1053910656,2730965760,3844503040,1472882048,1430877952,1101242752,1347299072,1279419136,1451902208,1409449472,2067438720,2165922560,1384020352
I155.0815R8.72_HILICPos_X_HILICPos,901258560,724904768,957164032,271371776,299502304,230480544,320328448,363255232,326272000,617928192,618801728,790639488,819296896,2006412288,1935664640,1159145856,1179708800,664481600,704051008,728119744,714537920,482664160,411131008,1187747584,956295872,1451634304,932578816,1032888960,1707737088,1664995072,1864034688,1189336192,1224768000,242658032,337684288,244398992,437919200,281853952,92717560,2210535680,2253516800,843526208,443895552,1139735040,1027507456,908310208,1321318528,1053910656,2730965760,3844503040,1472882048,1430877952,1101242752,1347299072,1279419136,1451902208,1409449472,2067438720,2165922560,1384020352
I157.0973R7.33_HILICPos_X_HILICPos,118428296,117375504,143296720,55408204,62745988,58458440,64872760,65575344,57845152,83453672,113890016,143397136,68339448,93914912,101135744,55684608,58516936,34391708,32521120,36760388,125893552,50576544,35797700,76445568,42803608,65559844,43462024,49853236,108384040,94594600,109779120,84079832,92867024,7224601,13302957,11865748,13458153,7672752,2204836,76914912,84560384,21479780,13743352,130009784,81008984,65482312,105006544,76720016,213439056,320834208,182049952,180161120,115887088,143523328,121276016,130761080,144103728,210859008,138872704,92257256
I158.0813R7.81_HILICPos_X_HILICPos,6659820,3506027,6187098,17658166,19422232,14577981,16126809,20475638,19543858,9548290,9656877,12530437,63352076,23630430,33184094,13238967,9993966,9245255,10972282,17281158,9034447,11075204,11552054,7817249,13061146,13926927,26505948,12613915,69946336,73386112,78887168,21517198,26709012,2772545,4881312,3029324,2887121,4225594,1814366,17603070,25961964,17810704,4212379,49078040,41851432,60621536,51584276,69568736,52011320,63672684,53565760,102516312,39662136,60231560,62622296,55962692,24292982,55297060,40097796,26932932
I158.1176R5.48_HILICPos_X_HILICPos,67005316,63178900,82371336,196253088,208857072,206718480,55742580,67253616,59135468,65574832,90465760,150459120,32822530,37647720,41688144,28403898,34056572,26555916,27516532,27849430,34767940,25694942,18595172,24103090,19226324,25075466,17858220,22358584,122922040,51700968,62653112,31909338,35357780,954691,2218859,1518611,2447599,2116845,1767499,17158418,13424881,3931121,1882339,26156404,41409496,38338212,47625640,35715040,42769640,60035104,48143764,46462308,61549652,85456664,73915936,50362188,59278400,56046496,50014056,28487788
I160.037R5.34_HILICPos_X_HILICPos,46311636,52285580,78560392,97101280,86652320,74756760,44216224,54163852,52155688,69643312,55865748,75627632,73386320,149050384,84065888,4769234,10619484,11419044,51573672,6290501,24078590,9417147,4719983,22585820,15333201,6180715,6460024,18938170,63252140,69253720,75397184,57378096,154033408,77066,14610,27743,67255,134413,0,5628739,4124787,749073,103788,57938848,122145920,84256760,79879936,45579640,60629224,80976112,104576392,48206860,140095456,65363312,97763048,34558268,53274924,46167124,45062152,18053146
I160.0969R6.82_HILICPos_X_HILICPos,6242868,4063646,3614497,24228162,27522572,23214852,10777716,11517734,9717295,8589086,9171871,10339524,22315380,20013872,24362320,19820106,16970958,19386886,15573098,19315674,27296922,12616996,11254629,17375666,14609152,17271466,13373537,13184034,31964800,26638538,29369374,14590082,16860412,3943592,5342398,2493583,2246821,3595918,1769839,8626087,8420645,7848817,5026904,15689370,20376248,21260116,26757220,22031974,36842940,49128144,27427662,31522618,29285520,38762388,27656288,27182930,24467248,28779868,27149106,19264344
I160.0969R7.56_HILICPos_X_HILICPos,247659824,200051936,239677872,604381760,641229184,566286720,175438816,223245040,182255232,277477920,276870432,344543808,15161287,17437858,20636918,87596512,91807632,109574056,99324768,104965192,148044336,118039656,116572056,91818008,68211320,88503104,63624284,68588744,27441162,26395334,28693040,27342088,30661606,2709947,3057371,2703627,2982253,3655678,1461536,16328234,11240790,5759551,3020853,14721660,14880813,17712578,21070314,17179098,35195836,50110224,18028798,21546310,15892398,30324466,17514052,22991634,16157880,23369478,21657524,16262826
I160.0969R8.37_HILICPos_X_HILICPos,269998304,212983120,268399504,697743104,700370432,592513152,302620064,346147680,335515008,296832480,402275264,423750016,123962744,129113856,138996352,326392192,324982848,233992672,250107600,267460672,417619488,315370240,210924992,378582560,234075264,396871104,302032032,334795488,195638096,192164208,223989264,273013760,299856000,17878588,27944908,16043812,16852686,24328298,7732756,328367648,350406656,101066952,43305400,246812096,150432896,127156656,178581440,152890480,208348464,347320384,133201256,124370760,129906368,150303168,130731688,144703200,112790360,266044336,170319824,85235432
I161.0631R9.25_HILICPos_X_HILICPos,8273252,6878377,10172773,20110190,23830362,20398960,15799582,18677120,16813660,17626844,25299436,32669872,5248838,589568832,553654592,47616848,49543456,23450770,20688734,23716872,25747538,16039444,15498433,75062208,35501360,68652632,46295940,81459672,250480288,198436400,221938240,132812888,115308200,123436,433385,38552,35404,121171,10999,65885160,13231328,630694,199927,9068518,12710439,8369988,12107240,8984034,752038464,1208306944,107529432,85410832,125102528,156635472,159572192,160775776,277084800,430590016,638191168,347845600
I162.0776R1.13_CyanoAq_X_RP,571142,278910,326993,548266,874382,462939,626981,816117,537762,325369,426297,1112688,581964,1532580,1893829,504127,861217,657140,1297930,190441,499751,212991,109192,216688,658450,298313,207491,442417,1427533,1045695,1187760,750297,664386,305841,346091,394516,295658,177854,230146,3721162,2658633,668827,363257,1019206,834783,1547049,854613,753892,1797707,2308868,1015562,2004036,682806,2503703,1392799,1144820,1271870,3186405,1250762,2486038
I162.1125R6.83_HILICPos_X_HILICPos,70514600,65753740,75470848,221367728,248343664,235779024,134997296,149972016,131402280,125537640,196084096,193783856,29184514,17317352,20177002,83689672,95795528,141577712,676005056,88302064,99743344,255520064,94738624,168103632,55250172,74682384,88390616,94517888,75364632,29530390,32319144,27815160,41774148,2051653,3980622,3724297,4380085,4652446,3065801,28417034,17250944,15269955,2915347,37014476,24545226,21926402,33758948,26242500,37457920,52163460,28904934,28601248,14985943,18798876,16967646,17769632,18447538,21887358,14987105,9975591
I162.1125R8.11_HILICPos_X_HILICPos,362839264,242523264,281572704,9971917824,10152673280,8097363968,696310400,792650240,786011392,552289728,662163264,780566656,319326880,1589131776,1873068416,480382208,449424672,445365984,783140992,426512064,585366400,668168448,489553312,628521984,376612736,570928128,526104608,596136512,1031403584,911085696,939017024,556132352,654365120,26767860,85441552,29372172,27264644,34459512,12441545,820791680,526866688,119408128,48347096,370061728,411204704,386013344,497214752,389033696,5217244160,8430860288,1369061888,1486604544,1354923136,1781818752,1477671552,1457348864,1348538624,2303845376,2508068352,1397486976
I165.0581R8.33_HILICPos_X_HILICPos,59245364,46910376,62458832,1117995648,1331072384,1026803328,250709552,292445632,261005248,234220576,290002944,382559680,29655636,337936544,365636096,275676896,328787520,208185744,230624656,259513744,278083328,241818352,245718352,445549280,195622480,419874432,392444608,517196992,382578976,405806496,448595744,162590880,178856752,7239208,3354652,1154019,2636468,1350267,429131,221080944,69892496,3952852,6231309,105616248,48573516,37651960,69466264,47356212,511147552,828067584,85764640,85076808,79375288,109451400,70274304,93073272,95709544,197763120,308698560,178572656
I166.0864R1.12_CyanoAq_X_RP,26530748,12561365,16657288,53038320,49639888,30873584,19962276,16948432,21342200,31309386,19133692,40458456,11020573,32572506,23036798,5437482,11690267,16372722,30187248,13226306,24110462,18401254,6054280,6798529,8289128,6064502,4607743,13592651,9654946,6698627,5140402,15302709,13206648,4813880,7252958,4931460,18619792,8218597,2574176,247024496,155715488,57246220,11315300,17878480,24203584,20664984,12506578,8748444,18545148,20448066,20835436,14761897,51398408,50858112,51076940,7336664,23175684,41564508,20660220,11981154
I167.0204R10.56_HILICNeg_X_HILICNeg,1867875,682556,913738,30031414,35221824,19975688,6929558,5792895,5016941,8596256,3833845,4741732,2470380,19184592,24735442,4821705,4007800,13367353,27034724,49133904,4665324,6426999,11181162,2311995,9739545,16112606,6072155,1393115,56938616,49795700,97294952,22716898,21515720,0,0,0,0,0,0,519412,326488,39707,48351,1861282,2709134,869135,297059,2784633,51965356,188478752,33839460,43665432,60468624,62430800,71852000,28605710,16771500,40788364,70724656,23570442
I168.0517R1.05_CyanoAq_X_RP,150104,144261,148217,3552855,4719285,3926311,653392,484785,543935,497886,518779,488922,0,0,170605,143852,385722,2845223,3197324,2490708,981525,773399,1527988,147088,1183826,842582,275671,398619,284145,195348,176896,1676950,1533597,0,0,0,0,0,0,573637,223829,0,0,124194,118368,234945,0,0,331039,591928,103250,108961,781951,309169,126690,56046,116051,98489,105640,82861
I170.0684R16.91_HILICPos_X_HILICPos,7078930,3078251,4740315,100849704,117700192,92938904,43170712,48340476,40188936,20902314,34677868,54701340,17066764,22958482,22889128,33473526,23521808,34893572,29445884,28045182,18550312,22771106,22490708,49209724,32885034,38436472,46979400,59381352,19076236,20051390,14471441,33520220,38017600,1255656,1847010,1698953,1533101,1493974,693985,103974272,23434340,8224122,2187085,28972404,17929930,16719248,57145344,19792954,46986952,52418256,30213766,27785110,18682378,23511946,19419978,15941989,19637200,30155444,18877670,9354398
I170.1176R8.07_HILICPos_X_HILICPos,97198856,85278776,111283072,119942520,132654456,121623848,67690880,89698880,77073176,85536112,101130720,133596224,18831948,17183120,18431966,49034960,52281096,49430144,46641312,50791020,74447720,48617088,41449248,52293156,34610804,47257896,34757648,42241216,22725834,20438830,24759284,19926742,24553264,2703850,5449833,6429800,6176132,6476704,4308516,3653875,5642080,3498040,2646734,22192468,24782164,22824924,27459878,23027498,27118560,40567824,24678644,23872816,18831404,23003770,22119204,24305480,20523112,27608836,24992712,15077091
I172.0067R5.44_HILICNeg_X_HILICNeg,5758482,6220379,13841905,31259302,34539616,33425530,7256465,7569917,7279231,5134358,7172543,11618675,12053837,17799850,23138128,25646644,20350392,14248075,20089816,20136332,18162386,15730275,11741234,22001826,17560462,26902758,27390956,25129966,20534260,19083976,20148512,15196439,19534896,0,0,0,0,0,0,40549252,11306693,842263,0,21052288,13094700,13452859,25221180,12833385,31266252,40849404,12352238,15018011,15303699,25872988,30121134,14706196,13994358,23875866,17160986,7746923
I173.0921R8.33_HILICPos_X_HILICPos,54721864,46298060,52461348,98211984,120140424,93464968,28053848,30725476,29384486,36591932,41918064,46332068,21110042,19188790,19262304,37021352,31583922,9638755,11310823,16524771,12047743,14800364,9333772,40765776,20497928,38678316,20834420,26414480,11526268,11380174,12833292,12705838,13602356,3081997,3257783,2135223,2869199,2910129,1225363,4660443,12531183,6658394,5623422,12510998,19388530,18383924,29105616,23746128,19380148,38359140,15303639,13505031,11283499,12992184,15822917,26475730,17492970,22595018,13346740,8905109
I174.022R5.45_HILICPos_X_HILICPos,13154051,13006603,31305356,78213392,85181184,79044632,16228420,17022522,15525325,10195641,15811629,26863456,23843692,43063784,47647752,55562568,55439420,37085692,43270524,43101044,46260932,35457444,25181342,52893288,35949264,56048768,56275044,63401268,43466556,36787212,39737360,38010140,38505320,859387,3893418,571761,1769395,1863277,449960,149301792,43995880,4660430,1145126,40785112,29594712,26573102,48889940,26109524,62770384,83140960,30800106,31722730,34748812,53161164,59702520,30560888,33846260,50403764,34619484,16308193
I174.1126R6.89_HILICPos_X_HILICPos,8185456,7010042,6080982,10861892,12999514,11933061,7891405,10294667,9212661,11123620,12877921,14775115,5098929,3671854,4426712,8464872,8502294,8338621,6699531,7876566,14901996,8587412,6046551,8507056,6459282,8300210,5435397,5915602,5447191,4122563,5068751,4230217,4536626,736073,2189061,2398271,2124704,2273928,1798189,949959,1314039,1895959,2003756,3845191,4946694,4548026,6831101,5519690,6218066,8706822,5823337,5973979,4751210,5055212,4350391,5527680,4881893,5396259,5240286,4176496
I174.1126R8.06_HILICPos_X_HILICPos,15135791,12385637,18374336,22217292,24304176,21672462,12915318,15040988,12952418,12936344,16591664,23917710,20222374,17615432,22064998,11001023,10662675,9327333,9003651,10104613,34080556,10514686,8643249,11385776,7781738,10533952,6912035,8042877,21930052,16876944,18934618,14695606,14917902,2921552,4611635,2701543,3859902,2491629,866768,7889857,9881678,7462746,4006309,15687387,21368328,21518306,26625260,26309904,26314664,33313208,21646182,19785422,23160556,26227600,23040474,23042230,19432028,29903258,31461262,13602190
I175.0789R1_CyanoAq_X_RP,47505,49064,30301,596793,1119978,1000603,352214,355117,379322,217893,376338,503582,121986,133819,330282,309762,504521,526830,717766,309243,260679,357230,45427,800538,913671,638874,415697,1382653,149765,158639,86709,318063,528674,31488,47624,27237,27635,18588,22359,581821,60954,134027,44877,194983,93988,285449,290998,77916,535383,420356,175657,234666,73078,304886,149680,41082,194771,477230,138830,158598
I175.119R17.83_HILICPos_X_HILICPos,114308272,67356360,236749520,161924352,159743552,80054704,70940176,86490656,81774736,126731440,66801232,88222712,33328190,32609248,24413602,14681788,16823176,17518266,28145160,17378824,51709000,34594808,9414222,9958923,10466167,12871395,9047185,17267480,21164022,27014102,24869754,26527890,21363862,13372442,9327146,5470744,14913887,43502908,4984819,884394304,512417376,45730072,6187601,77651504,74330800,53053192,48343112,28386654,41966040,58833228,30547698,18318788,70263328,76842456,115325216,31551472,42170476,45729060,42941052,13896015
I176.0918R10.77_HILICPos_X_HILICPos,13875526,7684781,7726584,71788240,98409256,57707488,74802144,100996080,82504504,16708170,15286102,22672452,11089783,4406092,5005207,1575401,1670298,3959999,1707427,4401297,6749523,3410671,9885769,2309568,1804980,1731023,10428147,20389320,8341482,8776673,6920295,6453625,9865885,5673702,1484669,1228783,1477645,4365272,1580778,54392944,49870940,1035714,580492,5731495,7284001,5350253,10496602,9890862,10309114,17520650,33160356,9932128,9619701,8346533,16298702,5288314,11463242,6116909,4513745,2204885
I176.0918R7.43_HILICPos_X_HILICPos,8390915,5312829,6598524,9486131,10051308,5323139,3628025,7535656,6138958,9716138,8252353,10777170,2592205,1653343,2149707,6545942,7687339,7860153,6546511,6544032,8819593,6884010,7122774,6646071,4647942,6059469,3599652,4446579,2920156,2920475,2779631,1874497,2676010,696716,2129959,2115931,1942375,2097142,1309860,1544545,1574555,1856744,1711697,2438242,4788926,3164064,3756395,3016097,2894910,5065177,3699058,2755175,3845567,2558917,2092234,2933563,1743076,2783034,2375107,1786448
I176.1281R10.33_HILICPos_X_HILICPos,133285048,92652600,82073808,770353664,781596160,668903680,204297216,166295328,157147568,192629904,218748304,235683056,37748428,67327088,59165772,55176284,57791608,54618292,60257416,70028984,70571064,59671892,39366560,63889860,54227548,60847332,79462312,117740992,76366512,77613528,71177040,62193632,48675108,22351986,24439446,15551623,11265180,22923188,6946157,250858384,258281168,72000720,45075324,38534180,55459260,43887820,52630464,53002900,129510888,195771488,74928496,58206392,69669720,74549816,58368140,58059216,54449800,74711736,77091704,45254724
I176.1282R7.85_HILICPos_X_HILICPos,57795444,52103064,63607096,117184632,138151408,126859600,46017212,55255228,47524484,59775568,67986976,84643256,37839372,558522688,574575104,8829175,10129872,9264265,12197117,10076147,16812296,15446783,10915169,13819351,5669017,9586545,4503851,7173829,167799776,116480480,140385472,16085077,15578557,1284044,3266754,1900361,2062356,2536987,1146093,215555296,48251344,2939667,2088559,28474696,44859108,36221060,51445964,47975996,1572208640,2424163072,339336384,320453056,331093600,426205504,346324768,439307648,511424992,765130432,988428288,618855424
I177.0581R9.17_HILICPos_X_HILICPos,925189,573287,691929,5238643,6043386,4660712,6205687,7386036,6884352,7022145,9992924,12998012,3565725,5433208,5745323,6394228,6725769,4122427,2674664,2853852,3372475,6009574,3313448,11596356,3525849,9843577,9912177,14870706,2329852,3215367,3548649,5593246,5877406,15477,36214,35980,0,21267,0,1487206,1512240,375867,120809,6594442,7318125,6485109,6129152,4443636,40397120,82863952,6376418,5277065,17071774,16336516,18219972,32297296,20823668,26419190,14460366,8367218
I177.0582R7.98_HILICPos_X_HILICPos,714303,497788,877889,2662088,3113853,2610300,3831561,4307671,3765776,4807798,7412795,9680863,28527,13229,0,4067560,3715876,5145055,3257255,3959863,3051280,3537769,2699052,2530919,1474704,2387891,4965114,7965464,0,0,0,423189,254554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I179.0048R7.02_HILICPos_X_HILICPos,544822016,506753504,553113920,172583360,188480288,158355600,210273904,267400272,222765056,320586752,311097280,410639840,15663472,21884950,24241198,59230544,60014252,71685304,69903624,70589448,159898432,87005440,64332888,59652684,44502356,61621036,41946344,48244448,37212756,34394020,38399472,35274172,39338912,8408799,19779936,19406298,20577862,20322214,18725544,4284572,5586662,8146533,7516970,16589025,16926612,16168177,19296072,16015558,50695396,62443276,27068212,23191420,22737906,28868748,22142000,25769666,26684672,29465868,37031924,22057558
I179.024R6.59_HILICPos_X_HILICPos,24826966,23812988,28731516,19537050,20190974,16801032,15630869,14870793,14024167,21925802,18504476,22918382,22925768,7008155,7338345,5237751,5493117,2506284,16571714,5789167,23168064,11300239,4053349,3381194,4137466,5791905,4002361,2010467,5356443,12861126,18224496,5184641,10046731,1116549,1126966,1530373,3363132,3026822,390899,34531204,31587174,18254270,2864502,57465788,31832926,40825996,36718752,31370220,19911218,22133360,2481122,2094115,10008775,39671000,54555544,27996428,15514381,38046644,35617224,9004193
I180.1019R8.38_HILICPos_X_HILICPos,122603704,112977568,151083744,219685088,239138000,219831536,160197248,160286896,160282608,143946288,199918544,247097728,80244712,178800816,164588240,106153672,105308952,100162896,132951336,89707024,165602608,120057336,63819932,135418768,85582328,147163552,111521832,152487152,94408928,104056928,105536696,123078328,137354848,11935177,18322108,16733575,30166472,18585428,7895894,338826176,206285936,51209044,26442254,265979872,126885304,105419712,152335760,98302512,262600672,410124288,107472328,93697224,105396112,150254448,223105392,125724824,133094776,206977808,169913072,99366800
I182.0674R1.17_CyanoAq_X_RP,668677,614474,746932,4894745,4645395,4475821,1022811,1155299,1476188,1604467,1693193,1019406,47360,4404247,2617365,890839,301390,808321,1536993,689114,264164,159164,129513,53116,857789,894593,579241,141580,904554,1605247,1869898,1676804,1944841,0,0,0,2373,0,0,93200,46315,0,2805,83314,839242,170439,9404,272256,1548982,5075133,4174067,2532520,3716624,2274512,1266550,788812,755494,3231805,5050363,1509520
I185.0922R8.02_HILICPos_X_HILICPos,55360316,44081012,51948172,15876320,18783812,13267840,19375348,23619008,21351126,33572960,40051856,52984036,6210314,11126470,12348379,49617896,48103932,15061356,15056725,17489052,42605696,30376960,23698728,52817188,25658622,50533584,22073076,29575266,15643057,15463496,17887740,25150158,29826304,2806790,2345464,2662293,2490350,2673041,1423147,2553158,4012669,3299509,3954027,6341778,6785146,6953537,10879483,7333880,22569076,35883080,9110450,10052538,7741513,11795200,9298800,14266006,11149659,16971860,18456324,11313318
I186.0253R12.12_HILICNeg_X_HILICNeg,9430090,20928394,23205596,15977501,17334040,44600172,10512127,12882102,12352118,14881617,34557360,44611860,17290294,9757974,23858506,11263191,6772715,8316786,12561889,24234854,4534848,8614087,11616961,4291840,10138624,14709181,12812118,5751120,20534248,18292776,30053478,4876663,20505106,0,839197,815476,748421,0,0,0,0,2053977,1103607,15222056,3705792,12723356,20476928,19645394,26560398,42404860,8953308,22666848,5825309,21037380,25060660,20224230,9518037,20765056,40741520,17004278
I188.0707R7.54_HILICPos_X_HILICPos,16554121,9562646,12327250,30484634,27937590,18953556,15390601,20235566,15112403,17189960,12229486,23566630,5530030,7591692,7046214,5224200,3375793,4454265,10635411,7786698,4626160,5837404,2730677,1876978,1142511,3820458,3859744,2735690,3121862,5778374,5204014,5131221,3471975,928088,1405951,643535,2453208,1407585,335384,39386916,22383654,10036606,2429740,11600640,6362058,5484708,12741906,9177607,10073031,13823866,4379516,4541491,12585724,14080905,15145791,8952576,5683623,11739130,7123284,3023061
I189.1235R6.93_HILICPos_X_HILICPos,0,0,0,0,0,0,0,0,0,0,0,0,7748036,10365031,13548532,5327188,4830943,4697203,4372030,4475444,2170743,2009776,2400303,5489827,6134827,6397390,5101761,4601932,14650331,12533894,12015388,10464427,10489061,2395819,3357788,2279185,1787340,2310202,1196800,5634172,5995130,3971140,2789220,4562217,5369910,6372122,8048354,6587924,17008856,20338950,12831906,16071462,9397989,13029479,8899568,10199406,9209972,12589683,12410205,9888196
I190.1439R0.83_CyanoAq_X_RP,33881,21016,0,114632,120185,120588,65828,60608,36817,95361,124931,169737,125545,765804,1875468,668602,934565,693976,842338,439739,202114,673735,304434,842134,1263841,649720,570282,1143569,866271,659375,574133,563963,1429695,0,0,0,0,0,0,0,0,0,0,170944,300233,366021,197377,608044,2110147,2530966,464172,696854,226432,752817,440243,372438,581036,1547129,922340,1197528
I192.9131R3.72_HILICNeg_X_HILICNeg,956200,946917,1050263,9335256,11701899,11083783,5649379,5886714,5832126,4644131,7570171,12065794,0,0,0,6654224,5604437,4942409,4506637,6069798,759346,1263920,1029459,8889062,7614297,10761741,4882756,4802102,0,0,0,832505,1108669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I192.9808R2.93_HILICNeg_X_HILICNeg,59079,48035,18561,936572,1159062,722660,719440,749441,412681,171764,300425,158349,1719368,1235960,2948467,1250229,301939,99496,1178923,835604,0,542105,218997,925025,2453740,2444856,2153016,180441,1584484,1112612,840245,1023653,2968412,0,0,0,0,0,0,1238316,0,0,0,1626442,29728,427495,2512863,1837900,1354440,2726249,719458,4923533,1070251,2668377,1816752,2186736,502211,3831562,695939,582718
I193.0531R10.87_HILICPos_X_HILICPos,59832796,26113452,30501668,676124096,784455680,428779360,323211456,361228928,307580544,242930544,263025920,350954944,15334107,173657520,56742172,31591104,70292968,146918016,36281948,35753340,91118280,28151578,17700828,164212560,13109654,64255532,11799134,167252384,40481964,74001040,38722264,57839628,29811450,729693,1733968,810008,1007237,1375982,597250,275934048,60936068,1965615,824145,24575422,42640392,18599432,37144656,14692707,95069496,86911768,101500544,21883068,47181016,34872552,20955884,28145698,98113992,37037968,98369160,53563012
I193.0894R10.12_HILICPos_X_HILICPos,14526187,14530824,14973962,97574240,141694816,132583296,84481584,83592072,81175056,51428504,100695960,91416184,21904166,45989284,105686032,82354744,74505864,82098072,115020736,52955460,31866858,53812748,30869992,80672080,108794256,82093952,65522884,134892960,56265540,69613816,38582596,48152028,92032808,2815590,3352279,3131528,3046303,2239191,1883541,34540652,5451680,7724069,2823299,43699964,17646990,45514524,38457960,15067960,251455584,331636128,72233416,85770216,13206087,70094560,35911252,28084092,42699620,113300656,90053552,109367144
I194.9965R12.04_HILICNeg_X_HILICNeg,281510,190656,260121,13291841,15434523,11739929,5019538,6235109,5280458,4366546,4855406,5643309,6064039,3268722,3492173,2707112,2556159,3753738,3078870,5111967,1560025,2143309,2056609,4633635,2145403,4483295,3445475,5462198,2621042,2295431,2226645,2403157,2483273,0,0,0,0,0,0,9431309,2465123,73192,0,6081448,9140327,6422898,13468025,6739544,4093867,9103446,7906842,6942569,6137251,6275492,5886360,2293686,3353253,4302057,1868341,675597
I195.0765R10.08_HILICPos_X_HILICPos,197457,207168,155340,2444396,2156699,2437008,1156080,934563,875234,1100542,1197483,705140,14242802,9668408,8184517,2087430,2240451,4853509,2001649,3542230,8611987,2890645,2238315,14072483,3618603,4787069,2738433,5131280,15311999,16863798,16370096,17269604,12333504,616502,1003392,691869,573930,2359364,204433,204924880,33777792,27209240,1179511,9055226,35791328,19600528,24877754,25348566,24526478,43869444,15558386,11637987,12646362,16540944,16253238,10532139,20619180,464063584,132097872,5308977
I196.0831R1.52_CyanoAq_X_RP,201273,258342,273041,2820607,3483535,2535922,745143,858708,652081,983584,783527,2485258,20510,615579,3418295,328920,647718,1455726,2145605,810092,471622,277145,0,0,177788,501268,196724,121325,1390457,943036,1069351,1533141,775662,0,0,0,0,0,0,65170,87771,41185,0,54685,294006,76598,83786,156078,998516,1147559,348594,1049804,554310,3069107,947157,516163,982138,3574730,1432797,2154285
I196.083R5.03_HILICPos_X_HILICPos,21830670,29099406,31552124,138162480,187992464,162987216,58873368,74951848,49904336,49461008,57248976,154191568,2188573,14823222,122277056,30588704,23674274,57286248,85664944,61555268,24424460,19274600,0,582823,9030833,41682960,16617382,4455100,69699848,83207216,61430692,49100196,25798144,377488,307574,514129,167596,660099,994841,1153249,2444803,1168239,782843,4051642,9514054,4860642,12441489,10974113,58227384,58794764,12554325,55552664,17843832,132468824,34709628,39569428,30347036,150448928,74702360,131979384
I203.1392R1.16_CyanoAq_X_RP,1843268,1409097,1615859,9887220,10674014,6862486,2263805,1809254,1922675,1712043,1820767,4816764,525813,5013629,5361668,936203,1616659,1741901,3914749,1855977,2695142,1516851,254189,477880,667202,467946,270461,941757,463557,465538,266908,1017568,854569,95415,171023,102537,158371,199669,54433,25404576,17036400,763962,296899,826441,729312,860678,508222,297807,1168062,2297931,879223,583031,4346952,5415063,6120638,462179,1860110,4473833,1393392,2123147
I204.1232R7.22_HILICPos_X_HILICPos,150779584,140371024,163946416,191693088,202662832,177223936,86372272,95788464,86200144,137368560,124371560,166756160,56530020,55020412,54068196,39539196,48438244,31063628,39510992,50405492,60952140,34189216,37008980,42902988,25713738,44854400,26907830,30263936,32518044,48114952,46013824,34607604,40336936,6145753,9427006,7448912,7143039,14580642,5041167,220706832,115069152,18953110,6292247,125750008,51740684,46831404,95203072,72413888,240412160,380828000,50322740,46352060,70719816,154746224,134148736,74175632,57380304,97751744,87072384,33309578
I204.1233R3.65_HILICPos_X_HILICPos,102586,1113468,863177,10159068,10334975,9708748,1701698,3740336,1164910,845851,1163521,3203542,612789,19489154,23622156,1399235,1337060,0,549448,338091,580692,598620,833931,463538,639225,1255009,4706337,3997419,4770761,4273410,4002921,738230,1492115,0,0,0,0,0,0,0,0,0,0,431305,1924940,2079807,4413961,2256101,631710016,976290560,27250598,29806206,29694760,41508168,37540360,35194720,40016616,58920232,55324624,37863756
I204.1596R0.89_CyanoAq_X_RP,95200,71439,73474,275213,329777,282584,210247,266158,226458,281498,395128,608179,125023,785353,753049,377592,806793,436954,378465,284296,432096,298229,270954,1043403,675028,627043,383751,784665,913906,550641,730583,722873,663234,0,59210,0,0,0,0,1006594,881600,91392,0,120205,254258,212162,164516,118259,836936,962266,846384,645250,528053,566988,371498,317237,576509,655554,745541,547452
I206.0351R6.59_HILICPos_X_HILICPos,7232322,7668391,9046130,5933191,6182023,5546588,4751424,4672609,4404368,6264354,6071316,7377863,7171933,2857049,2500359,1615269,2124340,931255,6600291,1549667,9153797,3651328,1218049,1273401,1434376,1527846,1037155,491328,1783980,3831833,4423045,2090978,3692615,379170,327454,598614,1201980,1127435,48165,14883437,13380906,7517632,1230044,19613866,13904705,14962358,12217262,8199174,6380123,6462921,999443,591468,4174598,14251779,18739630,7102084,6441073,13823296,12240407,3411530
