MassFeature_Column,SampID,std_area,cluster,latitude,Depth,cluster_letters
I152.0567R7.37_HILICPos_X_HILICPos,S7E41D30_1,0.30099874770831814,1,41.417,30,a
I152.0567R8.12_HILICPos_X_HILICPos,S7E41D30_1,0.3182765585155626,1,41.417,30,a
I152.0568R1.08_CyanoAq_X_RP,S7E41D30_1,0.2840460508469344,1,41.417,30,a
I152.0707R9.08_HILICPos_X_HILICPos,S7E41D30_1,0.4926368283859317,2,41.417,30,b
I152.1282R1.07_CyanoAq_X_RP,S7E41D30_1,0.09009263817898303,4,41.417,30,g
I154.0532R5.23_HILICPos_X_HILICPos,S7E41D30_1,0.15453316509858492,4,41.417,30,g
I154.0723R8.97_HILICPos_X_HILICPos,S7E41D30_1,0.47277962645028176,2,41.417,30,b
I155.0815R8.72_HILICPos_X_HILICPos,S7E41D30_1,0.2991776369254784,1,41.417,30,a
I157.0973R7.33_HILICPos_X_HILICPos,S7E41D30_1,0.3047010314546782,1,41.417,30,a
I158.0813R7.81_HILICPos_X_HILICPos,S7E41D30_1,0.1800686906772496,1,41.417,30,a
I158.1176R5.48_HILICPos_X_HILICPos,S7E41D30_1,0.3618326811133741,1,41.417,30,a
I160.037R5.34_HILICPos_X_HILICPos,S7E41D30_1,0.515099738512304,2,41.417,30,b
I160.0969R6.82_HILICPos_X_HILICPos,S7E41D30_1,0.2742166515672419,1,41.417,30,a
I160.0969R7.56_HILICPos_X_HILICPos,S7E41D30_1,0.1950320300147313,4,41.417,30,g
I160.0969R8.37_HILICPos_X_HILICPos,S7E41D30_1,0.3250671188183936,1,41.417,30,a
I161.0631R9.25_HILICPos_X_HILICPos,S7E41D30_1,0.8163190965943574,3,41.417,30,c
I162.0776R1.13_CyanoAq_X_RP,S7E41D30_1,0.4061523785511546,1,41.417,30,a
I162.1125R6.83_HILICPos_X_HILICPos,S7E41D30_1,0.33155566567598727,1,41.417,30,a
I162.1125R8.11_HILICPos_X_HILICPos,S7E41D30_1,0.49511037192903173,2,41.417,30,b
I165.0581R8.33_HILICPos_X_HILICPos,S7E41D30_1,0.6848127870074374,3,41.417,30,c
I166.0864R1.12_CyanoAq_X_RP,S7E41D30_1,0.4604469873706732,2,41.417,30,b
I167.0204R10.56_HILICNeg_X_HILICNeg,S7E41D30_1,0.5561406401572662,5,41.417,30,d
I168.0517R1.05_CyanoAq_X_RP,S7E41D30_1,0.6972008442987188,5,41.417,30,d
I170.0684R16.91_HILICPos_X_HILICPos,S7E41D30_1,0.6819202012595229,3,41.417,30,c
I170.1176R8.07_HILICPos_X_HILICPos,S7E41D30_1,0.07776590699219871,4,41.417,30,g
I172.0067R5.44_HILICNeg_X_HILICNeg,S7E41D30_1,0.769461686439129,3,41.417,30,c
I173.0921R8.33_HILICPos_X_HILICPos,S7E41D30_1,0.09208467385002683,4,41.417,30,g
I174.022R5.45_HILICPos_X_HILICPos,S7E41D30_1,0.7160399355761712,3,41.417,30,c
I174.1126R6.89_HILICPos_X_HILICPos,S7E41D30_1,0.05371874444941254,4,41.417,30,g
I174.1126R8.06_HILICPos_X_HILICPos,S7E41D30_1,0.1600265176673976,4,41.417,30,g
I175.0789R1_CyanoAq_X_RP,S7E41D30_1,0.5838000822789255,3,41.417,30,c
I175.119R17.83_HILICPos_X_HILICPos,S7E41D30_1,0.564050281973683,5,41.417,30,d
I176.0918R10.77_HILICPos_X_HILICPos,S7E41D30_1,0.3630931062943803,1,41.417,30,a
I176.0918R7.43_HILICPos_X_HILICPos,S7E41D30_1,0.09096515308674141,4,41.417,30,g
I176.1281R10.33_HILICPos_X_HILICPos,S7E41D30_1,0.3437861175777256,1,41.417,30,a
I176.1282R7.85_HILICPos_X_HILICPos,S7E41D30_1,0.7670148218743381,3,41.417,30,c
I177.0581R9.17_HILICPos_X_HILICPos,S7E41D30_1,0.3344850446763051,1,41.417,30,a
I179.0048R7.02_HILICPos_X_HILICPos,S7E41D30_1,0.03227418487490414,4,41.417,30,g
I179.024R6.59_HILICPos_X_HILICPos,S7E41D30_1,0.35310907322571355,1,41.417,30,a
I180.1019R8.38_HILICPos_X_HILICPos,S7E41D30_1,0.46644440151260363,2,41.417,30,b
I182.0674R1.17_CyanoAq_X_RP,S7E41D30_1,0.6939500625371032,5,41.417,30,d
I185.0922R8.02_HILICPos_X_HILICPos,S7E41D30_1,0.09047191596674865,4,41.417,30,g
I186.0253R12.12_HILICNeg_X_HILICNeg,S7E41D30_1,0,4,41.417,30,g
I188.0707R7.54_HILICPos_X_HILICPos,S7E41D30_1,0.5002271546990825,2,41.417,30,b
I189.1235R6.93_HILICPos_X_HILICPos,S7E41D30_1,0.1591808574749702,4,41.417,30,g
I192.9808R2.93_HILICNeg_X_HILICNeg,S7E41D30_1,1,7,41.417,30,f
I193.0531R10.87_HILICPos_X_HILICPos,S7E41D30_1,0.7773545265003244,3,41.417,30,c
I193.0894R10.12_HILICPos_X_HILICPos,S7E41D30_1,0.5154695552474139,1,41.417,30,a
I194.9965R12.04_HILICNeg_X_HILICNeg,S7E41D30_1,0.7721138253484434,3,41.417,30,c
I195.0765R10.08_HILICPos_X_HILICPos,S7E41D30_1,0.7084284209052865,3,41.417,30,c
I196.0831R1.52_CyanoAq_X_RP,S7E41D30_1,0.2686275886378257,1,41.417,30,a
I196.083R5.03_HILICPos_X_HILICPos,S7E41D30_1,0.15493277704763697,1,41.417,30,a
I203.1392R1.16_CyanoAq_X_RP,S7E41D30_1,0.5332823373866743,5,41.417,30,d
I204.1232R7.22_HILICPos_X_HILICPos,S7E41D30_1,0.5372507526998145,5,41.417,30,d
I204.1596R0.89_CyanoAq_X_RP,S7E41D30_1,0.4452039973071516,2,41.417,30,b
I206.0351R6.59_HILICPos_X_HILICPos,S7E41D30_1,0.36573280782522855,1,41.417,30,a
I206.0675R2.59_CyanoAq_X_RP,S7E41D30_1,0.13105747176612817,4,41.417,30,g
I207.0686R8.88_HILICPos_X_HILICPos,S7E41D30_1,0,6,41.417,30,e
I207.1704R6.56_HILICPos_X_HILICPos,S7E41D30_1,0.39128996425564094,2,41.417,30,b
I209.0478R11.07_HILICPos_X_HILICPos,S7E41D30_1,0.7480326568419193,3,41.417,30,c
I209.0843R7.18_HILICPos_X_HILICPos,S7E41D30_1,0,4,41.417,30,g
I209.0844R8.07_HILICPos_X_HILICPos,S7E41D30_1,0.6274489491602372,5,41.417,30,d
I211.0565R12.12_HILICPos_X_HILICPos,S7E41D30_1,0.0025646534698800395,4,41.417,30,g
I214.0484R11.68_HILICNeg_X_HILICNeg,S7E41D30_1,0.49750962804019344,2,41.417,30,b
I217.93R10.87_HILICNeg_X_HILICNeg,S7E41D30_1,0,4,41.417,30,g
I219.1703R6.51_HILICPos_X_HILICPos,S7E41D30_1,0.48340114815302987,2,41.417,30,b
I219.9271R10.87_HILICNeg_X_HILICNeg,S7E41D30_1,0,4,41.417,30,g
I221.022R10.39_HILICNeg_X_HILICNeg,S7E41D30_1,0.44913342221310637,2,41.417,30,b
I221.0843R5.26_HILICPos_X_HILICPos,S7E41D30_1,0.3847163253255797,1,41.417,30,a
I221.0843R5.58_HILICPos_X_HILICPos,S7E41D30_1,1,7,41.417,30,f
I221.0843R8.12_HILICPos_X_HILICPos,S7E41D30_1,0.7185226886741937,3,41.417,30,c
I221.0844R0.89_CyanoAq_X_RP,S7E41D30_1,0.7400755450269113,3,41.417,30,c
I225.1607R2.2_HILICNeg_X_HILICNeg,S7E41D30_1,0.3475494216320832,1,41.417,30,a
I227.1754R2.2_HILICPos_X_HILICPos,S7E41D30_1,0.16318233106909083,4,41.417,30,g
I228.0979R6.34_HILICPos_X_HILICPos,S7E41D30_1,0.35090294057367727,1,41.417,30,a
I229.1549R0.89_CyanoAq_X_RP,S7E41D30_1,0.4070625692444287,2,41.417,30,b
I229.1557R2_HILICNeg_X_HILICNeg,S7E41D30_1,0.5539223540760972,5,41.417,30,d
I232.118R6.16_HILICPos_X_HILICPos,S7E41D30_1,0.924194108077012,7,41.417,30,f
I235.1653R7.18_HILICPos_X_HILICPos,S7E41D30_1,0.5819673391443684,5,41.417,30,d
I236.1492R9.91_HILICPos_X_HILICPos,S7E41D30_1,0.681678441386057,3,41.417,30,c
I236.1493R8.23_HILICPos_X_HILICPos,S7E41D30_1,0.608241989497376,5,41.417,30,d
I237.1235R1.65_CyanoAq_X_RP,S7E41D30_1,0.6057832631464007,5,41.417,30,d
I238.0524R11.67_HILICPos_X_HILICPos,S7E41D30_1,0,4,41.417,30,g
I239.002R2.89_HILICNeg_X_HILICNeg,S7E41D30_1,0,6,41.417,30,e
I240.1092R0.94_CyanoAq_X_RP,S7E41D30_1,0,6,41.417,30,e
I241.0119R13.69_HILICNeg_X_HILICNeg,S7E41D30_1,0.7929459262908455,3,41.417,30,c
I241.0297R0.89_CyanoAq_X_RP,S7E41D30_1,0.6968894467763261,3,41.417,30,c
I243.1715R1.84_HILICNeg_X_HILICNeg,S7E41D30_1,0.5458801069875877,5,41.417,30,d
I244.0495R6.68_HILICNeg_X_HILICNeg,S7E41D30_1,0.35275605496494294,2,41.417,30,b
I244.0828R9.94_HILICNeg_X_HILICNeg,S7E41D30_1,0.6880749924789529,5,41.417,30,d
I244.0929R7.89_HILICPos_X_HILICPos,S7E41D30_1,0.3610276847689994,1,41.417,30,a
I245.1588R2.3_CyanoAq_X_RP,S7E41D30_1,0.021257026337089573,4,41.417,30,g
I245.1861R2.33_CyanoAq_X_RP,S7E41D30_1,0.4847162882044943,2,41.417,30,b
I245.1862R2.58_CyanoAq_X_RP,S7E41D30_1,0.5261529922318096,2,41.417,30,b
I248.9764R0.9_CyanoAq_X_RP,S7E41D30_1,0.7985508285990491,3,41.417,30,c
I249.1347R5.35_HILICPos_X_HILICPos,S7E41D30_1,0.670098725504798,5,41.417,30,d
I252.083R12.11_HILICPos_X_HILICPos,S7E41D30_1,0,4,41.417,30,g
I252.1092R3.46_HILICPos_X_HILICPos,S7E41D30_1,0.3581578958029391,2,41.417,30,b
I252.1441R10.53_HILICPos_X_HILICPos,S7E41D30_1,0.753046221093987,3,41.417,30,c
I260.1131R1.01_CyanoAq_X_RP,S7E41D30_1,0.8061624537493789,3,41.417,30,c
I261.1311R1.29_CyanoAq_X_RP,S7E41D30_1,0.12151913359363584,4,41.417,30,g
I263.1426R2.13_CyanoAq_X_RP,S7E41D30_1,0.7898445496956303,3,41.417,30,c
I268.1042R1.29_CyanoAq_X_RP,S7E41D30_1,0.3462180824225476,1,41.417,30,a
I269.0882R1.02_CyanoAq_X_RP,S7E41D30_1,0.5899389890807382,3,41.417,30,c
I271.1288R9.7_HILICPos_X_HILICPos,S7E41D30_1,0.6201045724678382,5,41.417,30,d
I271.1291R0.87_CyanoAq_X_RP,S7E41D30_1,0.64821539772304,5,41.417,30,d
I279.1706R4.12_CyanoAq_X_RP,S7E41D30_1,0.5657978014665859,5,41.417,30,d
I283.0872R1.5_CyanoAq_X_RP,S7E41D30_1,0.28032359380497196,1,41.417,30,a
I284.0991R8.89_HILICPos_X_HILICPos,S7E41D30_1,0.4455623069954193,2,41.417,30,b
I285.1445R6.57_HILICPos_X_HILICPos,S7E41D30_1,0.7190431835190026,3,41.417,30,c
I285.1445R8.18_HILICPos_X_HILICPos,S7E41D30_1,0.6275727942960144,5,41.417,30,d
I285.1447R0.91_CyanoAq_X_RP,S7E41D30_1,0.6512332130735656,3,41.417,30,c
I285.1447R1.14_CyanoAq_X_RP,S7E41D30_1,0.7832860322113573,3,41.417,30,c
I285.6464R1_CyanoAq_X_RP,S7E41D30_1,0.7773681614623255,3,41.417,30,c
I288.1918R7.18_HILICPos_X_HILICPos,S7E41D30_1,0.4303052096701142,2,41.417,30,b
I288.2032R0.91_CyanoAq_X_RP,S7E41D30_1,0.6944498526623268,3,41.417,30,c
I289.1393R10.28_HILICPos_X_HILICPos,S7E41D30_1,0.8366654603312587,3,41.417,30,c
I292.0629R12.12_HILICPos_X_HILICPos,S7E41D30_1,0,4,41.417,30,g
I292.0727R10.9_HILICNeg_X_HILICNeg,S7E41D30_1,0.518736270149295,2,41.417,30,b
I293.2112R9.77_CyanoAq_X_RP,S7E41D30_1,0.4163633547241003,2,41.417,30,b
I293.2113R9.66_CyanoAq_X_RP,S7E41D30_1,0.4142863970353573,2,41.417,30,b
I294.1814R1.08_CyanoAq_X_RP,S7E41D30_1,0.5116706692769154,2,41.417,30,b
I295.1291R1.78_CyanoAq_X_RP,S7E41D30_1,0.11224268317748183,4,41.417,30,g
I295.1654R2.4_CyanoAq_X_RP,S7E41D30_1,0.4767958222313737,2,41.417,30,b
I295.1655R2.58_CyanoAq_X_RP,S7E41D30_1,0.5855106716820688,5,41.417,30,d
I295.1655R2.81_CyanoAq_X_RP,S7E41D30_1,0.5197865898087728,2,41.417,30,b
I296.6058R1.22_CyanoAq_X_RP,S7E41D30_1,0.4460275950706414,2,41.417,30,b
I297.0846R5.35_HILICPos_X_HILICPos,S7E41D30_1,0.6067278823224641,5,41.417,30,d
I298.0971R2.1_CyanoAq_X_RP,S7E41D30_1,0.5394068632167364,5,41.417,30,d
I303.1551R9.17_HILICPos_X_HILICPos,S7E41D30_1,0.7357057395789357,3,41.417,30,c
I303.1553R0.89_CyanoAq_X_RP,S7E41D30_1,0.8938360910057745,7,41.417,30,f
I305.1573R1.6_CyanoAq_X_RP,S7E41D30_1,0.11939944801832326,4,41.417,30,g
I306.4913R3.77_CyanoAq_X_RP,S7E41D30_1,0.96453466919443,7,41.417,30,f
I308.1605R5.35_HILICPos_X_HILICPos,S7E41D30_1,0.5768493717372748,5,41.417,30,d
I310.14R1.31_CyanoAq_X_RP,S7E41D30_1,0.5673327488336982,5,41.417,30,d
I311.1239R1.4_CyanoAq_X_RP,S7E41D30_1,0.13004796325936685,4,41.417,30,g
I313.1548R4.98_CyanoAq_X_RP,S7E41D30_1,0.5818915665494371,5,41.417,30,d
I317.0553R12.1_HILICNeg_X_HILICNeg,S7E41D30_1,0.5614882125514616,5,41.417,30,d
I321.2427R9.33_CyanoAq_X_RP,S7E41D30_1,0.529279262892756,2,41.417,30,b
I322.1877R1.19_CyanoAq_X_RP,S7E41D30_1,0.6970367343070708,3,41.417,30,c
I325.1761R2.97_CyanoAq_X_RP,S7E41D30_1,0.9917320228487259,7,41.417,30,f
I326.0563R6.58_HILICPos_X_HILICPos,S7E41D30_1,0.21274731187040102,1,41.417,30,a
I327.1204R10.42_HILICNeg_X_HILICNeg,S7E41D30_1,0.8280387671359556,3,41.417,30,c
I329.1346R2.89_CyanoAq_X_RP,S7E41D30_1,0.9103345994204715,7,41.417,30,f
I329.1347R0.88_CyanoAq_X_RP,S7E41D30_1,0.75518528239246,3,41.417,30,c
I329.1742R7.17_HILICPos_X_HILICPos,S7E41D30_1,0.43085513515763035,2,41.417,30,b
I329.2073R2.82_CyanoAq_X_RP,S7E41D30_1,0.9836143477547716,7,41.417,30,f
I331.1154R11.28_HILICNeg_X_HILICNeg,S7E41D30_1,0.856432430622672,3,41.417,30,c
I333.1293R11.28_HILICPos_X_HILICPos,S7E41D30_1,0.7794425614204488,3,41.417,30,c
I340.2597R6.93_CyanoAq_X_RP,S7E41D30_1,0.30145912522552504,1,41.417,30,a
I345.0462R0.88_CyanoAq_X_RP,S7E41D30_1,0.3199347447102293,1,41.417,30,a
I345.6642R3.9_CyanoAq_X_RP,S7E41D30_1,0.9705826442353388,7,41.417,30,f
I346.0564R12.06_HILICNeg_X_HILICNeg,S7E41D30_1,0.5190547498938846,2,41.417,30,b
I346.1457R4.95_CyanoAq_X_RP,S7E41D30_1,0.8660383066694519,3,41.417,30,c
I347.1452R0.87_CyanoAq_X_RP,S7E41D30_1,0.8856954628158217,7,41.417,30,f
I370.6952R2.68_CyanoAq_X_RP,S7E41D30_1,0.8712975376557227,7,41.417,30,f
I375.2136R4.1_CyanoAq_X_RP,S7E41D30_1,0.9561673465216691,7,41.417,30,f
I377.1459R4.24_CyanoAq_X_RP,S7E41D30_1,0.5071215350834891,2,41.417,30,b
I379.083R11.37_HILICNeg_X_HILICNeg,S7E41D30_1,0,4,41.417,30,g
I381.1828R4.47_CyanoAq_X_RP,S7E41D30_1,0.7895185816487069,3,41.417,30,c
I386.0341R16.12_HILICNeg_X_HILICNeg,S7E41D30_1,0.6780006581273326,3,41.417,30,c
I387.2256R2.2_HILICNeg_X_HILICNeg,S7E41D30_1,0.7093247803933999,3,41.417,30,c
I401.241R2.14_HILICNeg_X_HILICNeg,S7E41D30_1,0.5864338493430071,5,41.417,30,d
I404.7398R5.8_CyanoAq_X_RP,S7E41D30_1,1,7,41.417,30,f
I416.1778R9.11_HILICPos_X_HILICPos,S7E41D30_1,0.6612594491509272,5,41.417,30,d
I419.6799R6.47_CyanoAq_X_RP,S7E41D30_1,0.8389883183401778,3,41.417,30,c
I424.2081R2.64_CyanoAq_X_RP,S7E41D30_1,0.7599188189855577,3,41.417,30,c
I455.1888R6.34_HILICPos_X_HILICPos,S7E41D30_1,0.3533709416190082,2,41.417,30,b
I459.2336R3.77_CyanoAq_X_RP,S7E41D30_1,0.9963542458458071,7,41.417,30,f
I470.2256R5.55_CyanoAq_X_RP,S7E41D30_1,0.9823115318786299,7,41.417,30,f
I479.1923R4.35_HILICPos_X_HILICPos,S7E41D30_1,0.40488074153028114,2,41.417,30,b
I479.7914R1.79_HILICNeg_X_HILICNeg,S7E41D30_1,0.9501439903648617,7,41.417,30,f
I511.2407R3.6_CyanoAq_X_RP,S7E41D30_1,0.7911113449434717,3,41.417,30,c
I548.2723R4.91_CyanoAq_X_RP,S7E41D30_1,0.3528763210153416,1,41.417,30,a
I589.2805R5.44_CyanoAq_X_RP,S7E41D30_1,0.9205285974008037,7,41.417,30,f
I605.3175R6.37_CyanoAq_X_RP,S7E41D30_1,0.9630181118500392,7,41.417,30,f
I606.0756R12.98_HILICNeg_X_HILICNeg,S7E41D30_1,0.5498335066447868,5,41.417,30,d
I620.9939R2.17_HILICNeg_X_HILICNeg,S7E41D30_1,1,7,41.417,30,f
I801.3309R6.22_CyanoAq_X_RP,S7E41D30_1,0.9140934044666167,7,41.417,30,f
I802.3342R6.22_CyanoAq_X_RP,S7E41D30_1,0.9149114119336061,7,41.417,30,f
I84.045R12.12_HILICPos_X_HILICPos,S7E41D30_1,0.35400193773246375,1,41.417,30,a
I87.0446R10.14_HILICPos_X_HILICPos,S7E41D30_1,0.6898069501988481,3,41.417,30,c
I93.0578R5.36_HILICPos_X_HILICPos,S7E41D30_1,0.4854298900147944,2,41.417,30,b
I96.0449R5.35_HILICPos_X_HILICPos,S7E41D30_1,0.4368549050094467,2,41.417,30,b
Inosine_X_HILICNeg,S7E41D30_1,0.6823705265640602,3,41.417,30,c
