"","CTDPRS","CTDTMP","CTDSAL","CTDOXY","CHLPIG","OPTODE","OPTODE","NUMBER","QUALT1"
"93",98,23.174,35.318,217.88,0.5394,-9,-9,1,2222255
"94",99,23.168,35.317,217.84,0.5394,-9,-9,1,2222255
"95",100,23.15,35.317,217.82,0.5774,-9,-9,1,2222255
"96",101,23.096,35.318,217.66,0.6151,-9,-9,1,2222255
"97",102,23.028,35.318,217.5,0.6151,-9,-9,1,2222255
"98",103,22.999,35.317,217.14,0.6529,-9,-9,1,2222255
"99",105,22.954,35.318,217,0.6529,-9,-9,1,2222255
"100",106,22.891,35.317,216.64,0.6907,-9,-9,1,2222255
"101",107,22.823,35.321,216.04,0.7475,-9,-9,2,2222255
"102",108,22.79,35.319,216.18,0.8042,-9,-9,1,2222255
"103",109,22.763,35.32,215.95,0.8042,-9,-9,1,2222255
"104",110,22.743,35.319,215.51,0.8042,-9,-9,1,2222255
"105",111,22.732,35.318,215.6,0.8042,-9,-9,1,2222255
"106",112,22.692,35.32,215.76,0.842,-9,-9,1,2222255
"107",113,22.64,35.321,215.3,0.8799,-9,-9,1,2222255
"108",114,22.604,35.321,214.9,0.8799,-9,-9,1,2222255
"109",115,22.562,35.319,214.97,0.842,-9,-9,1,2222255
"110",116,22.438,35.32,214.75,0.842,-9,-9,2,2222255
"111",117,22.356,35.32,213.43,0.842,-9,-9,1,2222255
"112",118,22.311,35.322,213.43,0.842,-9,-9,1,2222255
"113",119,22.28,35.322,213.33,0.842,-9,-9,1,2222255
"114",120,22.244,35.322,212.92,0.8042,-9,-9,1,2222255
"115",121,22.221,35.322,212.59,0.7664,-9,-9,1,2222255
"116",122,22.18,35.322,212.31,0.7664,-9,-9,1,2222255
"117",123,22.148,35.323,211.8,0.7664,-9,-9,1,2222255
"118",124,22.116,35.323,210.87,0.6529,-9,-9,1,2222255
"119",125,22.048,35.324,210.21,0.6529,-9,-9,1,2222255
"120",126,21.949,35.328,208.58,0.6529,-9,-9,2,2222255
"121",127,21.973,35.329,206.92,0.6151,-9,-9,1,2222255
"122",128,21.97,35.33,207.62,0.6151,-9,-9,1,2222255
"123",129,21.92,35.328,207.95,0.6151,-9,-9,1,2222255
"124",130,21.886,35.321,207.76,0.6151,-9,-9,1,2222255
"125",132,21.871,35.32,207.58,0.5774,-9,-9,1,2222255
"126",133,21.822,35.318,207.59,0.5394,-9,-9,1,2222255
"127",134,21.784,35.315,206.87,0.5774,-9,-9,1,2222255
"128",135,21.779,35.314,206.51,0.5647,-9,-9,3,2222255
"129",136,21.783,35.314,206.98,0.5394,-9,-9,2,2222255
"130",138,21.759,35.313,206.69,0.5394,-9,-9,1,2222255
"131",139,21.747,35.312,206.49,0.5394,-9,-9,1,2222255
"132",140,21.714,35.311,206.32,0.5394,-9,-9,1,2222255
"133",142,21.695,35.309,206.33,0.5016,-9,-9,1,2222255
"134",143,21.672,35.307,205.98,0.5394,-9,-9,1,2222255
"135",144,21.659,35.306,205.53,0.5774,-9,-9,2,2222255
"136",145,21.671,35.306,205.69,0.5584,-9,-9,2,2222255
"137",146,21.666,35.305,205.63,0.5016,-9,-9,1,2222255
"138",147,21.645,35.303,205.79,0.5016,-9,-9,1,2222255
"139",148,21.617,35.301,205.72,0.4638,-9,-9,1,2222255
"140",150,21.575,35.297,205.78,0.4638,-9,-9,1,2222255
"141",151,21.505,35.293,205.68,0.4638,-9,-9,1,2222255
"142",152,21.404,35.284,204.19,0.4638,-9,-9,2,2222255
"143",153,21.442,35.283,204.27,0.4449,-9,-9,2,2222255
"144",154,21.435,35.283,204.86,0.4261,-9,-9,1,2222255
"145",155,21.384,35.279,204.9,0.3503,-9,-9,1,2222255
"146",157,21.286,35.271,204.74,0.3503,-9,-9,1,2222255
"147",159,21.085,35.261,205.01,0.2748,-9,-9,1,2222255
"148",160,21.002,35.252,204.59,0.3031,-9,-9,4,2222255
"149",161,21.08,35.253,204.64,0.2748,-9,-9,2,2222255
"150",163,21.049,35.251,204.69,0.2368,-9,-9,1,2222255
"151",165,20.956,35.253,205.65,0.1991,-9,-9,1,2222255
"152",166,20.857,35.248,205.91,0.1991,-9,-9,1,2222255
"153",168,20.833,35.257,205.7,0.1991,-9,-9,1,2222255
"154",169,20.827,35.262,207.31,0.2179,-9,-9,2,2222255
"155",170,20.823,35.263,208.89,0.1991,-9,-9,3,2222255
"156",171,20.835,35.264,209.11,0.1613,-9,-9,1,2222255
"157",172,20.786,35.26,209.49,0.1613,-9,-9,1,2222255
"158",174,20.693,35.243,208.51,0.1613,-9,-9,1,2222255
"159",175,20.628,35.232,206.74,0.1613,-9,-9,1,2222255
"160",177,20.528,35.214,205.16,0.1613,-9,-9,3,2222255
"161",178,20.513,35.21,205.2,0.1613,-9,-9,1,2222255
"162",179,20.484,35.204,205.26,0.1613,-9,-9,1,2222255
"163",180,20.434,35.199,204.81,0.1613,-9,-9,1,2222255
"164",181,20.369,35.191,204.13,0.1613,-9,-9,1,2222255
"165",183,20.32,35.185,203.5,0.1235,-9,-9,1,2222255
"166",184,20.213,35.168,203.12,0.1613,-9,-9,1,2222255
"167",185,20.187,35.164,202.51,0.1424,-9,-9,4,2222255
"168",186,20.219,35.166,202.53,0.1235,-9,-9,1,2222255
"169",187,20.191,35.163,203.09,0.1235,-9,-9,1,2222255
"170",189,20.105,35.155,203.32,0.1235,-9,-9,1,2222255
"171",191,20.042,35.146,202.85,0.1235,-9,-9,1,2222255
"172",192,20.02,35.143,202.26,0.1235,-9,-9,1,2222255
"173",193,20,35.139,202.35,0.1235,-9,-9,1,2222255
"174",194,19.997,35.139,202.3,0.1235,-9,-9,2,2222255
"175",195,19.997,35.138,202.82,0.1235,-9,-9,2,2222255
"176",196,20.001,35.136,202.38,0.1235,-9,-9,1,2222255
"177",197,19.993,35.134,202.66,0.1235,-9,-9,1,2222255
"178",199,19.947,35.13,202.98,0.0856,-9,-9,1,2222255
"179",200,19.851,35.12,203.1,0.0856,-9,-9,1,2222255
"180",201,19.668,35.103,203.65,0.1235,-9,-9,1,2222255
"181",202,19.642,35.098,203.22,0.0856,-9,-9,3,2222255
"182",203,19.63,35.098,203.92,0.0856,-9,-9,1,2222255
"183",204,19.574,35.09,204.19,0.0856,-9,-9,1,2222255
"184",206,19.552,35.084,203.96,0.0856,-9,-9,1,2222255
"185",207,19.518,35.079,204.15,0.0856,-9,-9,1,2222255
"186",209,19.343,35.063,204.41,0.0856,-9,-9,1,2222255
"187",210,19.062,35.006,202.49,0.0856,-9,-9,3,2222255
"188",211,19.203,35.026,202.73,0.0856,-9,-9,2,2222255
"189",212,19.073,35.008,203.97,0.0856,-9,-9,1,2222255
"190",214,18.921,34.984,203.18,0.0856,-9,-9,1,2222255
"191",215,18.871,34.975,202.13,0.0856,-9,-9,1,2222255
"192",216,18.808,34.964,202.29,0.0856,-9,-9,1,2222255
"193",218,18.668,34.943,202.15,0.0856,-9,-9,2,2222255
"194",219,18.49,34.918,201.64,0.0856,-9,-9,1,2222255
"195",220,18.476,34.911,200.89,0.0856,-9,-9,2,2222255
"196",221,18.483,34.913,201.17,0.0856,-9,-9,1,2222255
"197",222,18.451,34.904,201.56,0.0856,-9,-9,1,2222255
"198",223,18.399,34.897,202.17,0.0856,-9,-9,1,2222255
"199",224,18.286,34.884,202.13,0.0856,-9,-9,1,2222255
"200",226,18.129,34.859,201.57,0.0856,-9,-9,1,2222255
"201",227,17.964,34.836,200.99,0.0856,-9,-9,1,2222255
"202",228,17.818,34.814,199.77,0.0856,-9,-9,2,2222255
"203",229,17.9,34.823,199.92,0.0856,-9,-9,2,2222255
"204",230,17.871,34.819,200.99,0.0856,-9,-9,1,2222255
"205",231,17.825,34.813,200.48,0.0856,-9,-9,1,2222255
"206",232,17.741,34.801,200.07,0.0856,-9,-9,1,2222255
"207",234,17.696,34.792,200.06,0.0856,-9,-9,1,2222255
"208",235,17.651,34.788,199.79,0.0856,-9,-9,1,2222255
"209",236,17.584,34.777,199.85,0.0856,-9,-9,1,2222255
"210",237,17.552,34.771,199.79,0.0856,-9,-9,2,2222255
"211",238,17.511,34.765,199.69,0.0856,-9,-9,2,2222255
"212",239,17.387,34.753,200.29,0.0856,-9,-9,1,2222255
"213",241,17.276,34.742,200.54,0.0856,-9,-9,1,2222255
"214",242,17.243,34.738,200.75,0.0856,-9,-9,1,2222255
"215",243,17.225,34.737,201.28,0.0856,-9,-9,1,2222255
"216",244,17.201,34.735,202.08,0.0856,-9,-9,1,2222255
"217",245,17.173,34.738,203.26,0.0856,-9,-9,1,2222255
"218",246,17.186,34.763,207.09,0.0856,-9,-9,2,2222255
"219",247,17.233,34.796,211.55,0.0856,-9,-9,1,2222255
"220",248,17.265,34.819,215.31,0.1235,-9,-9,1,2222255
"221",249,17.261,34.819,217.45,0.1235,-9,-9,1,2222255
"222",251,17.234,34.82,218.58,0.0856,-9,-9,1,2222255
"223",252,17.196,34.819,220.06,0.0856,-9,-9,1,2222255
"224",253,17.149,34.816,220.76,0.0856,-9,-9,1,2222255
"225",254,17.117,34.812,220.94,0.0856,-9,-9,2,2222255
"226",255,17.114,34.812,221.35,0.1045,-9,-9,2,2222255
"227",256,17.111,34.81,221.15,0.1235,-9,-9,1,2222255
"228",257,17.1,34.808,220.85,0.0856,-9,-9,1,2222255
"229",259,17.074,34.806,221.4,0.0856,-9,-9,1,2222255
"230",260,16.973,34.802,222.89,0.0856,-9,-9,1,2222255
"231",261,16.847,34.79,224.25,0.0856,-9,-9,1,2222255
"232",262,16.834,34.78,223.93,0.0856,-9,-9,1,2222255
"233",263,16.817,34.785,224.47,0.0856,-9,-9,3,2222255
"234",264,16.746,34.772,225.36,0.0856,-9,-9,1,2222255
"235",265,16.635,34.76,225.19,0.0856,-9,-9,1,2222255
"236",266,16.565,34.752,224.93,0.0856,-9,-9,1,2222255
"237",268,16.545,34.747,224.67,0.0856,-9,-9,1,2222255
"238",269,16.483,34.736,225.28,0.0856,-9,-9,2,2222255
"239",270,16.413,34.727,224.99,0.0856,-9,-9,1,2222255
"240",271,16.397,34.725,225.05,0.0856,-9,-9,2,2222255
"241",272,16.378,34.722,225.14,0.0856,-9,-9,1,2222255
"242",273,16.375,34.72,225.01,0.0856,-9,-9,1,2222255
"243",274,16.367,34.719,224.95,0.0856,-9,-9,1,2222255
"244",275,16.346,34.715,224.83,0.0856,-9,-9,1,2222255
"245",276,16.297,34.711,225.17,0.0856,-9,-9,1,2222255
"246",277,16.249,34.693,225.37,0.0856,-9,-9,1,2222255
"247",278,16.138,34.68,224.41,0.0856,-9,-9,2,2222255
"248",279,15.965,34.665,224.07,0.0856,-9,-9,1,2222255
"249",280,15.893,34.652,223.94,0.0856,-9,-9,1,2222255
"250",281,15.831,34.645,223.38,0.0856,-9,-9,1,2222255
"251",283,15.69,34.624,223.87,0.0666,-9,-9,2,2222255
"252",284,15.641,34.616,223.34,0.0666,-9,-9,2,2222255
"253",285,15.639,34.614,223.69,0.0856,-9,-9,1,2222255
"254",286,15.633,34.614,223.6,0.0856,-9,-9,2,2222255
"255",287,15.62,34.611,223.45,0.0856,-9,-9,1,2222255
"256",289,15.604,34.608,223.48,0.0856,-9,-9,1,2222255
"257",290,15.575,34.605,223.52,0.0856,-9,-9,1,2222255
"258",291,15.523,34.598,224.1,0.0856,-9,-9,1,2222255
"259",292,15.475,34.59,223.68,0.0856,-9,-9,1,2222255
"260",293,15.44,34.586,222.8,0.0856,-9,-9,1,2222255
"261",294,15.413,34.582,222.94,0.0856,-9,-9,2,2222255
"262",295,15.406,34.58,223.31,0.0856,-9,-9,2,2222255
"263",296,15.385,34.576,223.67,0.0856,-9,-9,1,2222255
"264",297,15.369,34.574,223.47,0.0856,-9,-9,1,2222255
"265",298,15.327,34.567,223.22,0.0856,-9,-9,1,2222255
"266",299,15.271,34.558,223.46,0.0856,-9,-9,1,2222255
"267",300,15.215,34.548,223.37,0.0856,-9,-9,1,2222255
"268",301,15.13,34.533,223.05,0.0856,-9,-9,1,2222255
"269",302,15.076,34.528,222.63,0.0478,-9,-9,1,2222255
"270",303,15.041,34.526,221.97,0.0856,-9,-9,2,2222255
"271",304,15.012,34.522,222.18,0.0856,-9,-9,1,2222255
"272",305,14.997,34.52,222.13,0.0856,-9,-9,1,2222255
"273",306,14.986,34.517,221.71,0.0478,-9,-9,1,2222255
"274",307,14.976,34.515,221.63,0.0478,-9,-9,1,2222255
"275",308,14.963,34.511,221.54,0.0856,-9,-9,1,2222255
"276",309,14.94,34.507,221.61,0.0856,-9,-9,1,2222255
"277",310,14.888,34.498,222.04,0.0856,-9,-9,1,2222255
"278",311,14.761,34.484,221.53,0.0856,-9,-9,2,2222255
"279",312,14.696,34.475,220.68,0.0856,-9,-9,1,2222255
"280",313,14.685,34.472,220.77,0.0856,-9,-9,1,2222255
"281",314,14.672,34.469,221.1,0.0856,-9,-9,1,2222255
"282",315,14.614,34.459,220.89,0.0856,-9,-9,1,2222255
"283",316,14.449,34.442,220.41,0.0856,-9,-9,1,2222255
"284",317,14.37,34.427,218.34,0.0856,-9,-9,2,2222255
"285",318,14.348,34.422,218.27,0.0856,-9,-9,1,2222255
"286",319,14.282,34.414,218.02,0.0856,-9,-9,2,2222255
"287",321,14.222,34.404,217.12,0.0856,-9,-9,1,2222255
"288",322,14.211,34.401,216.69,0.0478,-9,-9,1,2222255
"289",323,14.19,34.397,217.27,0.0856,-9,-9,1,2222255
"290",325,14.071,34.379,216.46,0.0856,-9,-9,1,2222255
"291",326,13.788,34.338,211.82,0.0856,-9,-9,3,2222255
"292",327,13.882,34.35,212.3,0.0856,-9,-9,2,2222255
"293",328,13.823,34.336,214.1,0.0856,-9,-9,1,2222255
"294",329,13.646,34.318,211.56,0.0856,-9,-9,1,2222255
"295",331,13.267,34.277,208.32,0.0856,-9,-9,1,2222255
"296",332,13.129,34.251,205.1,0.0856,-9,-9,1,2222255
"297",333,13.042,34.242,203.24,0.0856,-9,-9,1,2222255
"298",334,12.981,34.233,203.64,0.0856,-9,-9,1,2222255
"299",335,12.939,34.231,203.84,0.0478,-9,-9,2,2222255
"300",336,12.933,34.227,204.06,0.0856,-9,-9,1,2222255
"301",337,12.922,34.226,204.07,0.0856,-9,-9,1,2222255
"302",338,12.905,34.224,203.9,0.0856,-9,-9,1,2222255
"303",339,12.869,34.22,203.95,0.0856,-9,-9,1,2222255
"304",341,12.781,34.209,203.68,0.0856,-9,-9,2,2222255
"305",342,12.758,34.208,203.05,0.0856,-9,-9,2,2222255
"306",343,12.745,34.201,203.61,0.0856,-9,-9,1,2222255
"307",344,12.652,34.195,203.47,0.0856,-9,-9,1,2222255
"308",346,12.562,34.189,203.6,0.0856,-9,-9,1,2222255
"309",347,12.475,34.185,204.06,0.0856,-9,-9,1,2222255
"310",349,12.261,34.177,204.53,0.0856,-9,-9,1,2222255
"311",350,12.122,34.165,203.08,0.0856,-9,-9,2,2222255
"312",351,12.256,34.168,203.2,0.0856,-9,-9,3,2222255
"313",352,12.278,34.173,204.73,0.0856,-9,-9,1,2222255
"314",353,12.113,34.166,205.1,0.0856,-9,-9,1,2222255
"315",355,11.975,34.156,203.65,0.0856,-9,-9,1,2222255
"316",357,11.868,34.153,202.7,0.0856,-9,-9,1,2222255
"317",358,11.752,34.145,202.26,0.0856,-9,-9,1,2222255
"318",359,11.699,34.144,201.9,0.0856,-9,-9,1,2222255
"319",360,11.745,34.142,201.88,0.0856,-9,-9,4,2222255
"320",361,11.766,34.142,202.52,0.0856,-9,-9,1,2222255
"321",363,11.725,34.142,202.43,0.0856,-9,-9,1,2222255
"322",365,11.668,34.139,202.41,0.0856,-9,-9,1,2222255
"323",366,11.557,34.136,202.32,0.0856,-9,-9,1,2222255
"324",367,11.411,34.128,201.29,0.0856,-9,-9,1,2222255
"325",368,11.403,34.128,200.32,0.0856,-9,-9,1,2222255
"326",369,11.403,34.127,200.57,0.0856,-9,-9,3,2222255
"327",370,11.412,34.126,200.8,0.0856,-9,-9,1,2222255
"328",371,11.396,34.126,200.83,0.0856,-9,-9,1,2222255
"329",373,11.364,34.125,200.56,0.0856,-9,-9,1,2222255
