Column,z,MF_Frac,MassFeature_Column,Identification,Confidence,mz,rt,QE.RF.ratio,HILICMix,Conc..uM,Emperical.Formula,date,HILICMixMatch,RF
HILIC,1,Citrulline,Citrulline_X_HILIC,Citrulline,1,176.103517,732.6,NA,Mix1,4,C6H13N3O3,170419,Mix1,9663338.25
HILIC,1,Citrulline,Citrulline_X_HILIC,Citrulline,1,176.103517,732.6,NA,Mix1,4,C6H13N3O3,180702,Mix1,22621144.5
HILIC,1,Creatine,Creatine_X_HILIC,Creatine,1,132.077302,680.4,0.945,Mix1,4,C4H9N3O2,170410,Mix1,597177392
HILIC,1,Creatine,Creatine_X_HILIC,Creatine,1,132.077302,680.4,0.945,Mix1,4,C4H9N3O2,170419,Mix1,492104560
HILIC,1,Creatine,Creatine_X_HILIC,Creatine,1,132.077302,680.4,0.945,Mix1,4,C4H9N3O2,180702,Mix1,444842048
HILIC,1,Cystathionine,Cystathionine_X_HILIC,Cystathionine,1,223.075255,788.4000000000001,0.74,Mix2,4,C7H14N2O4S,170410,Mix2,7256878.5
HILIC,1,Cystathionine,Cystathionine_X_HILIC,Cystathionine,1,223.075255,788.4000000000001,0.74,Mix2,4,C7H14N2O4S,170419,Mix2,6235563.25
HILIC,1,Cystathionine,Cystathionine_X_HILIC,Cystathionine,1,223.075255,788.4000000000001,0.74,Mix2,4,C7H14N2O4S,180702,Mix2,9664187
HILIC,-1,Cysteic Acid,Cysteic Acid_X_HILIC,Cysteic Acid,1,167.996671,729,0.834,Mix2,4,C3H7NO5S,170410,Mix2,9334553.5
HILIC,-1,Cysteic Acid,Cysteic Acid_X_HILIC,Cysteic Acid,1,167.996671,729,0.834,Mix2,4,C3H7NO5S,170419,Mix2,7092659.5
HILIC,-1,Cysteic Acid,Cysteic Acid_X_HILIC,Cysteic Acid,1,167.996671,729,0.834,Mix2,4,C3H7NO5S,180702,Mix2,8265792.25
HILIC,-1,Cytidine,Cytidine_X_HILIC,Cytidine,1,242.077697,513,0.348,Mix2,4,C9H13N3O5,170410,Mix2,27826756
HILIC,-1,Cytidine,Cytidine_X_HILIC,Cytidine,1,242.077697,513,0.348,Mix2,4,C9H13N3O5,170419,Mix2,23684511
HILIC,-1,Cytidine,Cytidine_X_HILIC,Cytidine,1,242.077697,513,0.348,Mix2,4,C9H13N3O5,180702,Mix2,14845589.5
HILIC,1,Cytosine,Cytosine_X_HILIC,Cytosine,1,112.051087,444.6,NA,Mix2,4,C4H5N3O,170410,Mix2,527686528
HILIC,1,Cytosine,Cytosine_X_HILIC,Cytosine,1,112.051087,444.6,NA,Mix2,4,C4H5N3O,170419,Mix2,551237680
HILIC,1,Cytosine,Cytosine_X_HILIC,Cytosine,1,112.051087,444.6,NA,Mix2,4,C4H5N3O,180702,Mix2,377888832
HILIC,1,Dexpanthenol,Dexpanthenol_X_HILIC,Dexpanthenol,1,206.139234,136.2,NA,Mix2,4,C9H19NO4,170410,Mix2,NaN
HILIC,1,Dexpanthenol,Dexpanthenol_X_HILIC,Dexpanthenol,1,206.139234,136.2,NA,Mix2,4,C9H19NO4,170419,Mix2,NaN
HILIC,1,Dexpanthenol,Dexpanthenol_X_HILIC,Dexpanthenol,1,206.139234,136.2,NA,Mix2,4,C9H19NO4,180702,Mix2,183857744
HILIC,-1,DHPS,DHPS_X_HILIC,DHPS,1,155.001422,640.2,0.548,Mix2,4,C3H8O5S,170410,Mix2,101035876
HILIC,-1,DHPS,DHPS_X_HILIC,DHPS,1,155.001422,640.2,0.548,Mix2,4,C3H8O5S,170419,Mix2,209918880
HILIC,-1,DHPS,DHPS_X_HILIC,DHPS,1,155.001422,640.2,0.548,Mix2,4,C3H8O5S,180702,Mix2,50234974
HILIC,1,DMSP_HILICPos,DMSP_HILIC_X_HILIC,DMSP,1,135.047977,559.5,0.324,Mix2,4,C5H10O2S,170410,Mix2,1017660512
HILIC,1,DMSP_HILICPos,DMSP_HILIC_X_HILIC,DMSP,1,135.047977,559.5,0.324,Mix2,4,C5H10O2S,170419,Mix2,956386240
HILIC,1,DMSP_HILICPos,DMSP_HILIC_X_HILIC,DMSP,1,135.047977,559.5,0.324,Mix2,4,C5H10O2S,180702,Mix2,401015840
HILIC,-1,Gluconic Acid,Gluconic Acid_X_HILIC,Gluconic Acid,1,195.05048,647.4,0.568,Mix2,4,C6H12O7,170410,Mix2,35175153
HILIC,-1,Gluconic Acid,Gluconic Acid_X_HILIC,Gluconic Acid,1,195.05048,647.4,0.568,Mix2,4,C6H12O7,170419,Mix2,35428183.5
HILIC,-1,Gluconic Acid,Gluconic Acid_X_HILIC,Gluconic Acid,1,195.05048,647.4,0.568,Mix2,4,C6H12O7,180702,Mix2,38212554
HILIC,1,Glucosylglycerol,Glucosylglycerol_X_HILIC,Glucosylglycerol,1,255.107995,606,NA,Mix2,4,C9H18O8,170410,Mix2,NaN
HILIC,1,Glucosylglycerol,Glucosylglycerol_X_HILIC,Glucosylglycerol,1,255.107995,606,NA,Mix2,4,C9H18O8,170419,Mix2,NaN
HILIC,1,Glucosylglycerol,Glucosylglycerol_X_HILIC,Glucosylglycerol,1,255.107995,606,NA,Mix2,4,C9H18O8,180702,Mix2,1145901.5
HILIC,1,Glutamine,Glutamine_X_HILIC,Glutamine,1,147.076968,702,0.912,Mix1,4,C5H10N2O3,170410,Mix1,19192110
HILIC,1,Glutamine,Glutamine_X_HILIC,Glutamine,1,147.076968,702,0.912,Mix1,4,C5H10N2O3,170419,Mix1,15159886.5
HILIC,1,Glutamine,Glutamine_X_HILIC,Glutamine,1,147.076968,702,0.912,Mix1,4,C5H10N2O3,180702,Mix1,37356509
RP,1,Glutathione Disulfide,Glutathione Disulfide_X_RP,Glutathione Disulfide,1,613.159793,55.2,NA,RP,0.5,C20H32N6O12S2,170413,RP,NaN
RP,1,Glutathione Disulfide,Glutathione Disulfide_X_RP,Glutathione Disulfide,1,613.159793,55.2,NA,RP,0.5,C20H32N6O12S2,170425,RP,NaN
RP,1,Glutathione Disulfide,Glutathione Disulfide_X_RP,Glutathione Disulfide,1,613.159793,55.2,NA,RP,0.5,C20H32N6O12S2,180716,RP,7792230
HILIC,1,Glycerophosphocholine,Glycerophosphocholine_X_HILIC,Glycerophosphocholine,1,258.110652,651.5999999999999,NA,Mix1,4,C8H21NO6P,170410,Mix1,NaN
HILIC,1,Glycerophosphocholine,Glycerophosphocholine_X_HILIC,Glycerophosphocholine,1,258.110652,651.5999999999999,NA,Mix1,4,C8H21NO6P,170419,Mix1,NaN
HILIC,1,Glycerophosphocholine,Glycerophosphocholine_X_HILIC,Glycerophosphocholine,1,258.110652,651.5999999999999,NA,Mix1,4,C8H21NO6P,180702,Mix1,114141210
HILIC,1,Gonyol,Gonyol_X_HILIC,Gonyol,1,179.074191,644.4,NA,Mix2,4,C7H14O3S,170410,Mix2,NaN
HILIC,1,Gonyol,Gonyol_X_HILIC,Gonyol,1,179.074191,644.4,NA,Mix2,4,C7H14O3S,170419,Mix2,NaN
HILIC,1,Gonyol,Gonyol_X_HILIC,Gonyol,1,179.074191,644.4,NA,Mix2,4,C7H14O3S,180702,Mix2,29831468
