Kingdom,Phylum,Class,Order,Family,Genus,Species,Consensus,taxon.id
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-21,Dino-Group-II-Clade-21_X,0.8000000,1ee34b02a10af885f6c06ee6f5ada005
Eukaryota,Opisthokonta,Mesomycetozoa,Ichthyosporea,Ichthyosphonida,Abeoformidae_Group_MAIP_1,Abeoformidae_Group_MAIP_1_X,0.7000000,8dba6c0bc6d7f7399e70b0cec29f1619
Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_D,Stephanoecidae_Group_D_X,0.9000000,dd55b7e4edd61214b51d88028f2849b5
Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,NA,0.7000000,639bcd8f105fd134381d3b05c98ab9c6
Eukaryota,Stramenopiles,Sagenista,MAST-9,MAST-9A,MAST-9A_X,MAST-9A_XX,1.0000000,8bdf88b77a069f2cb45ed12d281e69a6
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.9090909,a918cff8df1902f261d5cd6f79f99e9a
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,1.0000000,b60a188e53c88e7e3a47838f57e7d412
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,1.0000000,229a247efdcd7aa0e1978fa49844814d
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,0.9000000,29d1540aa63e91e60f67fd0b8997029c
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.8181818,266c6a70ad687badb1c67a3b33b2a495
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,NA,NA,NA,1.0000000,3788dc05bd4e2486d9f4bf83e4a43aaf
Eukaryota,Stramenopiles,Ochrophyta,Eustigmatophyceae,Eustigmatophyceae_X,Eustigmatophyceae_XX,Eustigmatophyceae_XXX,1.0000000,61dd736b0b118362564eacb8dae8b776
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,NA,NA,NA,1.0000000,6a710d7cce41267add0b7db0f3fa59f5
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,0.8000000,c424908ca19c3d1429b76a68b75c18a6
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,e4cac5617e39f8f009ff153961ea9bb7
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,1.0000000,a3dfaafc8584e83328836dfed1312999
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,NA,NA,0.6666667,af8b06f85d22ba86efc90b2ccc46f442
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.9090909,7c833b6d8bbf4ffda212334a77a527c6
Eukaryota,Opisthokonta,Opisthokonta_X,Opisthokonta_XX,Opisthokonta_XXX,Opisthokonta_XXXX,Opisthokonta_XXXXX,1.0000000,9be93509e6be07041a9003d102975783
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,0.8000000,7986398f9bd5ab14ddda39e0baa15738
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,1.0000000,81d5163acc356a5c23c11b147311bef5
Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadales,Pyramimonadales_X,Pyramimonadales_XX,Halosphaera,0.6666667,d9aa38b8f059db1772f19cf5a4091377
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,1.0000000,7ffdb818918f9ab360e03210e6728b82
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.5454545,2a47e63d34e0ae0be70d4c84003b0431
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-12,Dino-Group-II-Clade-12_X,0.9090909,c2596ca857d56a41fd2a08f7f7eb507e
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-44,Dino-Group-II-Clade-44_X,1.0000000,e90611b7c5ac10e572ff23ece9ddeb2e
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-14,Dino-Group-II-Clade-14_X,0.9090909,3a50f4113914998bb7d608a75302eeeb
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,01f7b55164e197b11218e8b96dffca0b
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.6363636,cf0d65304887eae24c385282543d9fb1
