index,Eukaryota;Alveolata;Alveolata_X,Eukaryota;Alveolata;Apicomplexa,Eukaryota;Alveolata;Ciliophora,Eukaryota;Alveolata;Dinoflagellata,Eukaryota;Alveolata;__,Eukaryota;Archaeplastida;Chlorophyta,Eukaryota;Archaeplastida;Streptophyta,Eukaryota;Archaeplastida;__,Eukaryota;Excavata;Discoba,Eukaryota;Hacrobia;Centroheliozoa,Eukaryota;Hacrobia;Cryptophyta,Eukaryota;Hacrobia;Haptophyta,Eukaryota;Hacrobia;Katablepharidophyta,Eukaryota;Hacrobia;Picozoa,Eukaryota;Hacrobia;Telonemia,Eukaryota;Hacrobia;__,Eukaryota;Opisthokonta;Choanoflagellida,Eukaryota;Opisthokonta;Fungi,Eukaryota;Opisthokonta;Mesomycetozoa,Eukaryota;Opisthokonta;Metazoa,Eukaryota;Opisthokonta;Opisthokonta_X,Eukaryota;Opisthokonta;__,Eukaryota;Rhizaria;Cercozoa,Eukaryota;Rhizaria;Radiolaria,Eukaryota;Stramenopiles;Ochrophyta,Eukaryota;Stramenopiles;Opalozoa,Eukaryota;Stramenopiles;Pseudofungi,Eukaryota;Stramenopiles;Sagenista,Eukaryota;Stramenopiles;Stramenopiles_X,Eukaryota;Stramenopiles;__,Eukaryota;__;__,Unassigned;__;__,depth,latitude,size-fraction
63964,0.0,100.0,4205.0,5772.0,0.0,31276.0,0.0,0.0,0.0,7.0,233.0,2325.0,848.0,142.0,1241.0,0.0,124.0,28.0,0.0,4295.0,0.0,0.0,36.0,0.0,3708.0,1274.0,354.0,253.0,0.0,0.0,5.0,605.0,15.0,36.58,0.2
63965,0.0,208.0,875.0,3529.0,0.0,2024.0,0.0,0.0,0.0,0.0,90.0,1423.0,1384.0,44.0,1817.0,0.0,305.0,19.0,3.0,287897.0,0.0,0.0,10.0,13.0,876.0,854.0,267.0,62.0,0.0,0.0,0.0,94.0,15.0,36.58,3.0
63966,0.0,3.0,195.0,289.0,0.0,1846.0,0.0,0.0,0.0,0.0,30.0,257.0,94.0,0.0,106.0,0.0,17.0,0.0,0.0,91961.0,0.0,0.0,0.0,0.0,216.0,62.0,23.0,10.0,0.0,0.0,0.0,320.0,15.0,36.58,0.2
64039,0.0,1656.0,1105.0,20314.0,102.0,51.0,0.0,0.0,0.0,8.0,0.0,3688.0,1571.0,26.0,120.0,0.0,293.0,37.0,0.0,17084.0,0.0,0.0,72.0,6.0,3634.0,108.0,192.0,218.0,0.0,0.0,0.0,958.0,15.0,33.09,3.0
64040,0.0,0.0,1553.0,18413.0,0.0,1301.0,0.0,0.0,0.0,0.0,38.0,1506.0,1049.0,162.0,63.0,0.0,127.0,54.0,0.0,1352.0,0.0,0.0,43.0,16.0,9674.0,148.0,274.0,876.0,0.0,14.0,0.0,6413.0,15.0,33.09,0.2
64041,0.0,0.0,0.0,122.0,1672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,15.0,33.09,3.0
64042,0.0,0.0,1965.0,25659.0,0.0,1420.0,0.0,0.0,0.0,0.0,152.0,1934.0,1170.0,239.0,67.0,0.0,119.0,75.0,0.0,994.0,0.0,0.0,35.0,29.0,11606.0,186.0,306.0,1135.0,0.0,28.0,0.0,5279.0,15.0,33.09,0.2
64076,0.0,268.0,547.0,38516.0,0.0,119.0,5.0,0.0,4.0,15.0,0.0,1338.0,39.0,25.0,272.0,0.0,111.0,51.0,0.0,13502.0,1073.0,0.0,18.0,132.0,300.0,89.0,153.0,43.0,0.0,0.0,0.0,586.0,15.0,29.7,3.0
64077,0.0,0.0,1146.0,57438.0,0.0,1094.0,0.0,0.0,36.0,41.0,2.0,18120.0,66.0,225.0,162.0,0.0,259.0,92.0,0.0,1261.0,159.0,0.0,55.0,282.0,2781.0,628.0,725.0,464.0,0.0,85.0,0.0,3284.0,15.0,29.7,0.2
64078,0.0,324.0,910.0,53654.0,3.0,134.0,4.0,0.0,2.0,42.0,0.0,1895.0,108.0,15.0,354.0,0.0,137.0,60.0,0.0,6492.0,1041.0,0.0,18.0,467.0,552.0,104.0,270.0,69.0,0.0,0.0,0.0,1216.0,15.0,29.7,3.0
64079,0.0,0.0,1295.0,32183.0,0.0,673.0,2.0,0.0,38.0,33.0,12.0,9447.0,52.0,163.0,144.0,0.0,149.0,61.0,0.0,793.0,203.0,0.0,49.0,300.0,1541.0,517.0,317.0,433.0,0.0,46.0,0.0,2556.0,15.0,29.7,0.2
