Region,Number of sampled locations,Latitude of stations,SST,SSS,N+N,PO4,Chl
NPSG,6,23.54--29.7,19.8--24,35.1--35.3,dl--0.002,0.02--0.05,0.01--0.11
NPTZ,12,32.63--37.3,11.4--17.1,34.1--34.7,0.06--5.87,0.07--0.51,0.16--0.37
